date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,65.32,63.51,63.51,1.0,66.1492,65.32,3737663.0,0.0
2018-02-07,65.4,64.89,64.59,1.0,66.06,65.4,1880222.0,0.0
2018-02-08,64.34,65.21,64.33,1.0,65.93,64.34,3094634.0,0.0
2018-02-09,64.49,64.93,62.44,1.0,65.33,64.49,3077373.0,0.0
2018-02-12,65.66,65.56,64.46,1.0,66.16,65.66,1469350.0,0.0
2018-02-13,63.39,65.22,62.3149,1.0,65.29,63.39,2662071.0,0.0
2018-02-14,63.78,62.8,62.63,1.0,64.25,63.78,2730927.0,0.0
2018-02-15,64.33,62.27,59.7,1.0,64.355,64.33,3921308.0,0.0
2018-02-16,64.43,64.27,63.79,1.0,64.94,64.43,1445629.0,0.0
2018-02-20,63.31,64.15,63.17,1.0,64.82,63.31,1925596.0,0.0
2018-02-21,60.98,63.52,60.92,1.0,63.52,60.98,3069173.0,0.0
2018-02-22,61.04,61.22,60.87,1.0,62.08,61.04,1537237.0,0.0
2018-02-23,62.76,61.51,61.2,1.0,62.95,62.76,1503734.0,0.0
2018-02-26,62.89,62.85,62.17,1.0,63.25,62.89,1038795.0,0.0
2018-02-27,62.04,62.71,62.03,1.0,63.28,62.04,1474701.0,0.0
2018-02-28,61.92,62.12,61.86,1.0,63.31,61.92,1813542.0,0.0
2018-03-01,60.06,62.2,59.9348,1.0,62.2,60.06,2078306.0,0.0
2018-03-02,59.97,59.73,59.03,1.0,60.14,59.97,2130394.0,0.0
2018-03-05,60.46,59.45,58.97,1.0,60.6,60.46,4779976.0,0.0
2018-03-06,61.49,60.84,60.21,1.0,61.76,61.49,2105189.0,0.0
2018-03-07,60.72,60.83,60.15,1.0,61.0,60.72,1670039.0,0.0
2018-03-08,60.76,60.94,60.41,1.0,61.06,60.76,1081830.0,0.0
2018-03-09,62.43,61.07,60.55,1.0,62.56,62.43,1747285.0,0.0
2018-03-12,62.5,62.65,62.41,1.0,63.18,62.5,1679449.0,0.0
2018-03-13,62.62,62.77,62.01,1.0,63.55,62.62,2320218.0,0.0
2018-03-14,62.8,63.0,62.1,1.0,63.22,62.8,1652571.0,0.0
2018-03-15,62.17,62.97,62.03,1.0,63.0,62.17,1296483.0,0.0
2018-03-16,62.87,62.21,62.045,1.0,63.38,62.87,1967223.0,0.0
2018-03-19,62.49,62.82,61.85,1.0,63.11,62.49,2202146.0,0.0
2018-03-20,61.93,61.77,61.24,1.0,62.63,61.93,2194712.0,0.0
2018-03-21,61.51,61.64,61.5,1.0,62.445,61.51,1528364.0,0.0
2018-03-22,60.0,61.15,59.98,1.0,61.57,60.0,1920574.0,0.0
2018-03-23,59.36,60.21,59.32,1.0,60.58,59.36,1669315.0,0.0
2018-03-26,60.59,60.42,59.5502,1.0,60.74,60.59,1325599.0,0.0
2018-03-27,59.75,60.59,59.59,1.0,61.11,59.75,3134655.0,0.0
2018-03-28,60.64,60.04,59.58,1.0,60.97,60.64,2505068.0,0.0
2018-03-29,61.94,60.64,60.64,1.0,62.55,61.94,2180572.0,0.0
2018-04-02,59.92,61.52,59.34,1.0,61.83,59.92,2745365.0,0.0
2018-04-03,59.96,59.97,59.2,1.0,60.55,59.96,3319164.0,0.0
2018-04-04,62.73,57.92,57.05,1.0,62.88,62.73,5087213.0,0.0
2018-04-05,62.24,63.54,61.24,1.0,63.54,62.24,2822463.0,0.0
2018-04-06,60.3,61.68,59.87,1.0,62.605,60.3,2296676.0,0.0
2018-04-09,58.77,60.7,58.66,1.0,60.87,58.77,2804495.0,0.0
2018-04-10,60.82,59.86,59.001,1.0,60.89,60.82,2354650.0,0.0
2018-04-11,60.5,60.3,59.65,1.0,60.75,60.5,1433555.0,0.0
2018-04-12,61.0,60.62,60.37,1.0,61.6,61.0,2121409.0,0.0
2018-04-13,61.72,61.36,61.08,1.0,63.03,61.72,2873709.0,0.0
2018-04-16,62.0,62.04,61.28,1.0,62.79,62.0,1237727.0,0.0
2018-04-17,62.97,62.77,62.56,1.0,63.4301,62.97,1344387.0,0.0
2018-04-18,63.27,63.31,63.06,1.0,64.18,63.27,1550393.0,0.0
2018-04-19,62.57,63.49,62.14,1.0,63.675,62.57,1308982.0,0.0
2018-04-20,61.16,62.56,60.87,1.0,62.99,61.16,1388315.0,0.0
2018-04-23,61.36,61.13,60.64,1.0,61.59,61.36,1242739.0,0.0
2018-04-24,61.32,61.83,61.02,1.0,62.98,61.32,1581017.0,0.0
2018-04-25,62.09,61.07,61.07,1.0,62.27,62.09,1292557.0,0.0
2018-04-26,62.09,62.7,61.37,1.0,62.705,62.09,1214979.0,0.0
2018-04-27,62.86,62.33,62.22,1.0,63.03,62.86,1460144.0,0.0
2018-04-30,62.5,63.02,62.5,1.0,63.66,62.5,1121965.0,0.0
2018-05-01,63.54,62.24,62.16,1.0,63.54,63.54,1299208.0,0.0
2018-05-02,63.52,63.19,62.93,1.0,64.2712,63.52,1250251.0,0.0
2018-05-03,63.32,63.37,62.86,1.0,64.11,63.32,1139086.0,0.0
2018-05-04,64.96,63.06,63.02,1.0,65.17,64.96,1214356.0,0.0
2018-05-07,64.17,65.09,64.15,1.0,65.28,64.17,1704591.0,0.0
2018-05-08,63.15,63.85,62.475,1.0,64.18,63.15,2068274.0,0.0
2018-05-09,64.11,63.82,63.07,1.0,64.625,64.11,1440811.0,0.0
2018-05-10,63.28,64.42,63.19,1.0,64.42,63.28,1757246.0,0.0
2018-05-11,63.8,63.19,63.12,1.0,63.9,63.8,1192347.0,0.0
2018-05-14,64.78,63.77,63.77,1.0,64.92,64.78,1648003.0,0.0
2018-05-15,65.0,64.6,64.47,1.0,65.22,65.0,1509125.0,0.0
2018-05-16,65.9,64.99,64.99,1.0,66.57,65.9,1643746.0,0.0
2018-05-17,66.72,65.99,65.603,1.0,66.94,66.72,1253488.0,0.0
2018-05-18,65.87,66.54,65.58,1.0,66.81,65.87,1240418.0,0.0
2018-05-21,66.47,66.14,65.91,1.0,66.77,66.47,901334.0,0.0
2018-05-22,65.16,66.94,65.09,1.0,66.94,65.16,1143414.0,0.0
2018-05-23,66.02,64.88,64.76,1.0,67.6,66.02,2565954.0,0.0
2018-05-24,66.81,65.94,65.65,1.0,66.98,66.81,1483947.0,0.0
