date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,43.8829,43.87,43.44,1.0,44.74,44.67,25099084.0,0.0
2018-02-07,43.7748,44.58,44.28,1.0,45.495,44.56,17967097.0,0.0
2018-02-08,42.3405,44.62,43.07,1.0,44.62,43.1,22832594.0,0.0
2018-02-09,42.37,43.36,42.19,1.0,43.46,43.13,22791612.0,0.0
2018-02-12,43.1952,43.56,43.3721,1.0,44.23,43.97,14646457.0,0.0
2018-02-13,43.4113,43.92,43.69,1.0,44.41,44.19,13149647.0,0.0
2018-02-14,43.3229,44.02,43.63,1.0,44.19,44.1,13425655.0,0.0
2018-02-15,43.9909,44.25,44.12,1.0,44.83,44.78,13422779.0,0.0
2018-02-16,44.1874,45.57,44.72,1.0,45.6401,44.98,17171198.0,0.0
2018-02-20,43.2149,44.75,43.94,1.0,44.83,43.99,14030169.0,0.0
2018-02-21,42.5763,44.11,43.33,1.0,44.26,43.34,12724257.0,0.0
2018-02-22,42.7531,43.43,43.22,1.0,43.82,43.52,12307608.0,0.0
2018-02-23,43.264,43.58,43.42,1.0,44.06,44.04,7404783.0,0.0
2018-02-26,43.2542,44.23,43.81,1.0,44.39,44.03,12631455.0,0.0
2018-02-27,42.8514,44.15,43.62,1.0,44.311,43.62,12664020.0,0.0
2018-02-28,42.4584,43.83,43.22,1.0,43.91,43.22,11800531.0,0.0
2018-03-01,42.6647,43.1,42.82,1.0,43.64,43.43,17746825.0,0.0
2018-03-02,42.9496,43.25,43.24,1.0,43.8,43.72,14050081.0,0.0
2018-03-05,43.1166,43.57,43.5,1.0,43.935,43.89,11992712.0,0.0
2018-03-06,43.1559,43.95,43.59,1.0,44.05,43.93,10010478.0,0.0
2018-03-07,43.0479,43.59,43.47,1.0,43.92,43.82,10881683.0,0.0
2018-03-08,43.6668,43.9,43.8,1.0,44.46,44.45,12081945.0,0.0
2018-03-09,44.0302,44.57,44.39,1.0,44.82,44.82,9748419.0,0.0
2018-03-12,43.7453,44.95,44.33,1.0,45.09,44.53,11831981.0,0.0
2018-03-13,43.7846,44.67,44.4,1.0,44.825,44.57,11055085.0,0.0
2018-03-14,43.3917,44.38,43.725,1.0,44.43,43.78,15156179.0,0.39
2018-03-15,43.2827,43.88,43.55,1.0,44.0,43.67,12405834.0,0.0
2018-03-16,43.0745,43.7,43.45,1.0,44.02,43.46,25429988.0,0.0
2018-03-19,42.8763,43.46,43.175,1.0,43.71,43.26,12285923.0,0.0
2018-03-20,42.7772,43.32,43.01,1.0,43.48,43.16,13430443.0,0.0
2018-03-21,42.6186,43.13,42.79,1.0,43.45,43.0,13029766.0,0.0
2018-03-22,42.3807,42.88,42.7,1.0,43.365,42.76,12134714.0,0.0
2018-03-23,41.9545,42.82,42.29,1.0,43.1556,42.33,13190877.0,0.0
2018-03-26,42.3114,42.61,42.25,1.0,42.8099,42.69,10939927.0,0.0
2018-03-27,42.5096,42.7,42.525,1.0,43.31,42.89,11595357.0,0.0
2018-03-28,42.9358,43.0,43.0,1.0,43.7,43.32,16277393.0,0.0
2018-03-29,43.0448,43.54,43.29,1.0,43.92,43.43,10450497.0,0.0
2018-04-02,42.2915,43.44,42.473,1.0,43.5,42.67,14207925.0,0.0
