date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,45.8082,44.81,44.38,1.0,47.77,47.2,4486248.0,0.0
2018-02-07,47.6619,47.99,47.6,1.0,49.88,49.11,4586889.0,0.0
2018-02-08,46.3614,50.73,47.73,1.0,51.13,47.77,7010626.0,0.0
2018-02-09,47.2154,48.43,46.8,1.0,49.37,48.65,4763516.0,0.0
2018-02-12,47.264,49.07,47.575,1.0,49.46,48.7,3714709.0,0.0
2018-02-13,47.1087,48.5,47.1,1.0,48.85,48.54,3024707.0,0.0
2018-02-14,48.3995,48.28,47.88,1.0,50.53,49.87,3026843.0,0.0
2018-02-15,48.0598,50.11,48.43,1.0,50.3542,49.52,2608389.0,0.0
2018-02-16,47.4775,49.27,48.88,1.0,50.11,48.92,2833298.0,0.0
2018-02-20,46.012,48.62,47.25,1.0,48.83,47.41,4082710.0,0.0
2018-02-21,46.507,47.59,47.55,1.0,49.1,47.92,3089696.0,0.0
2018-02-22,47.2834,47.38,47.23,1.0,48.68,48.12,2609672.0,0.6
2018-02-23,47.8631,48.36,47.88,1.0,48.75,48.71,2519594.0,0.0
2018-02-26,47.7059,48.81,47.34,1.0,48.837,48.55,3661709.0,0.0
2018-02-27,47.3423,49.2,47.775,1.0,50.42,48.18,4590807.0,0.0
2018-02-28,48.4723,48.71,48.71,1.0,50.26,49.33,5844139.0,0.0
2018-03-01,41.7513,44.77,42.48,1.0,45.44,42.49,19604408.0,0.0
2018-03-02,42.5963,41.87,41.7,1.0,44.13,43.35,7903273.0,0.0
2018-03-05,43.8246,43.22,43.16,1.0,44.76,44.6,5152943.0,0.0
2018-03-06,44.3257,44.65,44.39,1.0,45.54,45.11,4938079.0,0.0
2018-03-07,43.2055,44.76,43.51,1.0,44.88,43.97,4671857.0,0.0
2018-03-08,40.8964,44.0,41.44,1.0,44.0,41.62,7199544.0,0.0
2018-03-09,41.5253,41.79,40.82,1.0,42.36,42.26,5195644.0,0.0
2018-03-12,41.4172,42.34,41.8,1.0,43.11,42.15,3900357.0,0.0
2018-03-13,41.1715,42.31,41.66,1.0,42.675,41.9,3647760.0,0.0
2018-03-14,40.5819,42.05,41.06,1.0,42.3,41.3,4215171.0,0.0
2018-03-15,40.3265,41.46,40.86,1.0,41.71,41.04,3226887.0,0.0
2018-03-16,39.8548,41.16,40.54,1.0,41.27,40.56,8408040.0,0.0
2018-03-19,39.2161,40.51,39.65,1.0,40.65,39.91,4383851.0,0.0
2018-03-20,39.0785,39.7,39.35,1.0,39.92,39.77,3341979.0,0.0
2018-03-21,38.7346,39.92,39.34,1.0,40.48,39.42,3210839.0,0.0
2018-03-22,37.6931,39.08,38.29,1.0,39.23,38.36,3931984.0,0.0
2018-03-23,36.8578,38.53,37.49,1.0,38.57,37.51,3501599.0,0.0
2018-03-26,37.2018,37.41,36.77,1.0,38.03,37.86,7179999.0,0.0
2018-03-27,37.4474,38.1,37.91,1.0,38.89,38.11,5753982.0,0.0
2018-03-28,37.0151,38.23,37.625,1.0,38.76,37.67,5346581.0,0.0
2018-03-29,37.5457,37.67,37.63,1.0,38.6523,38.21,4597898.0,0.0
2018-04-02,36.4157,38.31,36.72,1.0,38.42,37.06,4831504.0,0.0
2018-04-03,36.9561,37.29,37.24,1.0,37.79,37.61,3964182.0,0.0
2018-04-04,37.5653,37.12,37.12,1.0,38.29,38.23,3331489.0,0.0
2018-04-05,38.0566,38.53,37.97,1.0,38.94,38.73,4110624.0,0.0
2018-04-06,37.5358,38.39,37.85,1.0,38.88,38.2,3818560.0,0.0
2018-04-09,37.3983,38.43,37.95,1.0,38.59,38.06,2200582.0,0.0
2018-04-10,37.6538,38.31,37.83,1.0,38.62,38.32,2927278.0,0.0
2018-04-11,37.2509,37.54,37.5,1.0,38.43,37.91,5681810.0,0.0
2018-04-12,35.5411,37.48,35.84,1.0,37.5,36.17,8742782.0,0.0
2018-04-13,35.551,36.18,35.93,1.0,36.9,36.18,5109134.0,0.0
2018-04-16,35.7573,36.47,35.68,1.0,36.74,36.39,3394320.0,0.0
2018-04-17,35.6099,36.59,36.22,1.0,36.98,36.24,3254765.0,0.0
2018-04-18,35.4134,36.47,36.02,1.0,36.82,36.04,2598609.0,0.0
2018-04-19,35.325,35.97,35.31,1.0,36.16,35.95,5270870.0,0.0
2018-04-20,33.7724,35.91,34.2,1.0,35.91,34.37,5343199.0,0.0
2018-04-23,34.195,34.4,34.33,1.0,35.23,34.8,3178372.0,0.0
2018-04-24,34.2932,35.04,34.71,1.0,35.52,34.9,4418702.0,0.0
2018-04-25,34.8435,34.84,34.55,1.0,35.54,35.46,2727789.0,0.0
2018-04-26,34.8238,35.62,35.18,1.0,35.73,35.44,2926038.0,0.0
2018-04-27,34.647,35.66,35.07,1.0,35.78,35.26,3562683.0,0.0
2018-04-30,34.303,35.32,34.77,1.0,36.24,34.91,3851940.0,0.0
2018-05-01,33.7233,34.8,34.02,1.0,34.91,34.32,4374310.0,0.0
2018-05-02,33.7528,34.24,34.01,1.0,34.465,34.35,4409644.0,0.0
2018-05-03,33.9395,34.3,34.12,1.0,34.93,34.54,3090925.0,0.0
2018-05-04,33.7528,34.5,33.88,1.0,34.84,34.35,3122912.0,0.0
2018-05-07,33.4383,34.35,33.35,1.0,34.545,34.03,4695627.0,0.0
2018-05-08,33.3499,33.99,33.61,1.0,34.3528,33.94,4179900.0,0.0
2018-05-09,33.5268,34.11,33.57,1.0,34.8023,34.12,4625033.0,0.0
2018-05-10,31.1292,33.15,30.7,1.0,33.65,31.68,16078868.0,0.0
2018-05-11,31.7679,31.51,31.35,1.0,32.8,32.33,6375113.0,0.0
2018-05-14,32.6523,33.0,32.73,1.0,34.04,33.23,6168784.0,0.0
2018-05-15,32.7309,33.19,32.5,1.0,33.36,33.31,3650335.0,0.0
2018-05-16,33.5956,33.82,33.64,1.0,34.52,34.19,4016808.0,0.0
2018-05-17,33.458,34.01,33.93,1.0,34.58,34.05,2812114.0,0.0
2018-05-18,33.1534,34.02,33.17,1.0,34.37,33.74,3056627.0,0.0
2018-05-21,33.458,33.97,33.91,1.0,34.66,34.05,3343179.0,0.0
2018-05-22,33.399,34.34,33.87,1.0,34.38,33.99,3680767.0,0.0
2018-05-23,33.458,33.91,33.67,1.0,34.3,34.05,5602774.0,0.0
2018-05-24,34.6077,32.92,32.71,1.0,36.0,35.22,15041618.0,0.0
2018-05-25,34.8828,34.73,34.61,1.0,35.74,35.5,5802041.0,0.0
2018-05-29,34.7452,35.36,35.15,1.0,35.55,35.36,3946373.0,0.0
2018-05-30,35.551,35.55,35.43,1.0,36.535,36.18,5294316.0,0.0
2018-05-31,33.91,35.1,33.59,1.0,35.23,33.91,7837124.0,0.6
2018-06-01,34.57,33.95,33.81,1.0,34.99,34.57,4328177.0,0.0
2018-06-04,35.8,34.94,34.72,1.0,35.85,35.8,5885257.0,0.0
2018-06-05,37.19,35.81,35.75,1.0,37.34,37.19,7093342.0,0.0
2018-06-06,37.09,37.36,36.16,1.0,38.14,37.09,5939655.0,0.0
2018-06-07,37.55,37.35,37.09,1.0,37.92,37.55,5160462.0,0.0
2018-06-08,36.99,37.34,36.335,1.0,37.65,36.99,5237095.0,0.0
2018-06-11,36.94,37.13,36.85,1.0,37.42,36.94,4345169.0,0.0
2018-06-12,36.52,37.39,35.82,1.0,37.4,36.52,4491509.0,0.0
2018-06-13,36.51,36.5,36.0,1.0,36.86,36.51,3033121.0,0.0
2018-06-14,35.99,36.45,35.47,1.0,36.45,35.99,4622510.0,0.0
2018-06-15,36.39,35.98,35.72,1.0,37.1014,36.39,4706313.0,0.0
2018-06-18,36.36,36.28,36.19,1.0,37.42,36.36,4745392.0,0.0
2018-06-19,35.96,36.18,35.77,1.0,36.45,35.96,3475285.0,0.0
2018-06-20,36.4,36.21,35.52,1.0,36.48,36.4,2526396.0,0.0
2018-06-21,37.14,36.33,36.08,1.0,37.19,37.14,3081416.0,0.0
2018-06-22,36.69,37.16,36.56,1.0,37.4,36.69,4109480.0,0.0
2018-06-25,36.87,36.58,36.45,1.0,37.02,36.87,2671894.0,0.0
2018-06-26,37.43,36.97,36.91,1.0,37.625,37.43,3101460.0,0.0
2018-06-27,36.82,37.38,36.72,1.0,37.81,36.82,2958737.0,0.0
2018-06-28,37.4134,36.86,36.72,1.0,37.57,37.4134,1213850.0,0.0
