date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,333.5641,328.71,327.23,1.0,340.01,337.59,2585315.0,0.0
2018-02-07,341.3106,338.29,337.82,1.0,350.34,345.43,2043798.0,0.0
2018-02-08,330.3133,350.21,334.01,1.0,350.99,334.3,2608484.0,0.0
2018-02-09,337.3484,338.1,332.25,1.0,344.88,341.42,2356028.0,0.0
2018-02-12,341.6861,344.54,340.1,1.0,348.4705,345.81,1816965.0,0.0
2018-02-13,346.0534,345.2,344.51,1.0,351.0625,350.23,1277675.0,0.0
2018-02-14,350.4305,348.81,348.2,1.0,355.39,354.66,1643884.0,0.0
2018-02-15,356.6949,357.4,354.74,1.0,361.02,361.0,1164162.0,0.0
2018-02-16,356.2305,361.0,357.84,1.0,363.0,360.53,1082316.0,0.0
2018-02-20,354.4125,359.15,357.23,1.0,362.67,358.69,1092183.0,0.0
2018-02-21,352.8019,359.0,357.0,1.0,362.98,357.06,1356968.0,0.0
2018-02-22,351.1716,358.44,354.51,1.0,358.97,355.41,1398532.0,0.0
2018-02-23,354.4125,356.25,353.84,1.0,358.69,358.69,892019.0,0.0
2018-02-26,354.4224,360.0,357.08,1.0,361.32,358.7,1154151.0,0.0
2018-02-27,353.8987,359.35,358.09,1.0,362.32,358.17,1372940.0,0.0
2018-02-28,350.2132,357.36,352.42,1.0,359.195,352.44,985685.0,2.0
2018-03-01,337.5437,352.46,337.58,1.0,353.58,339.69,2307149.0,0.0
2018-03-02,339.5609,337.5,335.05,1.0,342.85,341.72,1684069.0,0.0
2018-03-05,340.1969,339.83,337.62,1.0,342.7828,342.36,1812373.0,0.0
2018-03-06,337.3549,342.9,337.95,1.0,343.99,339.5,1307813.0,0.0
2018-03-07,340.0379,336.23,334.1,1.0,343.19,342.2,1351029.0,0.0
2018-03-08,339.6205,343.12,339.34,1.0,343.7,341.78,1027067.0,0.0
2018-03-09,338.3387,341.78,338.08,1.0,342.559,340.49,1551257.0,0.0
2018-03-12,330.9954,341.0,333.04,1.0,341.3546,333.1,2274818.0,0.0
2018-03-13,331.3531,334.78,332.0801,1.0,335.91,333.46,1616325.0,0.0
2018-03-14,329.5843,335.71,327.58,1.0,336.375,331.68,1707138.0,0.0
2018-03-15,331.1245,331.94,328.78,1.0,334.43,333.23,1733508.0,0.0
2018-03-16,329.3061,333.38,329.23,1.0,334.35,331.4,4689527.0,0.0
2018-03-19,333.1318,330.3,330.25,1.0,336.23,335.25,1496464.0,0.0
2018-03-20,333.4796,335.73,335.22,1.0,339.5,335.6,1147876.0,0.0
2018-03-21,333.3504,336.26,332.49,1.0,338.73,335.47,1268768.0,0.0
2018-03-22,325.083,333.18,325.7868,1.0,335.47,327.15,1526869.0,0.0
2018-03-23,334.1851,327.0,326.7658,1.0,344.1401,336.31,2890155.0,0.0
2018-03-26,341.7569,342.4,339.27,1.0,344.6,343.93,1474530.0,0.0
2018-03-27,336.709,345.3,336.6,1.0,345.94,338.85,1285800.0,0.0
2018-03-28,333.2113,340.0,333.22,1.0,340.66,335.33,1422025.0,0.0
2018-03-29,335.7949,336.04,335.39,1.0,341.0,337.93,1039314.0,0.0
2018-04-02,330.896,337.06,328.75,1.0,337.9,333.0,1298559.0,0.0
2018-04-03,332.5952,334.97,330.68,1.0,337.03,334.71,1296812.0,0.0
2018-04-04,339.6305,328.88,327.5,1.0,341.97,341.79,1449408.0,0.0
2018-04-05,344.4598,344.23,340.01,1.0,346.93,346.65,1589359.0,0.0
2018-04-06,332.5455,343.59,332.835,1.0,344.6847,334.66,1417855.0,0.0
2018-04-09,333.7876,337.48,335.46,1.0,340.835,335.91,981592.0,0.0
2018-04-10,337.2158,340.63,337.1,1.0,341.05,339.36,1000467.0,0.0
