date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,44.55,43.64,44.0728,44.57,43.27,11787609.0,0.0,1.0
2018-02-07,44.05,44.29,43.5781,44.78,43.85,8227467.0,0.0,1.0
2018-02-08,42.68,44.17,42.2228,44.335,42.67,12728730.0,0.0,1.0
2018-02-09,42.14,42.83,41.6886,43.13,41.8234,12551573.0,0.0,1.0
2018-02-12,42.53,42.37,42.0744,42.88,42.1,15745147.0,0.0,1.0
2018-02-13,42.8,42.26,42.3415,43.02,42.0,9223503.0,0.0,1.0
2018-02-14,42.96,42.66,42.4998,43.31,42.04,10078045.0,0.0,1.0
2018-02-15,44.08,43.17,43.6078,44.09,42.78,8558214.0,0.0,1.0
2018-02-16,44.14,44.05,43.6672,44.29,43.71,6736549.0,0.0,1.0
2018-02-20,43.76,44.09,43.2912,44.29,43.62,5112801.0,0.0,1.0
2018-02-21,43.62,43.91,43.1527,44.19,43.57,9969745.0,0.0,1.0
2018-02-22,43.51,43.74,43.0439,44.02,43.42,8438493.0,0.0,1.0
2018-02-23,43.75,43.79,43.2813,43.95,43.31,8692045.0,0.0,1.0
2018-02-26,44.77,44.15,44.2904,45.18,43.79,12188668.0,0.0,1.0
2018-02-27,44.01,44.4,43.5386,44.6,43.9,11628199.0,0.0,1.0
2018-02-28,43.9,44.24,43.4297,44.46,43.9,11235593.0,0.0,1.0
2018-03-01,43.62,43.97,43.1527,44.17,43.15,8331173.0,0.0,1.0
2018-03-02,44.42,43.44,43.9442,44.58,43.3,10029815.0,0.0,1.0
2018-03-05,45.06,44.08,44.5773,45.15,44.04,7365071.0,0.0,1.0
2018-03-06,45.57,45.0,45.0818,45.71,44.81,9352617.0,0.0,1.0
2018-03-07,43.58,43.5,43.1132,43.97,43.325,20757086.0,0.0,1.0
2018-03-08,44.0,43.77,43.5287,44.145,43.45,8237921.0,0.0,1.0
2018-03-09,44.27,44.44,43.7958,44.44,43.87,9062497.0,0.0,1.0
2018-03-12,44.39,44.55,43.9145,44.65,44.33,6132787.0,0.0,1.0
2018-03-13,44.04,44.69,43.5682,44.83,43.96,7106172.0,0.0,1.0
2018-03-14,43.88,44.27,43.4099,44.41,43.62,7109749.0,0.0,1.0
2018-03-15,43.39,43.77,42.9252,43.935,43.19,5908795.0,0.0,1.0
2018-03-16,43.19,43.56,42.7273,43.82,43.12,9128140.0,0.0,1.0
2018-03-19,42.35,43.08,41.8963,43.22,42.22,15473627.0,0.0,1.0
2018-03-20,42.35,42.39,41.8963,42.67,42.19,8174406.0,0.0,1.0
2018-03-21,42.03,41.68,41.5798,42.26,41.1,14543053.0,0.0,1.0
2018-03-22,41.05,41.63,40.6103,41.8717,40.97,8792149.0,0.0,1.0
2018-03-23,40.51,41.14,40.076,41.54,40.51,10917445.0,0.0,1.0
2018-03-26,41.33,41.06,40.8873,41.4,40.68,7208515.0,0.0,1.0
2018-03-27,40.91,41.71,40.4718,41.72,40.69,6570556.0,0.0,1.0
2018-03-28,40.59,40.77,40.3728,41.38,40.56,9293082.0,0.22,1.0
2018-03-29,41.73,40.99,41.5067,42.09,40.86,10987990.0,0.0,1.0
2018-04-02,40.71,41.57,40.4922,41.67,40.52,9436760.0,0.0,1.0
2018-04-03,41.18,41.05,40.9597,41.5,40.83,16719020.0,0.0,1.0
2018-04-04,42.07,40.78,41.8449,42.31,40.72,9448892.0,0.0,1.0
2018-04-05,42.2,42.24,41.9742,42.46,42.05,6981472.0,0.0,1.0
2018-04-06,41.48,42.06,41.2581,42.38,41.235,6879148.0,0.0,1.0
2018-04-09,41.68,41.61,41.457,42.13,41.56,8871395.0,0.0,1.0
2018-04-10,41.74,42.1,41.5167,42.31,41.56,7076988.0,0.0,1.0
2018-04-11,41.83,41.57,41.6062,42.14,41.5,7828922.0,0.0,1.0
2018-04-12,42.03,41.85,41.8051,42.19,41.85,6851719.0,0.0,1.0
2018-04-13,42.09,42.21,41.8648,42.27,41.91,6816645.0,0.0,1.0
2018-04-16,42.23,42.1,42.0041,42.3,42.04,5820383.0,0.0,1.0
2018-04-17,41.91,42.38,41.6858,42.39,41.79,5065555.0,0.0,1.0
2018-04-18,41.99,42.04,41.7653,42.0524,41.78,7385504.0,0.0,1.0
2018-04-19,41.01,41.76,40.7906,42.0,40.9,7142243.0,0.0,1.0
2018-04-20,40.11,41.04,39.8954,41.38,39.835,12143576.0,0.0,1.0
2018-04-23,40.35,40.24,40.1341,40.4,40.01,7957336.0,0.0,1.0
2018-04-24,39.77,40.54,39.5572,40.59,39.505,7894819.0,0.0,1.0
2018-04-25,39.68,39.77,39.4677,39.92,39.475,6973463.0,0.0,1.0
2018-04-26,39.77,39.81,39.5572,40.04,39.375,10153320.0,0.0,1.0
2018-04-27,39.93,39.8,39.7164,40.21,39.77,7223550.0,0.0,1.0
2018-04-30,39.5,40.09,39.2887,40.105,39.39,14581193.0,0.0,1.0
2018-05-01,38.99,39.42,38.7814,39.62,38.55,9631501.0,0.0,1.0
2018-05-02,37.89,39.09,37.6873,39.49,37.42,17155115.0,0.0,1.0
2018-05-03,37.57,37.9,37.369,38.12,37.505,9212373.0,0.0,1.0
2018-05-04,38.9,37.5,38.6919,39.3,37.48,15714331.0,0.0,1.0
2018-05-07,38.69,39.03,38.483,39.41,38.61,7418534.0,0.0,1.0
2018-05-08,38.58,38.61,38.3736,38.7,38.315,9404643.0,0.0,1.0
2018-05-09,38.77,38.68,38.5626,38.95,38.51,7829888.0,0.0,1.0
2018-05-10,39.1,38.84,38.8908,39.145,38.78,5762740.0,0.0,1.0
2018-05-11,39.23,39.21,39.0201,39.36,38.96,7666102.0,0.0,1.0
2018-05-14,39.22,39.27,39.0102,39.48,39.13,5870154.0,0.0,1.0
2018-05-15,39.41,39.1,39.1991,39.72,39.1,9679733.0,0.0,1.0
2018-05-16,39.52,39.52,39.3086,39.71,39.3,5989944.0,0.0,1.0
2018-05-17,39.52,39.56,39.3086,39.83,39.35,5590594.0,0.0,1.0
2018-05-18,39.65,39.51,39.4379,39.68,38.94,20267599.0,0.0,1.0
2018-05-21,39.34,39.72,39.1295,39.91,39.24,7568091.0,0.0,1.0
2018-05-22,39.43,39.4,39.219,39.77,39.34,5687823.0,0.0,1.0
2018-05-23,39.45,39.29,39.2389,39.63,39.19,7629149.0,0.0,1.0
2018-05-24,39.56,39.44,39.3483,39.63,39.17,5529623.0,0.0,1.0
2018-05-25,39.58,39.5,39.3682,39.81,39.365,4827669.0,0.0,1.0
2018-05-29,39.33,39.09,39.1196,39.38,38.985,8190947.0,0.0,1.0
2018-05-30,39.68,39.42,39.4677,39.945,39.33,6251986.0,0.0,1.0
2018-05-31,39.27,39.67,39.0599,39.77,39.02,9241541.0,0.0,1.0
2018-06-01,39.56,39.38,39.3483,39.86,39.23,9289048.0,0.0,1.0
2018-06-04,39.78,39.74,39.5672,39.86,39.51,7070689.0,0.0,1.0
2018-06-05,39.26,39.72,39.05,39.8,39.13,8095974.0,0.0,1.0
2018-06-06,39.49,39.37,39.2787,39.53,38.94,7962924.0,0.0,1.0
2018-06-07,39.32,39.24,39.1096,39.58,39.11,5882493.0,0.0,1.0
2018-06-08,39.78,39.35,39.5672,39.84,39.3,7717307.0,0.0,1.0
2018-06-11,40.23,39.77,40.0148,40.35,39.71,6848491.0,0.0,1.0
2018-06-12,40.43,40.24,40.2137,40.515,39.93,8043389.0,0.0,1.0
2018-06-13,40.14,40.33,39.9252,40.51,39.96,9251501.0,0.0,1.0
2018-06-14,40.4,40.07,40.1839,40.58,39.89,7167770.0,0.0,1.0
2018-06-15,40.82,40.32,40.6016,40.98,40.07,13370643.0,0.0,1.0
2018-06-18,40.18,40.7,39.965,40.8,39.98,8244800.0,0.0,1.0
2018-06-19,40.34,40.01,40.1242,40.58,39.9,8610166.0,0.0,1.0
2018-06-20,40.76,40.38,40.5419,40.81,40.04,8344342.0,0.0,1.0
2018-06-21,40.74,40.78,40.522,40.83,40.45,8834619.0,0.0,1.0
2018-06-22,41.3,40.81,41.079,41.4,40.73,8878381.0,0.0,1.0
2018-06-25,41.45,41.29,41.2282,41.7,41.035,8599095.0,0.0,1.0
2018-06-26,41.18,41.42,40.9597,41.57,41.01,4978207.0,0.0,1.0
2018-06-27,40.99,41.09,40.7707,41.49,40.735,6409192.0,0.0,1.0
2018-06-28,40.9,40.88,40.9,41.25,40.63,5494793.0,0.22,1.0
