date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,101.9512,100.52,99.49,1.0,102.9477,102.46,1602113.0,0.0
2018-02-07,102.1502,102.04,102.03,1.0,104.37,102.66,1034642.0,0.0
2018-02-08,100.8567,102.93,101.33,1.0,104.49,101.36,1094382.0,0.0
2018-02-09,101.3343,102.15,99.87,1.0,102.55,101.84,1057102.0,0.0
2018-02-12,101.792,102.19,102.02,1.0,103.13,102.3,695792.0,0.0
2018-02-13,102.2,101.91,101.27,1.0,103.22,102.71,588296.0,0.0
2018-02-14,103.2448,102.2,101.48,1.0,103.89,103.76,625975.0,0.0
2018-02-15,104.2896,104.0,102.19,1.0,104.9,104.81,592296.0,0.0
2018-02-16,104.9761,104.39,103.76,1.0,105.87,105.5,585140.0,0.0
2018-02-20,104.0806,105.49,104.06,1.0,105.66,104.6,895882.0,0.0
2018-02-21,103.5433,104.5,104.0,1.0,105.86,104.06,820882.0,0.0
2018-02-22,104.5383,104.32,104.05,1.0,105.85,105.06,946718.0,0.0
2018-02-23,105.6926,105.09,104.155,1.0,106.625,106.22,856849.0,0.0
2018-02-26,106.8866,106.21,105.73,1.0,107.73,107.42,1105959.0,0.0
2018-02-27,106.0607,107.73,106.59,1.0,108.45,106.59,1062619.0,0.0
2018-02-28,106.2498,107.12,106.58,1.0,108.14,106.78,1232811.0,0.0
2018-03-01,106.21,106.32,106.18,1.0,108.22,106.74,1283559.0,0.0
2018-03-02,107.7523,106.29,106.21,1.0,108.43,108.29,648796.0,0.0
2018-03-05,109.1951,107.96,107.96,1.0,110.15,109.74,1236786.0,0.0
2018-03-06,109.5135,109.67,108.67,1.0,110.27,110.06,920305.0,0.0
2018-03-07,108.6478,109.2,108.76,1.0,109.92,109.19,797859.0,0.0
2018-03-08,109.0757,109.18,108.7,1.0,109.63,109.62,591817.0,0.0
2018-03-09,109.9911,110.0,109.38,1.0,110.57,110.54,1270214.0,0.0
2018-03-12,110.1404,110.71,110.3,1.0,111.46,110.69,555505.0,0.0
2018-03-13,110.1901,111.29,110.51,1.0,111.29,110.74,642523.0,0.0
2018-03-14,110.011,111.02,110.2748,1.0,111.38,110.56,776893.0,0.0
2018-03-15,108.4289,110.62,108.6,1.0,110.94,108.97,640364.0,0.0
2018-03-16,107.2747,108.81,107.7,1.0,109.547,107.81,1268168.0,0.0
2018-03-19,107.3344,107.64,107.29,1.0,108.9,107.87,698896.0,0.0
2018-03-20,107.215,108.07,107.25,1.0,108.57,107.75,669505.0,0.0
