date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,230.7189,227.51,226.81,1.0,234.57,233.63,5108142.0,0.0
2018-02-07,230.2844,233.19,232.821,1.0,237.52,233.19,2885570.0,0.0
2018-02-08,220.1127,233.16,222.65,1.0,233.31,222.89,3751281.0,0.0
2018-02-09,222.4038,224.61,218.18,1.0,226.96,225.21,4518613.0,0.0
2018-02-12,226.3342,227.49,226.1,1.0,230.38,229.19,3290351.0,0.0
2018-02-13,228.4772,229.71,228.93,1.0,231.97,231.36,2523579.0,0.0
2018-02-14,229.1092,229.45,228.47,1.0,232.87,232.0,2337783.0,0.0
2018-02-15,233.2865,233.31,230.88,1.0,234.9,234.87,2127496.0,1.36
2018-02-16,235.0744,234.97,233.39,1.0,238.435,236.67,2221752.0,0.0
2018-02-20,233.4852,234.54,233.91,1.0,236.67,235.07,2675916.0,0.0
2018-02-21,230.6146,234.71,232.1,1.0,237.86,232.18,2561377.0,0.0
2018-02-22,234.4089,232.43,232.26,1.0,237.37,236.0,2284538.0,0.0
2018-02-23,235.422,236.85,234.39,1.0,237.89,237.02,1616681.0,0.0
2018-02-26,242.494,239.01,238.51,1.0,244.86,244.14,3086811.0,0.0
2018-02-27,239.1567,244.61,240.72,1.0,244.67,240.78,1778336.0,0.0
2018-02-28,233.9222,241.64,235.4,1.0,242.28,235.51,2461376.0,0.0
2018-03-01,229.7803,236.15,229.53,1.0,236.83,231.34,3487126.0,0.0
2018-03-02,228.8168,229.75,226.33,1.0,231.27,230.37,2912828.0,0.0
2018-03-05,231.2404,230.0,228.53,1.0,233.71,232.81,2235348.0,0.0
2018-03-06,232.0847,234.05,230.8,1.0,235.92,233.66,2091101.0,0.0
2018-03-07,233.9818,231.22,230.59,1.0,236.22,235.57,2213792.0,0.0
2018-03-08,234.7466,236.35,234.12,1.0,237.69,236.34,1955197.0,0.0
2018-03-09,239.7228,238.0,236.17,1.0,241.37,241.35,1840871.0,0.0
