date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,65.0057,64.79,63.46,1.0,66.67,66.53,16037979.0,0.0
2018-02-07,65.2597,66.45,66.27,1.0,68.21,66.79,8295726.0,0.0
2018-02-08,62.5825,66.66,64.0,1.0,67.27,64.05,13390527.0,0.0
2018-02-09,62.5629,64.53,62.83,1.0,64.68,64.03,10675618.0,0.0
2018-02-12,63.8527,64.47,64.34,1.0,65.8,65.35,6719161.0,0.0
2018-02-13,64.136,65.0,64.73,1.0,65.82,65.64,4748165.0,0.0
2018-02-14,63.6866,65.38,64.92,1.0,65.86,65.18,5490003.0,0.0
2018-02-15,63.8234,65.35,64.6,1.0,65.48,65.32,5346273.0,0.0
2018-02-16,63.9602,65.35,64.85,1.0,66.05,65.46,6195702.0,0.0
2018-02-20,62.7193,65.1,64.18,1.0,65.18,64.19,6086317.0,0.0
2018-02-21,62.4652,64.19,63.8,1.0,64.72,63.93,7066836.0,0.0
2018-02-22,61.8887,64.04,63.25,1.0,65.09,63.34,5625084.0,0.0
2018-02-23,63.1101,63.72,63.53,1.0,64.63,64.59,5530452.0,0.0
2018-02-26,63.9309,64.8,64.7,1.0,65.55,65.43,6303208.0,0.0
2018-02-27,62.5336,65.32,63.885,1.0,65.55,64.0,8858994.0,0.0
2018-02-28,61.5077,64.21,62.93,1.0,64.53,62.95,9103258.0,0.0
2018-03-01,60.9996,62.75,62.1,1.0,63.8,62.43,11717972.0,0.0
2018-03-02,61.1168,62.31,62.11,1.0,63.1,62.55,14796250.0,0.0
2018-03-05,62.6606,62.59,62.4645,1.0,64.24,64.13,9725564.0,0.0
2018-03-06,63.286,64.37,64.1,1.0,64.98,64.77,9306477.0,0.0
2018-03-07,62.602,64.33,63.9,1.0,65.19,64.07,8154224.0,0.0
2018-03-08,63.9309,64.22,64.11,1.0,65.47,65.43,6327407.0,0.0
2018-03-09,64.1458,65.71,65.132,1.0,65.79,65.65,6076841.0,0.0
2018-03-12,64.2631,65.78,65.5631,1.0,66.373,65.77,8234336.0,0.0
2018-03-13,64.6148,66.22,65.76,1.0,66.525,66.13,6972539.0,0.0
2018-03-14,63.0417,65.7,63.61,1.0,65.9,63.82,7932765.0,0.7
2018-03-15,63.0318,63.66,63.4,1.0,64.5,63.81,9618693.0,0.0
2018-03-16,62.4194,63.9,63.06,1.0,64.3,63.19,12053169.0,0.0
2018-03-19,61.718,63.15,62.26,1.0,63.41,62.48,7192107.0,0.0
2018-03-20,60.7698,62.69,61.455,1.0,62.78,61.52,6414097.0,0.0
2018-03-21,59.2683,61.08,59.83,1.0,61.49,60.0,9773726.0,0.0
2018-03-22,59.6535,59.82,59.65,1.0,61.38,60.39,9778942.0,0.0
2018-03-23,58.5472,60.67,59.07,1.0,60.75,59.27,7549701.0,0.0
