date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,25.07,24.21,25.0247,25.25,23.74,6873127.0,0.0,1.0
2018-02-07,25.25,25.05,25.2044,25.69,24.92,4459867.0,0.0,1.0
2018-02-08,24.13,25.24,24.0864,25.42,24.12,4512255.0,0.0,1.0
2018-02-09,24.35,24.46,24.306,24.63,23.46,6834469.0,0.0,1.0
2018-02-12,25.21,24.79,25.1644,25.36,24.515,4532654.0,0.0,1.0
2018-02-13,25.21,25.07,25.1644,25.34,24.775,2998602.0,0.0,1.0
2018-02-14,25.72,24.9,25.6735,25.925,24.9,3928019.0,0.0,1.0
2018-02-15,25.86,26.0,25.8133,26.11,25.435,4848381.0,0.0,1.0
2018-02-16,25.43,25.8,25.384,26.0,25.43,6173467.0,0.0,1.0
2018-02-20,26.76,26.05,26.7116,27.37,26.0,7948499.0,0.0,1.0
2018-02-21,27.46,27.53,27.4104,28.08,27.37,7721917.0,0.0,1.0
2018-02-22,27.45,27.62,27.4004,28.0513,27.28,5782590.0,0.0,1.0
2018-02-23,28.74,27.8,28.6881,28.84,27.59,6054390.0,0.0,1.0
2018-02-26,28.19,28.86,28.1391,29.2,27.91,4823162.0,0.0,1.0
2018-02-27,26.82,28.16,26.7715,28.18,26.8,6718350.0,0.0,1.0
2018-02-28,26.32,26.87,26.2974,26.95,26.32,5836362.0,0.025,1.0
2018-03-01,26.36,26.3,26.3374,26.7,25.85,4192288.0,0.0,1.0
2018-03-02,26.75,26.26,26.727,26.81,25.71,3507000.0,0.0,1.0
2018-03-05,27.98,27.2,27.956,28.28,27.13,8628116.0,0.0,1.0
2018-03-06,27.74,28.15,27.7162,28.46,27.45,5237221.0,0.0,1.0
2018-03-07,27.28,27.41,27.2566,27.61,26.99,3824715.0,0.0,1.0
2018-03-08,27.29,27.35,27.2666,27.35,26.59,4405187.0,0.0,1.0
2018-03-09,28.25,27.5,28.2257,29.18,27.1,7560553.0,0.0,1.0
2018-03-12,27.62,28.13,27.5963,28.26,27.45,4721068.0,0.0,1.0
2018-03-13,27.61,27.65,27.5863,28.29,27.52,4148502.0,0.0,1.0
2018-03-14,27.1,27.7,27.0767,27.84,27.05,3993298.0,0.0,1.0
2018-03-15,26.39,27.12,26.3673,27.2602,26.3525,3988364.0,0.0,1.0
2018-03-16,26.1,26.31,26.0776,26.43,26.035,6050759.0,0.0,1.0
2018-03-19,25.59,25.86,25.568,25.91,25.2,4707169.0,0.0,1.0
2018-03-20,25.03,25.69,25.0085,25.78,25.0,2755299.0,0.0,1.0
2018-03-21,25.26,25.07,25.2383,25.71,24.95,3271717.0,0.0,1.0
2018-03-22,24.68,24.89,24.6588,25.49,24.66,4573192.0,0.0,1.0
2018-03-23,24.26,24.68,24.2392,25.03,24.23,3233674.0,0.0,1.0
2018-03-26,24.65,24.67,24.6288,24.69,24.1,3857614.0,0.0,1.0
2018-03-27,24.2,24.79,24.1792,25.1,24.03,5058288.0,0.0,1.0
2018-03-28,23.57,24.21,23.5498,24.31,23.43,4656717.0,0.0,1.0
2018-03-29,24.28,23.71,24.2591,24.44,23.7,4857385.0,0.0,1.0
2018-04-02,23.67,24.25,23.6497,24.42,23.44,3004139.0,0.0,1.0
2018-04-03,23.93,23.8,23.9094,24.01,23.42,3452143.0,0.0,1.0
2018-04-04,24.1,23.15,24.0793,24.13,22.9,4831599.0,0.0,1.0
2018-04-05,25.19,24.33,25.1684,25.29,24.24,5245484.0,0.0,1.0
2018-04-06,24.22,24.8,24.1992,24.87,23.99,3972174.0,0.0,1.0
2018-04-09,24.49,24.39,24.469,24.79,24.06,3992659.0,0.0,1.0
2018-04-10,25.03,25.0,25.0085,25.37,24.78,3161929.0,0.0,1.0
2018-04-11,24.4,24.65,24.379,24.98,24.2248,4707082.0,0.0,1.0
2018-04-12,24.82,24.51,24.7987,25.06,24.4,3292023.0,0.0,1.0
2018-04-13,24.84,25.02,24.8187,25.07,24.52,1986923.0,0.0,1.0
2018-04-16,25.2,25.03,25.1784,25.26,24.81,3120737.0,0.0,1.0
2018-04-17,25.59,25.44,25.568,25.73,25.09,4672194.0,0.0,1.0
