date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,64.8511,62.93,62.26,1.0,65.94,65.69,4610929.0,0.0
2018-02-07,64.2587,66.96,64.94,1.0,67.64,65.09,5047507.0,0.0
2018-02-08,61.9881,64.91,62.77,1.0,65.3499,62.79,4291576.0,0.0
2018-02-09,63.0247,63.45,61.46,1.0,64.58,63.84,4857207.0,0.0
2018-02-12,63.9428,64.48,64.02,1.0,65.7,64.77,3341159.0,0.0
2018-02-13,65.2361,64.67,64.29,1.0,66.4,66.08,3569354.0,0.0
2018-02-14,67.2895,65.46,65.18,1.0,68.42,68.16,4688021.0,0.0
2018-02-15,66.9341,68.16,66.88,1.0,68.82,67.8,4149872.0,0.0
2018-02-16,67.0625,67.6,66.98,1.0,68.43,67.93,3295522.0,0.0
2018-02-20,65.858,67.45,65.83,1.0,67.8856,66.25,3231489.0,0.46
2018-02-21,65.8779,66.29,66.13,1.0,67.485,66.27,4522167.0,0.0
2018-02-22,66.0668,66.53,66.41,1.0,67.65,66.46,4126385.0,0.0
2018-02-23,66.4147,66.88,65.76,1.0,67.17,66.81,2866270.0,0.0
2018-02-26,65.8978,66.92,66.06,1.0,67.05,66.29,3238323.0,0.0
2018-02-27,65.2119,66.16,65.59,1.0,67.0893,65.6,4318889.0,0.0
2018-02-28,63.681,65.96,64.05,1.0,65.96,64.06,5527236.0,0.0
2018-03-01,64.4067,64.27,64.14,1.0,65.58,64.79,4264752.0,0.0
2018-03-02,64.8043,64.38,64.1,1.0,65.42,65.19,2890128.0,0.0
2018-03-05,65.7686,64.88,64.6,1.0,66.495,66.16,3662047.0,0.0
2018-03-06,66.9913,66.62,66.23,1.0,67.87,67.39,3731063.0,0.0
2018-03-07,67.2796,66.96,66.6824,1.0,68.11,67.68,3536806.0,0.0
2018-03-08,68.6216,68.12,67.39,1.0,69.07,69.03,3606574.0,0.0
2018-03-09,69.8046,69.73,69.43,1.0,70.68,70.22,3898710.0,0.0
2018-03-12,68.8602,70.24,69.17,1.0,70.48,69.27,3130304.0,0.0
