date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,91.33,86.89,90.5182,91.475,85.25,66157030.0,0.0,1.0
2018-02-07,89.61,90.49,88.8135,91.77,89.2,40340551.0,0.0,1.0
2018-02-08,85.01,89.71,84.2544,89.875,84.76,47485202.0,0.0,1.0
2018-02-09,88.18,86.3,87.3962,88.93,83.83,57408480.0,0.0,1.0
2018-02-12,89.13,88.735,88.3378,89.78,87.9295,35501368.0,0.0,1.0
2018-02-13,89.83,88.93,89.0315,90.0,87.8,26200053.0,0.0,1.0
2018-02-14,90.81,88.51,90.4191,90.99,88.41,34314101.0,0.42,1.0
2018-02-15,92.66,91.21,92.2611,92.72,90.62,27407914.0,0.0,1.0
2018-02-16,92.0,92.45,91.604,93.5,91.8,30188535.0,0.0,1.0
2018-02-20,92.72,91.475,92.3209,93.06,91.01,30107057.0,0.0,1.0
2018-02-21,91.49,92.98,91.0962,93.3595,91.49,26081953.0,0.0,1.0
2018-02-22,91.73,92.05,91.3351,92.73,91.36,22723756.0,0.0,1.0
2018-02-23,94.06,92.75,93.6551,94.07,92.36,25779955.0,0.0,1.0
2018-02-26,95.42,94.4,95.0093,95.45,94.25,29760276.0,0.0,1.0
2018-02-27,94.2,95.74,93.7945,95.84,94.2,25540755.0,0.0,1.0
2018-02-28,93.77,94.84,93.3664,95.705,93.63,29314525.0,0.0,1.0
2018-03-01,92.85,93.99,92.4503,94.57,91.84,37135561.0,0.0,1.0
2018-03-02,93.05,91.58,92.6495,93.15,90.86,32830389.0,0.0,1.0
2018-03-05,93.64,92.34,93.2369,94.27,92.26,23901578.0,0.0,1.0
2018-03-06,93.32,94.34,92.9183,94.49,92.941,22175776.0,0.0,1.0
2018-03-07,93.86,93.16,93.456,93.9406,92.43,26716127.0,0.0,1.0
2018-03-08,94.43,94.27,94.0235,95.1,93.765,24861307.0,0.0,1.0
2018-03-09,96.54,95.29,96.1244,96.54,95.0,36145524.0,0.0,1.0
2018-03-12,96.77,96.5,96.3534,97.21,96.04,25333720.0,0.0,1.0
2018-03-13,94.41,97.0,94.0036,97.24,93.97,34445391.0,0.0,1.0
2018-03-14,93.85,95.12,93.446,95.41,93.5,31576898.0,0.0,1.0
2018-03-15,94.18,93.53,93.7746,94.58,92.83,26279014.0,0.0,1.0
2018-03-16,94.6,94.68,94.1928,95.38,93.92,47329521.0,0.0,1.0
2018-03-19,92.89,93.74,92.4901,93.9,92.11,31752589.0,0.0,1.0
2018-03-20,93.13,93.05,92.7291,93.77,93.0,21787780.0,0.0,1.0
2018-03-21,92.48,92.93,92.0819,94.05,92.21,23753263.0,0.0,1.0
2018-03-22,89.79,91.265,89.4035,91.75,89.66,37578166.0,0.0,1.0
2018-03-23,87.18,89.5,86.8047,90.46,87.08,42159397.0,0.0,1.0
2018-03-26,93.78,90.61,93.3763,94.0,90.4,55031149.0,0.0,1.0
2018-03-27,89.47,94.94,89.0849,95.139,88.51,53704562.0,0.0,1.0
2018-03-28,89.39,89.82,89.0052,91.23,88.873,52501146.0,0.0,1.0
2018-03-29,91.27,90.18,90.8771,92.29,88.4,45867548.0,0.0,1.0
2018-04-02,88.52,90.47,88.139,90.88,87.51,48515417.0,0.0,1.0
2018-04-03,89.71,89.575,89.3238,90.05,87.89,37213837.0,0.0,1.0
2018-04-04,92.33,87.85,91.9326,92.76,87.73,35559956.0,0.0,1.0
2018-04-05,92.38,92.435,91.9823,93.065,91.4,29771881.0,0.0,1.0
2018-04-06,90.23,91.49,89.8416,92.46,89.48,38026000.0,0.0,1.0
2018-04-09,90.77,91.04,90.3793,93.17,90.62,31533943.0,0.0,1.0
2018-04-10,92.88,92.39,92.4802,93.28,91.64,26939883.0,0.0,1.0
2018-04-11,91.86,92.01,91.4646,93.29,91.48,24872110.0,0.0,1.0
2018-04-12,93.58,92.43,93.1772,94.16,92.43,26758879.0,0.0,1.0
2018-04-13,93.08,94.05,92.6793,94.18,92.44,23346063.0,0.0,1.0
