date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,183.4831,175.31,175.31,1.0,188.36,185.06,1388418.0,0.0
2018-02-07,183.3938,183.83,183.53,1.0,187.35,184.97,512071.0,0.0
2018-02-08,176.8303,185.2,178.23,1.0,185.625,178.35,940239.0,0.0
2018-02-09,181.0639,180.65,177.0,1.0,183.98,182.62,810409.0,0.0
2018-02-12,183.1757,183.42,181.2,1.0,187.37,184.75,770644.0,0.0
2018-02-13,184.5638,183.34,183.2,1.0,187.29,186.15,661761.0,0.0
2018-02-14,190.3441,185.15,184.92,1.0,192.3,191.98,759180.0,0.0
2018-02-15,189.4716,192.52,189.78,1.0,193.0,191.1,661490.0,0.0
2018-02-16,190.007,189.92,189.92,1.0,194.24,191.64,792211.0,0.0
2018-02-20,189.0155,190.6,190.28,1.0,193.43,190.64,696031.0,0.0
2018-02-21,191.177,191.03,190.91,1.0,196.64,192.82,826275.0,0.0
2018-02-22,187.8852,194.14,188.79,1.0,194.45,189.5,627846.0,0.0
2018-02-23,191.8611,190.26,189.985,1.0,193.68,193.51,518651.0,0.0
2018-02-26,193.6557,194.48,192.92,1.0,195.6,195.32,657996.0,0.0
2018-02-27,190.5523,195.67,192.19,1.0,197.37,192.19,506444.0,0.0
2018-02-28,188.2223,192.59,189.84,1.0,195.58,189.84,742806.0,0.0
2018-03-01,187.2408,190.6,187.235,1.0,191.99,188.85,832222.0,0.0
2018-03-02,190.0962,187.28,185.8003,1.0,191.45,190.98,654643.0,0.75
2018-03-05,192.8534,188.94,186.145,1.0,195.25,193.75,663829.0,0.0
2018-03-06,194.4361,194.08,191.83,1.0,195.74,195.34,532613.0,0.0
2018-03-07,194.2868,194.04,191.86,1.0,195.44,195.19,594452.0,0.0
2018-03-08,193.7891,196.0,191.78,1.0,196.0,194.69,435426.0,0.0
2018-03-09,195.8993,196.28,194.44,1.0,196.86,196.81,780775.0,0.0
2018-03-12,194.0081,196.28,194.08,1.0,197.35,194.91,631008.0,0.0
2018-03-13,192.1567,196.26,192.47,1.0,196.295,193.05,401542.0,0.0
2018-03-14,189.4293,194.12,189.525,1.0,194.35,190.31,472058.0,0.0
2018-03-15,189.4493,191.26,189.35,1.0,191.69,190.33,357593.0,0.0
2018-03-16,189.4891,190.36,190.26,1.0,192.35,190.37,1281442.0,0.0
2018-03-19,188.4141,190.39,187.09,1.0,190.97,189.29,590160.0,0.0
2018-03-20,187.8168,190.35,188.08,1.0,191.09,188.69,473987.0,0.0
2018-03-21,188.7724,189.22,188.22,1.0,192.15,189.65,410869.0,0.0
