date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,40.98,39.7,40.98,41.59,39.55,6326195.0,0.0,1.0
2018-02-07,40.45,40.52,40.45,41.08,39.95,4793449.0,0.0,1.0
2018-02-08,39.25,40.67,39.25,41.34,39.22,6719753.0,0.0,1.0
2018-02-09,39.28,39.27,39.28,39.7299,38.1,6785732.0,0.0,1.0
2018-02-12,40.6,39.6,40.6,41.47,39.59,7887274.0,0.0,1.0
2018-02-13,40.41,40.29,40.41,40.98,40.11,4248321.0,0.0,1.0
2018-02-14,41.34,40.17,41.34,41.59,39.99,4050100.0,0.0,1.0
2018-02-15,41.65,41.87,41.65,41.95,40.88,3127145.0,0.0,1.0
2018-02-16,42.14,41.75,42.14,42.46,41.71,3376974.0,0.0,1.0
2018-02-20,41.34,42.12,41.34,42.16,40.82,5304894.0,0.0,1.0
2018-02-21,41.21,41.38,41.21,42.03,40.91,3429268.0,0.0,1.0
2018-02-22,41.28,41.49,41.28,42.04,41.06,3460199.0,0.0,1.0
2018-02-23,41.45,41.69,41.45,42.0,41.16,2770317.0,0.0,1.0
2018-02-26,41.78,41.57,41.78,41.89,40.91,3195436.0,0.0,1.0
2018-02-27,41.11,41.75,41.11,41.9599,40.87,3795201.0,0.0,1.0
2018-02-28,40.32,41.43,40.32,41.43,40.3,5085968.0,0.0,1.0
2018-03-01,40.69,41.6,40.69,43.04,40.66,10688102.0,0.0,1.0
2018-03-02,40.97,40.35,40.97,41.2,39.55,7072373.0,0.0,1.0
2018-03-05,41.54,40.55,41.54,41.78,40.17,4599924.0,0.0,1.0
2018-03-06,43.23,43.09,43.23,44.18,42.5,8017426.0,0.0,1.0
2018-03-07,42.49,42.94,42.49,43.21,42.31,5814966.0,0.0,1.0
2018-03-08,42.01,42.54,42.01,42.88,41.78,4181738.0,0.0,1.0
2018-03-09,42.51,42.43,42.51,42.56,41.8,5562053.0,0.0,1.0
2018-03-12,42.78,42.76,42.78,43.08,42.365,5804249.0,0.0,1.0
2018-03-13,42.35,43.04,42.35,43.32,42.21,3432426.0,0.0,1.0
2018-03-14,42.02,42.52,42.02,42.69,41.57,3140635.0,0.0,1.0
2018-03-15,41.67,42.18,41.67,42.32,41.59,2448197.0,0.0,1.0
2018-03-16,41.73,41.79,41.73,42.4,41.65,6666979.0,0.0,1.0
2018-03-19,40.8,41.55,40.8,41.7,40.38,4348628.0,0.0,1.0
2018-03-20,40.41,40.82,40.41,41.08,40.02,3061022.0,0.0,1.0
2018-03-21,41.16,40.42,41.16,41.48,40.14,3137096.0,0.0,1.0
2018-03-22,39.87,40.62,39.87,41.0,39.79,3533223.0,0.0,1.0
2018-03-23,38.87,39.92,38.87,40.065,38.8,3308912.0,0.0,1.0
2018-03-26,39.86,39.52,39.86,39.96,38.58,4082907.0,0.0,1.0
2018-03-27,39.53,40.13,39.53,40.25,39.36,3472060.0,0.0,1.0
2018-03-28,40.5,40.01,40.5,40.71,39.76,5646686.0,0.0,1.0
2018-03-29,41.17,40.58,41.17,41.45,40.27,4118142.0,0.0,1.0
2018-04-02,39.54,40.86,39.54,40.87,39.15,4484280.0,0.0,1.0
2018-04-03,40.39,39.93,40.39,40.61,39.39,2685002.0,0.0,1.0
2018-04-04,40.8,39.91,40.8,40.95,39.7,3007368.0,0.0,1.0
2018-04-05,40.45,40.93,40.45,40.99,40.26,2267812.0,0.0,1.0
2018-04-06,39.52,40.28,39.52,40.61,39.07,3107488.0,0.0,1.0
2018-04-09,39.85,39.79,39.85,40.68,39.35,4637233.0,0.0,1.0
2018-04-10,41.52,40.42,41.52,41.94,40.4,5788854.0,0.0,1.0
2018-04-11,40.39,41.13,40.39,41.88,39.47,6875362.0,0.0,1.0
2018-04-12,41.26,40.79,41.26,41.56,40.55,4450481.0,0.0,1.0
2018-04-13,40.62,41.0,40.62,41.01,39.735,4683297.0,0.0,1.0
2018-04-16,40.72,41.02,40.72,41.3597,40.41,2099082.0,0.0,1.0
2018-04-17,40.98,40.91,40.98,41.07,40.67,2280616.0,0.0,1.0
2018-04-18,40.74,41.11,40.74,41.2286,40.41,2461188.0,0.0,1.0
2018-04-19,40.81,40.82,40.81,41.24,40.34,2736311.0,0.0,1.0
2018-04-20,40.72,40.72,40.72,40.99,40.43,3430277.0,0.0,1.0
2018-04-23,40.78,40.79,40.78,40.99,40.5002,2930545.0,0.0,1.0
2018-04-24,40.25,40.9,40.25,41.2,39.85,4932780.0,0.0,1.0
2018-04-25,38.94,40.08,38.94,40.15,38.44,6332807.0,0.0,1.0
2018-04-26,39.5,39.1,39.5,39.64,38.565,3230255.0,0.0,1.0
2018-04-27,39.34,39.46,39.34,39.91,39.21,2982549.0,0.0,1.0
2018-04-30,38.76,39.47,38.76,39.79,38.75,3564177.0,0.0,1.0
2018-05-01,38.78,38.56,38.78,39.09,38.37,4197549.0,0.0,1.0
2018-05-02,36.77,38.63,36.77,38.65,36.67,8679690.0,0.0,1.0
2018-05-03,36.05,36.78,36.05,37.25,34.95,9445277.0,0.0,1.0
2018-05-04,35.98,35.38,35.98,36.07,35.38,4371000.0,0.0,1.0
2018-05-07,36.11,36.1,36.11,36.47,35.76,3960429.0,0.0,1.0
2018-05-08,35.37,36.0,35.37,36.16,35.12,5100228.0,0.0,1.0
2018-05-09,36.72,35.61,36.72,37.1803,35.4,6111633.0,0.0,1.0
2018-05-10,37.9,36.69,37.9,38.24,36.54,4443649.0,0.0,1.0
2018-05-11,38.41,37.89,38.41,38.58,37.605,4468994.0,0.0,1.0
2018-05-14,38.26,38.32,38.26,38.88,38.0,3232568.0,0.0,1.0
2018-05-15,38.5,38.09,38.5,38.7,37.91,3328766.0,0.0,1.0
2018-05-16,39.18,38.46,39.18,39.24,38.3,3943947.0,0.0,1.0
2018-05-17,40.08,39.2,40.08,40.46,39.03,6222237.0,0.0,1.0
2018-05-18,39.66,40.26,39.66,40.26,39.55,4590536.0,0.0,1.0
2018-05-21,39.55,39.82,39.55,40.13,39.3402,2594543.0,0.0,1.0
2018-05-22,39.21,39.74,39.21,40.07,39.13,2819859.0,0.0,1.0
2018-05-23,39.63,38.97,39.63,39.71,38.8405,3892481.0,0.0,1.0
2018-05-24,39.33,39.62,39.33,39.89,38.94,3329930.0,0.0,1.0
2018-05-25,39.38,39.37,39.38,39.89,39.19,2235264.0,0.0,1.0
2018-05-29,38.68,38.95,38.68,39.2,38.39,3913822.0,0.0,1.0
2018-05-30,39.48,38.93,39.48,39.7,38.73,2392214.0,0.0,1.0
2018-05-31,38.46,39.29,38.46,39.39,38.29,7378686.0,0.0,1.0
2018-06-01,38.84,38.82,38.84,39.805,38.51,4987937.0,0.0,1.0
2018-06-04,38.5,39.05,38.5,39.19,38.3,4958685.0,0.0,1.0
2018-06-05,39.98,40.5,39.98,41.6,39.945,12468195.0,0.0,1.0
2018-06-06,40.48,40.01,40.48,40.75,39.35,6429172.0,0.0,1.0
2018-06-07,41.01,40.58,41.01,41.2799,40.54,6865526.0,0.0,1.0
2018-06-08,41.36,41.01,41.36,41.529,40.881,4245415.0,0.0,1.0
2018-06-11,41.77,41.35,41.77,42.3,41.3,3339237.0,0.0,1.0
2018-06-12,41.86,41.77,41.86,42.07,41.61,2655349.0,0.0,1.0
2018-06-13,41.67,42.04,41.67,42.5,41.64,4841317.0,0.0,1.0
2018-06-14,39.51,40.87,39.51,40.99,38.8,13978383.0,0.0,1.0
2018-06-15,39.0,39.7,39.0,39.86,38.74,7885309.0,0.0,1.0
2018-06-18,38.58,38.68,38.58,38.92,37.96,5207671.0,0.0,1.0
2018-06-19,38.73,38.05,38.73,38.785,37.9301,3030140.0,0.0,1.0
2018-06-20,38.87,38.82,38.87,39.12,38.56,3196314.0,0.0,1.0
2018-06-21,38.63,38.93,38.63,39.02,38.33,2094562.0,0.0,1.0
2018-06-22,38.31,38.95,38.31,38.99,38.1,4842081.0,0.0,1.0
2018-06-25,38.11,38.29,38.11,38.44,37.42,3271580.0,0.0,1.0
2018-06-26,38.29,38.06,38.29,38.7502,37.95,3153035.0,0.0,1.0
2018-06-27,37.45,38.18,37.45,38.49,37.38,4337101.0,0.0,1.0
2018-06-28,36.33,37.27,36.33,37.27,35.89,6163173.0,0.0,1.0
