date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,149.56,151.83,147.4785,153.36,147.15,4222453.0,0.0,1.0
2018-02-07,148.09,149.61,146.0289,150.68,147.89,2782190.0,0.0,1.0
2018-02-08,145.29,147.68,143.2679,149.1135,145.27,2383998.0,0.0,1.0
2018-02-09,148.1,145.98,146.0388,149.15,145.1023,2265942.0,0.0,1.0
2018-02-12,150.0,148.22,147.9124,151.15,146.86,2022052.0,0.0,1.0
2018-02-13,151.07,149.78,148.9675,151.82,148.25,1576970.0,0.0,1.0
2018-02-14,150.08,150.08,147.9912,151.53,148.79,1542604.0,0.0,1.0
2018-02-15,154.43,150.23,152.2807,154.44,149.84,2158729.0,0.0,1.0
2018-02-16,156.05,154.67,153.8782,156.56,153.58,1632966.0,0.0,1.0
2018-02-20,153.81,155.58,151.6693,156.11,153.24,1941528.0,0.0,1.0
2018-02-21,151.76,153.81,149.6479,155.1863,151.6,2131520.0,0.0,1.0
2018-02-22,152.31,152.51,150.1902,153.49,151.32,1408611.0,0.0,1.0
2018-02-23,156.26,152.48,154.0852,156.65,152.38,1797386.0,0.0,1.0
2018-02-26,154.65,155.74,153.5922,156.3247,154.13,1928703.0,1.11,1.0
2018-02-27,151.68,154.72,150.6425,155.47,151.68,2033853.0,0.0,1.0
2018-02-28,152.15,152.33,151.1093,153.51,151.76,2712222.0,0.0,1.0
2018-03-01,153.23,152.7,152.1819,154.38,151.98,3078851.0,0.0,1.0
2018-03-02,152.85,153.2,151.8045,154.58,151.34,2174202.0,0.0,1.0
2018-03-05,155.02,152.7,153.9597,155.23,152.07,1717715.0,0.0,1.0
2018-03-06,153.26,154.58,152.2117,155.58,152.85,2626219.0,0.0,1.0
2018-03-07,153.05,152.74,152.0031,153.69,152.06,2075994.0,0.0,1.0
2018-03-08,154.31,153.57,153.2545,154.675,152.935,1423451.0,0.0,1.0
2018-03-09,154.81,154.35,153.7511,154.89,153.28,1607098.0,0.0,1.0
2018-03-12,154.39,154.7,153.334,154.99,153.54,1905966.0,0.0,1.0
2018-03-13,154.67,155.22,153.6121,156.39,154.03,1621854.0,0.0,1.0
2018-03-14,158.01,156.1,156.9292,158.44,156.04,3059889.0,0.0,1.0
2018-03-15,158.14,158.0,157.0583,159.08,156.9,2312532.0,0.0,1.0
2018-03-16,161.04,158.42,159.9385,161.68,158.26,7860709.0,0.0,1.0
2018-03-19,159.93,161.04,158.8361,161.69,158.8,2353904.0,0.0,1.0
2018-03-20,160.42,160.1,159.3227,160.73,159.51,1587038.0,0.0,1.0
2018-03-21,160.08,160.42,158.985,161.96,159.67,1346610.0,0.0,1.0
2018-03-22,161.89,160.31,160.7827,164.25,159.8,3416191.0,0.0,1.0
2018-03-23,159.49,161.98,158.3991,163.58,159.19,3040311.0,0.0,1.0
2018-03-26,161.43,160.03,160.3258,162.07,159.885,1729627.0,0.0,1.0
2018-03-27,162.59,161.75,161.4779,164.41,161.0,2200844.0,0.0,1.0
2018-03-28,162.27,163.15,161.1601,163.45,160.04,3332269.0,0.0,1.0
2018-03-29,163.33,163.53,162.2128,164.12,162.72,1954667.0,0.0,1.0
2018-04-02,162.37,163.94,161.2594,164.71,161.03,2028333.0,0.0,1.0
2018-04-03,162.0,162.37,160.8919,163.2,160.7301,2392836.0,0.0,1.0
2018-04-04,162.33,161.7,161.2197,162.7,160.45,1681100.0,0.0,1.0
2018-04-05,164.0,162.27,162.8782,164.43,160.75,1546768.0,0.0,1.0
2018-04-06,162.75,163.54,161.6368,164.159,162.23,1442758.0,0.0,1.0
2018-04-09,162.13,162.3,161.021,163.42,161.36,1829004.0,0.0,1.0
2018-04-10,161.8,160.93,160.6933,162.74,160.93,1953058.0,0.0,1.0
2018-04-11,161.04,161.3,159.9385,161.74,160.2502,1255603.0,0.0,1.0
2018-04-12,159.07,161.03,157.982,161.7266,158.65,1559069.0,0.0,1.0
2018-04-13,160.22,159.67,159.1241,160.89,159.5,1370776.0,0.0,1.0
2018-04-16,162.12,161.01,161.0111,162.65,160.7206,1650719.0,0.0,1.0
2018-04-17,163.22,162.24,162.1036,163.61,161.15,1329142.0,0.0,1.0
2018-04-18,162.86,163.93,161.746,165.15,162.79,1083234.0,0.0,1.0
2018-04-19,162.54,162.68,161.4282,163.12,161.06,1633917.0,0.0,1.0
2018-04-20,160.79,162.72,159.6902,163.42,160.14,1728800.0,0.0,1.0
2018-04-23,161.13,161.17,160.0279,161.48,160.3,1644000.0,0.0,1.0
2018-04-24,162.17,162.0,161.0608,163.85,159.61,2912977.0,0.0,1.0
2018-04-25,160.33,161.56,159.2333,162.77,159.9,1976064.0,0.0,1.0
2018-04-26,163.21,160.84,162.0936,163.879,160.59,1850636.0,0.0,1.0
2018-04-27,163.96,162.71,162.8385,164.41,162.318,1420451.0,0.0,1.0
2018-04-30,163.91,164.29,162.7889,164.95,163.8,2264382.0,0.0,1.0
2018-05-01,163.22,163.69,162.1036,163.75,162.77,1257127.0,0.0,1.0
2018-05-02,163.45,163.46,162.332,164.16,162.85,2673488.0,0.0,1.0
2018-05-03,163.06,162.83,161.9447,164.1,161.52,2615063.0,0.0,1.0
2018-05-04,164.09,163.2,162.9676,165.13,163.07,1615902.0,0.0,1.0
2018-05-07,163.35,164.28,162.2327,164.34,162.8923,1969253.0,0.0,1.0
2018-05-08,159.91,162.61,158.8162,162.62,159.54,2204354.0,0.0,1.0
2018-05-09,158.29,160.14,157.2073,160.29,157.86,2216198.0,0.0,1.0
2018-05-10,160.23,159.74,159.134,160.27,158.5,1962412.0,0.0,1.0
2018-05-11,160.74,160.73,159.6405,161.33,159.95,1073156.0,0.0,1.0
2018-05-14,160.2,161.05,159.1042,161.13,159.37,1185385.0,0.0,1.0
2018-05-15,158.85,159.25,157.7635,159.91,157.55,1519089.0,0.0,1.0
2018-05-16,157.17,158.61,156.095,159.01,156.66,1538800.0,0.0,1.0
2018-05-17,156.42,157.54,155.3501,157.82,156.03,1489147.0,0.0,1.0
2018-05-18,156.45,156.47,155.3799,157.36,155.22,1564184.0,0.0,1.0
2018-05-21,160.22,157.05,159.1241,160.54,157.0,2096297.0,0.0,1.0
2018-05-22,159.43,160.66,158.3395,161.33,159.17,1637510.0,0.0,1.0
2018-05-23,160.28,160.08,159.1837,160.89,159.385,2254298.0,0.0,1.0
2018-05-24,161.2,160.13,160.0974,161.68,159.98,1602150.0,0.0,1.0
2018-05-25,162.42,161.21,161.309,162.99,161.08,1624461.0,0.0,1.0
2018-05-29,163.73,161.65,162.6101,164.49,161.65,1918518.0,0.0,1.0
2018-05-30,165.27,163.36,164.1395,165.67,163.05,2202948.0,0.0,1.0
2018-05-31,165.81,164.78,164.6759,166.62,164.24,2664989.0,0.0,1.0
2018-06-01,163.08,165.67,161.9645,165.67,162.0207,1949315.0,0.0,1.0
2018-06-04,161.17,162.51,161.17,163.09,160.69,1793429.0,1.11,1.0
2018-06-05,159.3,161.39,159.3,161.42,158.95,2123334.0,0.0,1.0
2018-06-06,156.13,159.32,156.13,159.99,155.78,2529233.0,0.0,1.0
2018-06-07,156.38,156.19,156.38,157.65,155.46,1776144.0,0.0,1.0
2018-06-08,156.8,156.67,156.8,157.36,156.2,1806893.0,0.0,1.0
2018-06-11,155.4,157.02,155.4,157.17,155.0578,1606469.0,0.0,1.0
2018-06-12,157.41,155.4,157.41,157.55,155.27,1862690.0,0.0,1.0
2018-06-13,157.14,157.63,157.14,158.69,156.72,1568016.0,0.0,1.0
2018-06-14,158.82,157.16,158.82,159.16,156.23,2211482.0,0.0,1.0
2018-06-15,159.54,158.58,159.54,159.65,156.85,4170463.0,0.0,1.0
2018-06-18,160.41,159.62,160.41,160.7687,159.15,1603909.0,0.0,1.0
2018-06-19,163.0,160.64,163.0,163.1,160.64,2480586.0,0.0,1.0
2018-06-20,162.7,163.53,162.7,163.53,162.16,1312909.0,0.0,1.0
2018-06-21,163.37,162.65,163.37,164.57,162.5,1759473.0,0.0,1.0
2018-06-22,164.3,163.64,164.3,164.43,162.78,2302085.0,0.0,1.0
2018-06-25,166.4,164.94,166.4,166.85,164.4,1758328.0,0.0,1.0
2018-06-26,166.77,166.33,166.77,168.32,166.33,1976299.0,0.0,1.0
2018-06-27,168.08,167.34,168.08,168.65,166.96,2208735.0,0.0,1.0
2018-06-28,166.81,168.22,166.81,169.53,166.56,1959630.0,0.0,1.0
