date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,29.64,28.9,29.64,30.13,28.65,3595466.0,0.0,1.0
2018-02-07,28.53,29.57,28.53,29.93,28.46,3793108.0,0.0,1.0
2018-02-08,26.38,28.57,26.38,28.84,26.34,3905373.0,0.0,1.0
2018-02-09,25.98,26.6,25.98,26.79,24.56,5402788.0,0.0,1.0
2018-02-12,26.78,26.44,26.78,27.33,26.25,3653673.0,0.0,1.0
2018-02-13,26.11,26.44,26.11,26.78,26.01,2815938.0,0.0,1.0
2018-02-14,26.73,25.7,26.73,26.78,25.41,3524231.0,0.0,1.0
2018-02-15,25.69,26.87,25.69,26.87,25.045,4519293.0,0.0,1.0
2018-02-16,25.9,25.56,25.9,26.57,25.51,4350968.0,0.0,1.0
2018-02-20,25.73,26.03,25.73,26.4,25.555,5441494.0,0.0,1.0
2018-02-21,23.2,24.33,23.2,25.02,23.1,13063020.0,0.0,1.0
2018-02-22,23.46,23.6,23.46,24.23,22.96,6974161.0,0.0,1.0
2018-02-23,24.66,23.67,24.66,24.7,23.56,6234438.0,0.0,1.0
2018-02-26,24.86,24.75,24.86,25.06,24.41,4969385.0,0.0,1.0
2018-02-27,24.24,24.74,24.24,25.01,24.23,3829321.0,0.0,1.0
2018-02-28,23.33,24.36,23.33,24.62,23.31,5278799.0,0.0,1.0
2018-03-01,23.35,23.4,23.35,23.94,23.24,4548183.0,0.0,1.0
2018-03-02,23.96,23.3,23.96,24.01,23.05,3771395.0,0.0,1.0
2018-03-05,24.38,23.95,24.38,24.62,23.88,3728369.0,0.0,1.0
2018-03-06,23.2,24.67,23.2,24.71,23.17,5575638.0,0.0,1.0
2018-03-07,22.94,23.01,22.94,23.63,22.72,5428250.0,0.0,1.0
2018-03-08,23.51,23.1,23.51,23.61,22.93,4097033.0,0.0,1.0
2018-03-09,23.37,23.81,23.37,23.93,23.26,3629659.0,0.0,1.0
2018-03-12,23.3,23.31,23.3,23.66,23.15,2927041.0,0.0,1.0
2018-03-13,23.5,23.42,23.5,23.81,23.3,4008605.0,0.0,1.0
2018-03-14,23.54,23.52,23.54,23.81,23.42,3185301.0,0.0,1.0
2018-03-15,23.77,23.72,23.77,24.2,23.58,4614286.0,0.0,1.0
2018-03-16,24.27,23.89,24.27,24.6811,23.64,6388784.0,0.0,1.0
2018-03-19,23.16,23.93,23.16,24.16,23.02,4672061.0,0.0,1.0
2018-03-20,23.4,23.38,23.4,23.88,23.35,3635304.0,0.0,1.0
2018-03-21,24.8,23.59,24.8,25.04,23.54,6114708.0,0.0,1.0
2018-03-22,24.26,24.52,24.26,24.87,24.24,5933056.0,0.0,1.0
2018-03-23,24.36,24.39,24.36,25.29,24.12,5249387.0,0.0,1.0
2018-03-26,24.63,24.71,24.63,24.82,24.085,6028353.0,0.0,1.0
2018-03-27,23.67,24.67,23.67,24.96,23.52,4367370.0,0.0,1.0
2018-03-28,23.41,23.81,23.41,24.09,23.255,3358532.0,0.0,1.0
2018-03-29,24.42,23.55,24.42,24.51,23.53,3449644.0,0.0,1.0
2018-04-02,23.58,24.28,23.58,24.28,23.015,4103113.0,0.0,1.0
2018-04-03,24.34,23.75,24.34,24.36,23.2441,3662884.0,0.0,1.0
2018-04-04,23.81,23.69,23.81,24.02,23.48,3979430.0,0.0,1.0
2018-04-05,24.66,24.01,24.66,24.945,23.94,4398162.0,0.0,1.0
2018-04-06,24.25,24.45,24.25,24.88,23.79,4231750.0,0.0,1.0
2018-04-09,24.45,24.42,24.45,25.04,24.25,3923654.0,0.0,1.0
2018-04-10,25.93,24.89,25.93,26.33,24.89,5832852.0,0.0,1.0
2018-04-11,26.62,25.93,26.62,26.8,25.8,4715834.0,0.0,1.0
2018-04-12,26.01,26.62,26.01,26.66,25.48,6007327.0,0.0,1.0
2018-04-13,25.89,26.11,25.89,26.38,25.82,4059237.0,0.0,1.0
2018-04-16,26.0,25.8,26.0,26.06,25.59,3431100.0,0.0,1.0
2018-04-17,26.34,25.87,26.34,26.48,25.64,2988975.0,0.0,1.0
2018-04-18,27.89,27.01,27.89,28.37,26.93,6332660.0,0.0,1.0
2018-04-19,28.11,28.13,28.11,28.31,27.5226,4296015.0,0.0,1.0
2018-04-20,27.91,27.91,27.91,28.08,27.29,3256744.0,0.0,1.0
2018-04-23,28.37,27.73,28.37,28.56,27.58,2880313.0,0.0,1.0
2018-04-24,28.42,28.56,28.42,28.75,27.99,3423374.0,0.0,1.0
2018-04-25,29.38,28.3,29.38,29.52,27.96,4461424.0,0.0,1.0
2018-04-26,29.55,29.51,29.55,29.58,29.055,2865747.0,0.0,1.0
2018-04-27,29.56,29.45,29.56,29.82,29.15,3077026.0,0.0,1.0
2018-04-30,29.8,29.5,29.8,30.39,29.43,5101508.0,0.0,1.0
2018-05-01,30.08,29.51,30.08,30.325,29.3,4981953.0,0.0,1.0
2018-05-02,27.89,29.53,27.89,29.54,27.06,9115217.0,0.0,1.0
