date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,78.73,80.46,78.73,83.28,73.01,3759838.0,0.0,1.0
2018-02-07,76.57,80.0,76.57,80.87,70.01,3475249.0,0.0,1.0
2018-02-08,74.65,78.01,74.65,78.31,73.69,2279644.0,0.0,1.0
2018-02-09,74.64,75.3,74.64,76.26,69.5,2199960.0,0.0,1.0
2018-02-12,78.7,74.97,78.7,79.39,73.52,2268653.0,0.0,1.0
2018-02-13,75.66,78.01,75.66,78.49,75.26,1574223.0,0.0,1.0
2018-02-14,84.0,72.99,84.0,86.8713,70.45,8576766.0,0.0,1.0
2018-02-15,82.14,86.19,82.14,86.34,81.099,2595486.0,0.0,1.0
2018-02-16,83.43,81.77,83.43,84.025,81.33,2316199.0,0.0,1.0
2018-02-20,83.45,83.55,83.45,87.45,82.9,2371717.0,0.0,1.0
2018-02-21,86.45,83.26,86.45,89.4854,83.26,2027561.0,0.0,1.0
2018-02-22,88.21,86.59,88.21,90.96,86.59,2382300.0,0.0,1.0
2018-02-23,89.6,88.7,89.6,89.97,87.13,1278764.0,0.0,1.0
2018-02-26,90.56,89.59,90.56,90.91,89.55,1936356.0,0.0,1.0
2018-02-27,90.05,90.82,90.05,91.95,89.85,1037030.0,0.0,1.0
2018-02-28,86.56,89.86,86.56,90.47,86.43,1298526.0,0.0,1.0
2018-03-01,84.55,86.98,84.55,86.989,82.1,2415052.0,0.0,1.0
2018-03-02,102.87,88.5,102.87,104.93,87.0,6588638.0,0.0,1.0
2018-03-05,102.08,102.5,102.08,105.74,100.52,2073709.0,0.0,1.0
2018-03-06,98.09,99.41,98.09,101.14,97.35,3160327.0,0.0,1.0
2018-03-07,101.3,96.11,101.3,101.34,96.02,2522570.0,0.0,1.0
2018-03-08,108.44,102.4,108.44,108.5,100.61,2027932.0,0.0,1.0
2018-03-09,108.34,107.17,108.34,109.32,105.75,1799879.0,0.0,1.0
2018-03-12,103.07,109.42,103.07,111.36,101.81,3079983.0,0.0,1.0
2018-03-13,103.16,103.83,103.16,103.958,99.16,2377848.0,0.0,1.0
2018-03-14,104.51,103.99,104.51,109.22,102.01,3490712.0,0.0,1.0
2018-03-15,102.01,104.27,102.01,105.09,99.81,2940729.0,0.0,1.0
2018-03-16,103.0,102.37,103.0,105.03,101.65,29337177.0,0.0,1.0
2018-03-19,105.01,103.08,105.01,107.33,102.865,3169846.0,0.0,1.0
2018-03-20,107.2,105.25,107.2,109.02,104.781,3393817.0,0.0,1.0
2018-03-21,106.91,107.42,106.91,109.09,106.44,1706836.0,0.0,1.0
2018-03-22,104.01,105.71,104.01,108.07,103.37,1787377.0,0.0,1.0
2018-03-23,103.0,103.89,103.0,105.6,102.7852,1671922.0,0.0,1.0
2018-03-26,107.03,104.96,107.03,107.34,103.6,2092899.0,0.0,1.0
2018-03-27,104.51,106.57,104.51,107.25,103.57,1556023.0,0.0,1.0
2018-03-28,105.01,104.88,105.01,106.66,103.24,1416955.0,0.0,1.0
2018-03-29,106.26,105.34,106.26,107.91,104.31,1781989.0,0.0,1.0
