date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,35.39,33.33,35.2994,35.8,33.001,6466648.0,0.0,1.0
2018-02-07,34.05,35.23,33.9628,36.1,33.93,4981027.0,0.0,1.0
2018-02-08,32.64,34.1,32.5564,34.23,32.64,4959593.0,0.0,1.0
2018-02-09,33.09,32.99,33.0053,33.4,31.77,5517459.0,0.0,1.0
2018-02-12,33.71,33.43,33.6237,33.82,32.53,6050335.0,0.0,1.0
2018-02-13,33.66,33.3,33.5738,33.8,33.115,3267689.0,0.0,1.0
2018-02-14,35.14,33.24,35.05,35.29,33.06,4610031.0,0.0,1.0
2018-02-15,35.13,35.31,35.0401,35.31,34.12,3511755.0,0.0,1.0
2018-02-16,35.61,34.9,35.5188,35.98,34.89,3184942.0,0.0,1.0
2018-02-20,35.38,35.69,35.2894,36.03,35.13,3801984.0,0.0,1.0
2018-02-21,34.96,35.18,34.8705,36.07,34.93,2843330.0,0.0,1.0
2018-02-22,35.1,35.44,35.0101,35.99,34.91,3453213.0,0.0,1.0
2018-02-23,36.07,35.33,35.9777,36.075,35.0,2311934.0,0.0,1.0
2018-02-26,36.18,36.18,36.0874,36.37,35.72,2268827.0,0.0,1.0
2018-02-27,36.26,36.16,36.1672,36.78,35.83,4690131.0,0.0,1.0
2018-02-28,35.09,36.5,35.0002,36.93,35.08,4931450.0,0.0,1.0
2018-03-01,35.41,34.94,35.3194,35.9,34.78,3145035.0,0.0,1.0
2018-03-02,36.08,35.15,35.9876,36.14,34.84,2944844.0,0.0,1.0
2018-03-05,36.37,35.76,36.2769,36.77,35.59,3450678.0,0.0,1.0
2018-03-06,36.7,36.61,36.606,36.97,36.24,2606192.0,0.0,1.0
2018-03-07,36.51,36.24,36.4165,36.66,35.83,2354047.0,0.0,1.0
2018-03-08,36.64,36.55,36.5462,36.7,36.01,2234509.0,0.0,1.0
2018-03-09,37.72,36.98,37.6234,37.97,36.87,2950149.0,0.0,1.0
2018-03-12,37.6,37.7,37.5037,37.89,37.2338,2538360.0,0.0,1.0
2018-03-13,37.31,37.74,37.2145,37.9,37.07,2288752.0,0.0,1.0
2018-03-14,37.39,37.45,37.2943,37.675,37.25,2647628.0,0.0,1.0
2018-03-15,36.26,37.46,36.217,37.5,36.07,2564921.0,0.05,1.0
2018-03-16,36.89,36.35,36.8463,37.13,36.19,4367921.0,0.0,1.0
2018-03-19,36.37,36.79,36.3269,36.92,36.04,2790093.0,0.0,1.0
2018-03-20,36.79,36.63,36.7464,37.14,36.57,1863892.0,0.0,1.0
2018-03-21,38.04,37.03,37.9949,38.3267,36.84,2561758.0,0.0,1.0
2018-03-22,37.18,37.51,37.136,37.93,37.13,2518227.0,0.0,1.0
2018-03-23,37.18,37.46,37.136,38.12,37.15,2803279.0,0.0,1.0
2018-03-26,37.9,37.67,37.8551,37.96,36.82,1804946.0,0.0,1.0
2018-03-27,36.92,37.92,36.8763,38.07,36.645,2627716.0,0.0,1.0
2018-03-28,35.93,36.92,35.8874,37.03,35.81,2440032.0,0.0,1.0
2018-03-29,36.81,36.16,36.7664,37.07,36.13,2826606.0,0.0,1.0
2018-04-02,35.88,36.62,35.8375,36.78,35.11,2625848.0,0.0,1.0
2018-04-03,36.66,36.11,36.6166,36.68,35.54,2028217.0,0.0,1.0
2018-04-04,36.56,35.92,36.5167,36.66,35.46,2027425.0,0.0,1.0
2018-04-05,37.23,36.68,37.1859,37.87,36.68,2926744.0,0.0,1.0
2018-04-06,36.99,36.87,36.9462,37.19,36.56,4675203.0,0.0,1.0
2018-04-09,36.25,37.16,36.2071,37.17,36.23,2968176.0,0.0,1.0
2018-04-10,38.08,36.9,38.0349,38.35,36.9,5426284.0,0.0,1.0
2018-04-11,39.43,38.08,39.3833,39.555,37.93,3687419.0,0.0,1.0
2018-04-12,40.64,39.61,40.5919,40.92,39.5401,4988824.0,0.0,1.0
2018-04-13,40.92,40.84,40.8715,41.38,40.65,2803742.0,0.0,1.0
2018-04-16,37.98,38.74,37.935,38.9999,37.82,7960439.0,0.0,1.0
2018-04-17,37.59,37.77,37.5455,37.77,36.885,5744757.0,0.0,1.0
2018-04-18,38.32,38.08,38.2746,38.885,38.08,4984735.0,0.0,1.0
2018-04-19,38.58,38.02,38.5343,38.73,37.38,3896261.0,0.0,1.0
2018-04-20,38.25,38.5,38.2047,38.5,37.59,3671689.0,0.0,1.0
2018-04-23,38.38,38.09,38.3345,38.38,37.74,2063727.0,0.0,1.0
2018-04-24,37.97,38.54,37.925,39.05,37.665,1995622.0,0.0,1.0
2018-04-25,38.28,37.86,38.2347,38.35,37.5,2017248.0,0.0,1.0
2018-04-26,38.63,38.46,38.5842,38.97,38.17,2139679.0,0.0,1.0
2018-04-27,38.86,38.33,38.814,39.38,37.5,4523594.0,0.0,1.0
2018-04-30,38.67,38.53,38.6242,39.25,38.51,2846341.0,0.0,1.0
2018-05-01,38.51,38.48,38.4644,38.66,38.04,2329360.0,0.0,1.0
2018-05-02,38.42,38.24,38.3745,38.9,38.24,3309707.0,0.0,1.0
2018-05-03,38.38,38.42,38.3345,38.46,37.64,1879745.0,0.0,1.0
2018-05-04,38.5,38.12,38.4544,38.73,38.03,1714253.0,0.0,1.0
2018-05-07,38.6,38.69,38.5543,39.67,38.445,2504942.0,0.0,1.0
2018-05-08,39.12,38.77,39.0737,39.23,38.14,1812258.0,0.0,1.0
2018-05-09,40.37,39.56,40.3222,40.57,39.52,3164610.0,0.0,1.0
2018-05-10,40.61,40.57,40.5619,40.85,40.3,2885411.0,0.0,1.0
2018-05-11,40.65,40.71,40.6018,40.87,40.39,1954266.0,0.0,1.0
2018-05-14,41.06,40.8,41.0114,41.34,40.8,1523704.0,0.0,1.0
2018-05-15,41.39,41.03,41.341,41.42,40.32,2111541.0,0.0,1.0
2018-05-16,42.17,41.47,42.12,42.25,41.29,2885706.0,0.0,1.0
2018-05-17,42.93,42.31,42.8791,43.29,42.19,3307755.0,0.0,1.0
2018-05-18,43.42,42.89,43.3686,43.43,42.58,3333508.0,0.0,1.0
2018-05-21,44.11,43.55,44.0577,44.19,43.34,3085691.0,0.0,1.0
2018-05-22,43.69,44.01,43.6382,45.08,43.51,5023214.0,0.0,1.0
2018-05-23,42.9,43.07,42.8492,43.61,42.54,3778215.0,0.0,1.0
2018-05-24,42.31,42.38,42.2599,42.585,42.0,3372658.0,0.0,1.0
2018-05-25,41.26,41.55,41.2111,41.57,40.52,3810746.0,0.0,1.0
2018-05-29,41.31,40.59,41.2611,41.38,40.48,2038269.0,0.0,1.0
2018-05-30,41.87,41.69,41.8204,42.4,41.57,2237938.0,0.0,1.0
2018-05-31,41.42,41.53,41.3709,41.9,41.06,4195259.0,0.0,1.0
2018-06-01,41.85,41.72,41.8004,42.53,41.51,2364327.0,0.0,1.0
2018-06-04,41.77,41.96,41.7205,42.29,41.58,3910144.0,0.0,1.0
2018-06-05,42.05,41.57,42.0002,42.14,41.4,2414898.0,0.0,1.0
2018-06-06,42.25,42.24,42.2,42.49,41.95,2294534.0,0.0,1.0
2018-06-07,42.87,42.63,42.8192,43.0,42.42,3124090.0,0.0,1.0
2018-06-08,42.58,42.84,42.5296,42.93,42.1,2481356.0,0.0,1.0
2018-06-11,42.16,42.49,42.1101,42.74,42.15,2024819.0,0.0,1.0
2018-06-12,42.27,42.18,42.2199,42.69,41.94,1860871.0,0.0,1.0
2018-06-13,42.3,42.17,42.2499,42.56,41.78,1732616.0,0.0,1.0
2018-06-14,42.16,42.58,42.16,42.62,41.82,1993982.0,0.05,1.0
