date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,143.05,136.99,142.3229,143.445,134.55,2452451.0,0.0,1.0
2018-02-07,142.68,142.09,141.9548,144.45,141.371,1462975.0,0.0,1.0
2018-02-08,136.89,142.62,136.1942,143.27,136.87,2633419.0,0.0,1.0
2018-02-09,138.22,138.06,137.5175,139.49,131.81,2376997.0,0.0,1.0
2018-02-12,139.91,139.25,139.1989,140.93,137.47,1758457.0,0.0,1.0
2018-02-13,140.31,138.95,139.5969,140.95,137.3638,1343009.0,0.0,1.0
2018-02-14,142.25,139.63,141.527,142.435,138.0,1642225.0,0.0,1.0
2018-02-15,142.38,143.01,141.6563,143.292,140.435,1363062.0,0.0,1.0
2018-02-16,142.64,142.0,141.915,144.07,141.761,1248593.0,0.0,1.0
2018-02-20,140.03,141.71,139.3183,141.98,139.07,1744907.0,0.0,1.0
2018-02-21,138.9,140.15,138.194,142.89,138.8,1739784.0,0.0,1.0
2018-02-22,141.48,139.83,140.7609,142.91,138.9,1801896.0,0.0,1.0
2018-02-23,142.62,142.34,141.8951,143.405,141.12,1332198.0,0.0,1.0
2018-02-26,145.52,143.25,144.7804,146.02,142.66,1594151.0,0.0,1.0
2018-02-27,142.83,145.98,142.1041,147.61,142.79,1514952.0,0.0,1.0
2018-02-28,139.08,142.62,138.3731,143.45,139.05,1544992.0,0.0,1.0
2018-03-01,138.67,139.45,137.9652,141.19,136.63,2167656.0,0.0,1.0
2018-03-02,138.66,137.54,137.9552,139.4099,136.11,1339443.0,0.0,1.0
2018-03-05,140.83,137.84,140.1142,141.18,136.49,1495160.0,0.0,1.0
2018-03-06,141.08,141.35,140.3629,141.64,139.51,1184982.0,0.0,1.0
2018-03-07,140.72,139.34,140.0048,141.84,139.07,1288478.0,0.0,1.0
2018-03-08,140.44,141.46,139.7262,142.28,139.25,1507152.0,0.0,1.0
2018-03-09,145.53,141.69,144.7903,145.97,141.43,1742809.0,0.0,1.0
2018-03-12,142.56,145.38,141.8354,145.99,142.26,1410649.0,0.0,1.0
2018-03-13,142.38,143.41,141.6563,144.675,142.12,1355844.0,0.0,1.0
2018-03-14,136.64,143.38,135.9455,143.38,135.9,2403901.0,0.0,1.0
2018-03-15,137.63,136.75,136.9305,138.35,135.932,1925856.0,0.0,1.0
2018-03-16,138.59,137.84,137.8856,139.52,137.84,2153554.0,0.0,1.0
2018-03-19,139.17,137.99,138.4627,139.49,136.83,1958178.0,0.0,1.0
2018-03-20,139.3,139.74,138.592,139.84,138.41,1291095.0,0.0,1.0
2018-03-21,139.45,139.61,138.7412,141.87,138.7603,1192915.0,0.0,1.0
2018-03-22,134.19,137.69,133.508,138.476,134.1,2970051.0,0.0,1.0
2018-03-23,132.18,134.43,131.5082,136.04,131.85,1957451.0,0.0,1.0
2018-03-26,136.19,133.95,135.4978,136.4,131.81,1803204.0,0.0,1.0
2018-03-27,133.59,136.5,132.911,137.77,132.79,1960381.0,0.0,1.0
2018-03-28,133.97,133.84,133.2891,135.76,132.22,1838815.0,0.0,1.0
2018-03-29,135.78,134.89,135.0899,137.5,134.49,1589874.0,0.0,1.0
2018-04-02,132.83,135.57,132.1549,136.53,131.02,1908693.0,0.0,1.0
2018-04-03,133.37,133.31,132.6921,134.04,131.93,2352755.0,0.0,1.0
2018-04-04,131.98,131.44,131.3092,132.32,130.891,2876073.0,0.0,1.0
2018-04-05,133.7,132.67,133.0205,134.16,131.7988,2650278.0,0.0,1.0
2018-04-06,129.36,132.62,128.7025,133.58,127.79,2298519.0,0.0,1.0
2018-04-09,128.92,130.16,128.2648,131.09,128.74,1203269.0,0.0,1.0
2018-04-10,130.0,130.4,129.3393,131.59,129.33,1848193.0,0.0,1.0
