date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,58.14,55.79,57.9557,58.43,53.86,2773523.0,0.0,1.0
2018-02-07,57.63,57.68,57.4473,58.72,57.22,2129372.0,0.0,1.0
2018-02-08,55.85,57.85,55.673,57.89,55.85,1959154.0,0.0,1.0
2018-02-09,56.17,56.51,55.992,56.85,54.12,3074022.0,0.0,1.0
2018-02-12,57.73,57.03,57.547,58.34,56.63,4339229.0,0.0,1.0
2018-02-13,58.74,59.59,58.5538,60.14,58.45,3882187.0,0.0,1.0
2018-02-14,60.64,58.31,60.4478,60.99,58.25,5245707.0,0.0,1.0
2018-02-15,57.67,54.57,57.4872,57.74,52.0,16514021.0,0.0,1.0
2018-02-16,56.51,57.4,56.3309,59.0,56.36,5411347.0,0.0,1.0
2018-02-20,58.08,56.08,57.8959,58.85,55.73,3714848.0,0.0,1.0
2018-02-21,58.54,58.2,58.3545,59.88,58.18,3330498.0,0.0,1.0
2018-02-22,58.59,58.63,58.4043,59.52,58.51,3154141.0,0.0,1.0
2018-02-23,59.62,59.12,59.431,59.63,58.145,3105597.0,0.0,1.0
2018-02-26,60.41,60.0,60.2185,60.63,59.5,4034153.0,0.0,1.0
2018-02-27,60.4,60.05,60.2086,60.99,60.0057,2708492.0,0.0,1.0
2018-02-28,60.55,60.54,60.3581,61.55,60.03,5405527.0,0.0,1.0
2018-03-01,60.6,60.63,60.4079,61.57,59.91,2532910.0,0.0,1.0
2018-03-02,60.76,60.37,60.5674,60.9,59.51,2648372.0,0.0,1.0
2018-03-05,62.19,60.36,61.9929,62.6199,60.11,3504908.0,0.0,1.0
2018-03-06,63.8,63.22,63.5978,64.43,62.91,4874282.0,0.0,1.0
2018-03-07,63.35,63.13,63.1492,63.75,62.86,2657118.0,0.0,1.0
2018-03-08,63.88,63.62,63.6775,63.91,63.141,2026567.0,0.0,1.0
2018-03-09,65.26,64.29,65.0532,65.32,63.88,2128404.0,0.0,1.0
2018-03-12,64.53,65.36,64.3255,65.44,64.52,2457119.0,0.0,1.0
2018-03-13,64.83,64.53,64.6245,65.52,64.5,2565952.0,0.0,1.0
2018-03-14,64.55,65.25,64.3454,65.58,64.47,2237189.0,0.0,1.0
2018-03-15,63.67,64.66,63.4682,64.66,63.365,2483585.0,0.0,1.0
2018-03-16,63.93,63.63,63.7274,64.225,63.39,2523851.0,0.0,1.0
2018-03-19,62.84,63.65,62.6408,63.89,62.33,2813369.0,0.0,1.0
2018-03-20,63.31,63.09,63.1093,63.82,62.83,1974599.0,0.0,1.0
2018-03-21,64.11,63.4,63.9068,64.55,62.95,2101879.0,0.0,1.0
2018-03-22,62.16,63.31,61.963,63.61,61.7,2933446.0,0.0,1.0
2018-03-23,61.15,62.64,60.9562,63.39,61.15,1894591.0,0.0,1.0
2018-03-26,63.3,62.09,63.0994,63.34,61.51,1933748.0,0.0,1.0
2018-03-27,61.19,63.39,60.9961,63.89,60.75,2538004.0,0.0,1.0
2018-03-28,59.47,61.16,59.2815,61.6,59.1,3253949.0,0.0,1.0
2018-03-29,61.69,59.75,61.4945,62.01,59.75,3690263.0,0.0,1.0
2018-04-02,59.16,60.33,58.9725,60.85,58.76,2952566.0,0.0,1.0
2018-04-03,60.63,59.36,60.4378,60.99,59.23,3587727.0,0.0,1.0
2018-04-04,62.11,60.74,61.9131,62.31,60.13,4104625.0,0.0,1.0
2018-04-05,62.9,62.6,62.9,64.34,61.56,5509363.0,0.2,1.0
2018-04-06,63.11,62.56,63.11,64.99,61.72,4650934.0,0.0,1.0
2018-04-09,63.58,63.5,63.58,65.075,63.32,3237638.0,0.0,1.0
2018-04-10,66.06,64.5,66.06,66.39,64.47,3905402.0,0.0,1.0
2018-04-11,66.14,65.41,66.14,66.79,65.13,2690620.0,0.0,1.0
2018-04-12,67.57,67.05,67.57,67.9251,66.69,1723043.0,0.0,1.0
2018-04-13,67.47,68.48,67.47,68.79,66.97,2822233.0,0.0,1.0
2018-04-16,68.27,68.15,68.27,68.77,67.565,2042341.0,0.0,1.0
2018-04-17,69.55,69.59,69.55,69.75,68.81,2642094.0,0.0,1.0
2018-04-18,69.22,69.37,69.22,69.68,68.93,1896631.0,0.0,1.0
2018-04-19,69.01,68.86,69.01,69.405,68.24,1443546.0,0.0,1.0
2018-04-20,68.66,69.03,68.66,69.19,68.31,1463973.0,0.0,1.0
2018-04-23,68.35,68.94,68.35,69.3,68.17,1246816.0,0.0,1.0
2018-04-24,67.85,68.73,67.85,69.61,67.21,2760780.0,0.0,1.0
2018-04-25,67.25,67.69,67.25,67.97,66.44,2047376.0,0.0,1.0
2018-04-26,67.46,67.72,67.46,68.42,67.28,1975835.0,0.0,1.0
