date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,101.36,97.32,100.5721,101.37,95.84,2720238.0,0.0,1.0
2018-02-07,100.73,100.66,99.947,103.21,100.65,1452988.0,0.0,1.0
2018-02-08,96.2,100.76,95.4522,100.77,96.18,1584075.0,0.0,1.0
2018-02-09,97.38,97.49,96.6231,98.135,94.39,1442907.0,0.0,1.0
2018-02-12,99.36,98.11,98.5877,100.15,97.61,1338049.0,0.0,1.0
2018-02-13,99.35,98.37,98.5777,99.6,97.82,971206.0,0.0,1.0
2018-02-14,102.69,98.94,101.8918,102.91,98.33,1133947.0,0.0,1.0
2018-02-15,103.87,103.72,103.0626,104.82,103.21,1236248.0,0.0,1.0
2018-02-16,104.86,103.64,104.0449,105.6,103.64,1454242.0,0.0,1.0
2018-02-20,104.72,104.47,103.906,105.82,104.47,1159692.0,0.0,1.0
2018-02-21,105.38,105.2,104.5609,106.91,104.7,821768.0,0.0,1.0
2018-02-22,104.12,105.75,103.3107,106.825,103.87,1238940.0,0.0,1.0
2018-02-23,106.56,104.8,105.7317,106.58,104.39,846091.0,0.0,1.0
2018-02-26,108.84,107.15,107.994,108.87,106.45,951854.0,0.0,1.0
2018-02-27,107.59,108.53,106.7537,109.89,107.58,1387986.0,0.0,1.0
2018-02-28,105.87,108.15,105.0471,108.59,105.85,1275352.0,0.0,1.0
2018-03-01,103.67,106.05,102.8642,106.64,103.31,1161251.0,0.0,1.0
2018-03-02,104.71,102.95,103.8961,105.0,101.18,1327959.0,0.0,1.0
2018-03-05,106.36,103.57,105.5332,106.81,103.3233,1125998.0,0.0,1.0
2018-03-06,106.72,106.74,105.8904,106.88,105.27,877703.0,0.0,1.0
2018-03-07,107.62,105.68,106.7835,108.14,105.68,1278239.0,0.0,1.0
2018-03-08,107.77,107.6,107.349,107.935,106.16,1252304.0,0.42,1.0
2018-03-09,110.7,108.56,110.2676,110.79,108.1301,1208936.0,0.0,1.0
2018-03-12,109.51,110.64,109.0822,110.81,109.15,1169619.0,0.0,1.0
2018-03-13,108.55,110.19,108.126,110.19,108.03,768064.0,0.0,1.0
2018-03-14,106.49,109.2,106.074,109.2,106.15,1009589.0,0.0,1.0
2018-03-15,106.1,106.81,105.6855,106.81,105.53,650829.0,0.0,1.0
2018-03-16,107.21,106.28,106.7912,108.12,106.28,1247226.0,0.0,1.0
2018-03-19,106.72,107.31,106.3031,107.61,105.08,793408.0,0.0,1.0
2018-03-20,106.35,107.11,105.9346,107.78,106.25,553785.0,0.0,1.0
2018-03-21,106.95,106.43,106.5322,107.88,105.61,1085299.0,0.0,1.0
2018-03-22,102.51,105.88,102.1096,106.315,102.41,1360004.0,0.0,1.0
2018-03-23,99.45,102.41,99.0615,103.18,99.39,1786341.0,0.0,1.0
2018-03-26,103.8,101.3,103.3945,104.01,100.7,1100320.0,0.0,1.0
2018-03-27,101.58,104.45,101.1832,104.99,100.79,1146111.0,0.0,1.0
2018-03-28,101.13,101.57,100.735,102.0082,99.72,1052420.0,0.0,1.0
2018-03-29,103.13,101.49,102.7271,103.61,101.24,925413.0,0.0,1.0
2018-04-02,101.41,104.17,101.0139,104.67,99.9,1449142.0,0.0,1.0
2018-04-03,103.91,102.27,103.5041,104.11,101.4,1342068.0,0.0,1.0
2018-04-04,104.8,101.79,104.3906,105.11,101.54,827067.0,0.0,1.0
2018-04-05,104.46,105.28,104.052,105.8,104.12,846660.0,0.0,1.0
2018-04-06,101.17,103.36,100.7748,104.06,100.09,1201071.0,0.0,1.0
2018-04-09,102.03,102.32,101.6314,104.07,101.8,1291254.0,0.0,1.0
2018-04-10,103.25,103.44,102.8467,104.3,102.71,1406837.0,0.0,1.0
2018-04-11,102.31,101.89,101.9104,103.32,101.25,1468577.0,0.0,1.0
2018-04-12,105.04,103.57,104.6297,105.53,103.36,1296780.0,0.0,1.0
2018-04-13,103.91,106.02,103.5041,106.02,103.36,816288.0,0.0,1.0
2018-04-16,104.89,104.88,104.4803,105.2199,103.64,1107020.0,0.0,1.0
2018-04-17,106.45,107.5,106.0342,109.09,104.99,2015057.0,0.0,1.0
2018-04-18,106.31,108.03,105.8947,109.15,105.79,1237637.0,0.0,1.0
2018-04-19,108.15,106.65,107.7275,108.93,106.62,972242.0,0.0,1.0
2018-04-20,107.65,108.55,107.2295,108.55,106.4,1422819.0,0.0,1.0
2018-04-23,107.39,107.79,106.9705,108.85,107.18,1023935.0,0.0,1.0
2018-04-24,107.04,108.29,106.6219,109.12,106.3,1494620.0,0.0,1.0
2018-04-25,106.83,106.67,106.4127,107.43,106.015,926746.0,0.0,1.0
2018-04-26,107.43,106.81,107.0104,108.96,106.51,1098739.0,0.0,1.0
2018-04-27,107.52,107.03,107.1,108.01,106.74,885602.0,0.0,1.0
2018-04-30,106.75,108.0,106.333,108.64,106.6,903488.0,0.0,1.0
2018-05-01,105.91,106.5,105.4963,106.67,104.7,708831.0,0.0,1.0
2018-05-02,104.56,105.41,104.1516,106.14,104.33,1161948.0,0.0,1.0
2018-05-03,103.98,103.94,103.5738,104.68,101.88,762382.0,0.0,1.0
2018-05-04,104.84,103.11,104.4305,106.08,101.91,1385845.0,0.0,1.0
2018-05-07,105.36,105.1,104.9484,105.75,104.94,914384.0,0.0,1.0
2018-05-08,105.45,105.27,105.0381,106.68,105.015,1162555.0,0.0,1.0
2018-05-09,106.23,105.65,105.815,106.78,104.86,1541876.0,0.0,1.0
2018-05-10,107.9,106.34,107.4785,108.15,106.2,1155452.0,0.0,1.0
2018-05-11,108.92,107.5,108.4945,109.16,107.5,910333.0,0.0,1.0
2018-05-14,108.64,109.3,108.2156,109.52,108.19,576018.0,0.0,1.0
2018-05-15,107.91,108.35,107.4885,109.16,107.35,927839.0,0.0,1.0
2018-05-16,108.19,107.92,107.7674,108.88,107.47,621191.0,0.0,1.0
2018-05-17,108.66,108.07,108.2355,109.69,106.76,927089.0,0.0,1.0
2018-05-18,107.82,108.42,107.3988,108.83,107.18,693304.0,0.0,1.0
2018-05-21,108.45,108.05,108.0264,109.01,107.83,988022.0,0.0,1.0
2018-05-22,108.43,109.02,108.0064,109.55,108.27,579660.0,0.0,1.0
2018-05-23,107.85,107.81,107.4287,108.16,106.595,624451.0,0.0,1.0
2018-05-24,107.53,107.44,107.11,107.6887,105.87,1016829.0,0.0,1.0
2018-05-25,106.61,107.06,106.1936,107.5,106.32,561368.0,0.0,1.0
2018-05-29,102.3,105.37,101.9004,105.72,101.72,1343017.0,0.0,1.0
2018-05-30,103.72,103.3,103.3148,104.13,102.69,1257801.0,0.0,1.0
2018-05-31,102.52,103.19,102.1195,103.53,102.26,1120819.0,0.0,1.0
2018-06-01,105.76,103.89,105.3469,105.8,103.89,1364729.0,0.0,1.0
2018-06-04,105.31,105.99,104.8986,106.2335,104.86,796961.0,0.0,1.0
2018-06-05,105.04,104.98,104.6297,105.39,104.22,747568.0,0.0,1.0
2018-06-06,106.75,105.2,106.333,106.9,105.2,677611.0,0.0,1.0
2018-06-07,107.1,106.86,107.1,107.83,106.55,597458.0,0.42,1.0
2018-06-08,106.92,106.87,106.92,107.165,106.08,547763.0,0.0,1.0
2018-06-11,106.5,107.0,106.5,107.98,106.47,763970.0,0.0,1.0
2018-06-12,106.73,107.02,106.73,107.47,105.95,1109210.0,0.0,1.0
2018-06-13,106.29,106.98,106.29,107.95,106.18,1313959.0,0.0,1.0
2018-06-14,106.95,106.59,106.95,107.05,105.7,1411241.0,0.0,1.0
2018-06-15,106.89,106.9,106.89,107.45,105.73,1923535.0,0.0,1.0
2018-06-18,107.11,105.92,107.11,107.15,105.42,653217.0,0.0,1.0
2018-06-19,107.8,105.6,107.8,107.91,105.49,886595.0,0.0,1.0
2018-06-20,107.77,108.26,107.77,108.59,107.68,1269362.0,0.0,1.0
2018-06-21,107.73,107.35,107.73,108.16,106.44,800219.0,0.0,1.0
2018-06-22,107.3,108.48,107.3,109.08,107.26,2345882.0,0.0,1.0
2018-06-25,104.92,106.98,104.92,106.98,103.96,1135241.0,0.0,1.0
2018-06-26,104.63,105.24,104.63,105.29,103.83,937865.0,0.0,1.0
2018-06-27,103.4,104.9,103.4,105.94,103.29,1134345.0,0.0,1.0
