date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,225.58,204.4,225.3038,225.7,204.0,26591746.0,0.0,1.0
2018-02-07,228.8,229.58,228.5199,234.97,226.7,19931234.0,0.0,1.0
2018-02-08,217.52,233.88,217.2537,235.22,217.51,21664353.0,0.0,1.0
2018-02-09,232.08,238.25,231.7959,238.89,217.52,41044898.0,0.0,1.0
2018-02-12,228.03,235.355,227.7508,235.48,225.0305,27179807.0,0.0,1.0
2018-02-13,232.63,226.56,232.3452,234.5,225.25,15573359.0,0.0,1.0
2018-02-14,241.42,231.0,241.1244,242.5925,230.55,18453757.0,0.0,1.0
2018-02-15,246.5,244.785,246.1982,248.37,241.52,17392024.0,0.0,1.0
2018-02-16,243.84,245.4,243.5415,250.0,243.47,15812549.0,0.0,1.0
2018-02-20,249.08,244.75,248.7751,251.87,244.6,17075723.0,0.0,1.0
2018-02-21,241.51,251.69,241.2143,251.9675,241.36,21021844.0,0.0,1.0
2018-02-22,242.15,242.73,242.0034,245.63,239.5,12998992.0,0.15,1.0
2018-02-23,245.93,244.57,245.7811,245.93,242.5201,10258215.0,0.0,1.0
2018-02-26,246.58,247.8,246.4307,247.98,244.06,11145830.0,0.0,1.0
2018-02-27,246.06,245.5,245.911,248.91,245.13,11323269.0,0.0,1.0
2018-02-28,242.0,246.5,241.8534,248.1,241.53,12950470.0,0.0,1.0
2018-03-01,232.21,241.91,232.0694,244.09,228.1248,26002972.0,0.0,1.0
2018-03-02,236.54,227.86,236.3968,236.8,221.85,22835685.0,0.0,1.0
2018-03-05,235.65,234.51,235.5073,237.25,229.521,15519413.0,0.0,1.0
2018-03-06,242.16,239.1,242.0133,242.94,237.36,15920243.0,0.0,1.0
2018-03-07,241.84,238.0,241.6935,243.95,237.95,14530226.0,0.0,1.0
2018-03-08,241.18,242.95,241.0339,242.95,239.3907,10163665.0,0.0,1.0
2018-03-09,245.33,243.1,245.1814,245.85,242.4501,12580234.0,0.0,1.0
2018-03-12,249.76,247.0,249.6087,253.0,246.6723,15056073.0,0.0,1.0
2018-03-13,247.71,251.49,247.56,254.5,246.04,15408000.0,0.0,1.0
2018-03-14,248.74,249.45,248.5894,250.55,246.22,12573947.0,0.0,1.0
2018-03-15,249.34,249.29,249.189,252.62,247.64,9992834.0,0.0,1.0
2018-03-16,250.48,250.0,250.3283,251.25,248.48,9634107.0,0.0,1.0
