date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,16.5,15.8,16.4015,16.525,15.5,676845.0,0.0,1.0
2018-02-07,16.3,16.35,16.2027,16.55,16.15,466062.0,0.0,1.0
2018-02-08,15.85,16.15,15.7554,16.35,15.8,481715.0,0.0,1.0
2018-02-09,16.0,16.0,15.9045,16.5,15.6,864476.0,0.0,1.0
2018-02-12,16.15,16.1,16.0536,16.5,16.0,1409498.0,0.0,1.0
2018-02-13,16.55,16.15,16.4512,16.625,16.1,664595.0,0.0,1.0
2018-02-14,16.7,16.5,16.6003,16.75,16.4,368657.0,0.0,1.0
2018-02-15,16.6,16.7,16.5009,16.85,16.5,427579.0,0.0,1.0
2018-02-16,16.45,16.55,16.3518,16.7,16.4,612420.0,0.0,1.0
2018-02-20,16.1,16.45,16.0039,16.45,16.05,438119.0,0.0,1.0
2018-02-21,16.15,16.15,16.0536,16.45,16.15,560237.0,0.0,1.0
2018-02-22,16.5,16.3,16.4015,16.65,16.3,487256.0,0.0,1.0
2018-02-23,16.75,16.6,16.65,16.8,16.425,160588.0,0.0,1.0
2018-02-26,16.9,16.8,16.7991,16.975,16.75,280459.0,0.0,1.0
2018-02-27,16.7,16.85,16.6003,16.95,16.625,260271.0,0.0,1.0
2018-02-28,16.4,16.75,16.3021,16.75,16.4,344181.0,0.0,1.0
2018-03-01,16.1,16.3,16.0039,16.45,16.025,440717.0,0.0,1.0
2018-03-02,16.15,15.95,16.0536,16.15,15.9,545799.0,0.0,1.0
2018-03-05,16.4,16.1,16.3021,16.45,16.05,286794.0,0.0,1.0
2018-03-06,16.6,16.4,16.5009,16.65,16.325,281685.0,0.0,1.0
2018-03-07,16.5,16.5,16.4015,16.6,16.35,232251.0,0.0,1.0
2018-03-08,16.4,16.6,16.3021,16.65,16.35,458110.0,0.0,1.0
2018-03-09,16.8,16.55,16.6997,16.8,16.45,411961.0,0.0,1.0
2018-03-12,16.85,16.85,16.7494,17.0,16.725,375034.0,0.0,1.0
2018-03-13,16.65,16.9,16.65,16.95,16.55,175597.0,0.1,1.0
2018-03-14,16.65,16.75,16.65,16.8,16.55,320548.0,0.0,1.0
2018-03-15,16.75,16.75,16.75,16.8,16.65,302429.0,0.0,1.0
2018-03-16,17.0,16.85,17.0,17.025,16.8,719522.0,0.0,1.0
2018-03-19,16.75,16.95,16.75,17.1,16.7,1235303.0,0.0,1.0
2018-03-20,16.75,16.75,16.75,16.8,16.625,327807.0,0.0,1.0
2018-03-21,16.9,16.8,16.9,16.95,16.75,823742.0,0.0,1.0
2018-03-22,16.7,16.85,16.7,16.95,16.65,1284243.0,0.0,1.0
2018-03-23,16.0,16.7,16.0,16.75,15.95,1454987.0,0.0,1.0
