date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,16.29,15.61,16.1911,16.31,15.22,4465690.0,0.0,1.0
2018-02-07,16.06,16.21,15.9625,16.355,15.97,2684447.0,0.0,1.0
2018-02-08,15.65,16.01,15.555,16.14,15.64,2240354.0,0.0,1.0
2018-02-09,15.77,15.79,15.6743,16.35,15.35,3380392.0,0.0,1.0
2018-02-12,15.75,15.91,15.6544,15.96,15.67,2709973.0,0.0,1.0
2018-02-13,16.22,15.7,16.1215,16.25,15.7,2663209.0,0.0,1.0
2018-02-14,16.34,16.11,16.2408,16.4,16.06,2763443.0,0.0,1.0
2018-02-15,16.37,16.37,16.2706,16.49,16.2334,1883390.0,0.0,1.0
2018-02-16,16.26,16.32,16.1613,16.44,16.2,2155023.0,0.0,1.0
2018-02-20,15.95,16.15,15.8532,16.23,15.93,1967189.0,0.0,1.0
2018-02-21,16.01,15.96,15.9128,16.23,15.96,3356766.0,0.0,1.0
2018-02-22,16.22,16.12,16.1215,16.34,16.12,2380596.0,0.0,1.0
2018-02-23,16.5,16.3,16.3998,16.51,16.14,1424044.0,0.0,1.0
2018-02-26,16.64,16.53,16.539,16.66,16.45,1082800.0,0.0,1.0
2018-02-27,16.38,16.61,16.2805,16.67,16.37,1346671.0,0.0,1.0
2018-02-28,16.13,16.39,16.0321,16.455,16.12,2021650.0,0.0,1.0
2018-03-01,15.75,16.11,15.6544,16.19,15.7,2916092.0,0.0,1.0
2018-03-02,15.87,15.75,15.7736,15.9,15.64,4372594.0,0.0,1.0
2018-03-05,16.15,15.79,16.0519,16.18,15.76,1831376.0,0.0,1.0
2018-03-06,16.42,16.16,16.3203,16.44,16.09,1962191.0,0.0,1.0
2018-03-07,16.3,16.27,16.201,16.35,16.1,1819293.0,0.0,1.0
2018-03-08,16.22,16.37,16.1215,16.39,16.15,1036512.0,0.0,1.0
2018-03-09,16.47,16.3,16.37,16.47,16.23,1203660.0,0.0,1.0
2018-03-12,16.55,16.51,16.4495,16.67,16.46,955326.0,0.0,1.0
2018-03-13,16.37,16.56,16.37,16.665,16.31,955805.0,0.1,1.0
2018-03-14,16.33,16.45,16.33,16.47,16.27,965258.0,0.0,1.0
2018-03-15,16.42,16.34,16.42,16.495,16.34,1463936.0,0.0,1.0
2018-03-16,16.6,16.44,16.6,16.68,16.44,1981484.0,0.0,1.0
2018-03-19,16.34,16.55,16.34,16.65,16.32,2654725.0,0.0,1.0
2018-03-20,16.36,16.37,16.36,16.41,16.27,1602254.0,0.0,1.0
2018-03-21,16.51,16.36,16.51,16.58,16.33,1519310.0,0.0,1.0
2018-03-22,16.27,16.38,16.27,16.57,16.25,2082005.0,0.0,1.0
2018-03-23,15.56,16.29,15.56,16.33,15.56,2156663.0,0.0,1.0
2018-03-26,15.68,15.74,15.68,15.76,15.335,2441109.0,0.0,1.0
2018-03-27,15.58,15.71,15.58,15.88,15.51,1499821.0,0.0,1.0
2018-03-28,15.43,15.58,15.43,15.69,15.43,3200482.0,0.0,1.0
2018-03-29,15.8,15.56,15.8,15.95,15.44,1930604.0,0.0,1.0
2018-04-02,15.41,15.76,15.41,15.83,15.28,1884811.0,0.0,1.0
2018-04-03,15.64,15.42,15.64,15.66,15.2,1979288.0,0.0,1.0
2018-04-04,15.78,15.43,15.78,15.79,15.34,2055141.0,0.0,1.0
2018-04-05,15.75,15.78,15.75,15.94,15.63,2166855.0,0.0,1.0
2018-04-06,15.5,15.59,15.5,15.79,15.375,1306775.0,0.0,1.0
2018-04-09,15.65,15.55,15.65,15.9,15.505,2583984.0,0.0,1.0
2018-04-10,15.95,15.78,15.95,16.15,15.74,1651344.0,0.0,1.0
2018-04-11,15.8,15.83,15.8,15.93,15.76,2031632.0,0.0,1.0
2018-04-12,15.91,15.88,15.91,15.97,15.76,957079.0,0.0,1.0
2018-04-13,15.72,15.9,15.72,16.06,15.69,943273.0,0.0,1.0
2018-04-16,15.95,15.81,15.95,15.99,15.73,2730545.0,0.0,1.0
