date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,56.42,54.54,55.6808,56.6484,54.38,3565270.0,0.0,1.0
2018-02-07,56.58,56.33,55.8387,57.54,56.32,2487438.0,0.0,1.0
2018-02-08,54.4,56.54,53.6872,56.88,54.37,2690110.0,0.0,1.0
2018-02-09,54.33,54.94,53.6181,55.22,52.39,3597072.0,0.0,1.0
2018-02-12,56.55,55.27,55.809,56.99,55.04,2557944.0,0.0,1.0
2018-02-13,56.84,56.24,56.0952,57.32,55.92,2362906.0,0.0,1.0
2018-02-14,57.47,56.27,56.717,57.88,56.17,3415149.0,0.0,1.0
2018-02-15,57.8,57.63,57.0427,57.94,57.12,3162293.0,0.0,1.0
2018-02-16,56.91,57.57,56.1643,57.68,56.62,2340508.0,0.0,1.0
2018-02-20,57.02,57.0,56.2729,57.68,56.71,1460819.0,0.0,1.0
2018-02-21,56.1,56.94,55.3649,57.4,56.09,1979713.0,0.0,1.0
2018-02-22,57.18,56.62,56.4308,58.37,56.36,3765502.0,0.0,1.0
2018-02-23,58.02,57.43,57.2598,58.34,57.05,2567210.0,0.0,1.0
2018-02-26,57.47,58.32,56.717,58.3368,56.76,3326691.0,0.0,1.0
2018-02-27,57.0,57.8,56.2532,58.04,56.56,3963664.0,0.0,1.0
2018-02-28,56.33,57.26,55.5919,58.08,56.22,3867481.0,0.0,1.0
2018-03-01,56.51,56.35,55.7696,56.88,55.71,3106610.0,0.0,1.0
2018-03-02,57.08,56.0,56.3321,57.26,55.17,2415038.0,0.0,1.0
2018-03-05,56.91,56.72,56.1643,57.3,56.16,2535427.0,0.0,1.0
2018-03-06,57.02,57.15,56.2729,57.46,56.64,1537371.0,0.0,1.0
2018-03-07,56.71,56.43,55.967,57.47,56.42,2265295.0,0.0,1.0
2018-03-08,56.6,56.69,55.8584,56.96,55.9,2217022.0,0.0,1.0
2018-03-09,57.31,56.99,56.5591,57.38,56.89,2060416.0,0.0,1.0
2018-03-12,57.59,57.25,56.8354,57.85,57.2,3022891.0,0.0,1.0
2018-03-13,57.76,57.82,57.0032,57.97,57.36,2192141.0,0.0,1.0
2018-03-14,57.16,57.89,56.4111,58.06,57.08,2301230.0,0.0,1.0
2018-03-15,56.64,57.38,55.8979,58.09,54.45,7750266.0,0.0,1.0
2018-03-16,57.81,56.73,57.0525,58.32,56.64,6966360.0,0.0,1.0
2018-03-19,56.47,57.6,55.7301,57.7,56.04,3365140.0,0.0,1.0
2018-03-20,57.64,57.69,56.8848,58.47,57.38,3778820.0,0.0,1.0
2018-03-21,58.46,57.98,57.694,58.85,57.7,3154595.0,0.0,1.0
2018-03-22,57.33,57.91,56.5788,58.33,57.28,2717546.0,0.0,1.0
2018-03-23,56.75,57.62,56.0064,57.88,56.75,3583816.0,0.0,1.0
2018-03-26,57.02,57.34,56.2729,57.4525,56.31,2407082.0,0.0,1.0
2018-03-27,56.96,57.03,56.2137,57.865,56.42,3781958.0,0.0,1.0
2018-03-28,55.63,56.88,54.9011,57.13,55.58,3115645.0,0.0,1.0
2018-03-29,56.92,55.74,56.1742,57.2,55.5,2701686.0,0.0,1.0
2018-04-02,56.14,56.76,55.4044,57.48,55.45,3108738.0,0.0,1.0
2018-04-03,56.6,56.31,55.8584,56.63,55.15,2454602.0,0.0,1.0
2018-04-04,56.52,55.54,55.7794,56.68,55.26,2379756.0,0.0,1.0
2018-04-05,57.44,56.74,56.6874,57.6,56.58,1750376.0,0.0,1.0
2018-04-06,56.69,57.13,55.9472,57.47,56.12,2169857.0,0.0,1.0
2018-04-09,56.75,56.95,56.0064,57.68,56.42,1879761.0,0.0,1.0
2018-04-10,58.31,57.59,57.546,58.89,57.37,2563190.0,0.0,1.0
2018-04-11,58.62,58.08,57.8519,58.87,58.0,2014403.0,0.0,1.0
2018-04-12,58.32,58.59,57.5559,58.7,57.79,2190762.0,0.0,1.0
2018-04-13,58.51,58.54,57.7434,58.98,58.08,1604100.0,0.0,1.0
2018-04-16,59.75,58.83,58.9671,59.89,58.46,2173777.0,0.0,1.0
2018-04-17,59.67,59.81,58.8882,60.1,59.52,1964108.0,0.0,1.0
2018-04-18,59.83,60.33,59.0461,60.62,59.83,2676630.0,0.0,1.0
2018-04-19,59.74,59.99,58.9573,60.605,59.64,1874505.0,0.0,1.0
2018-04-20,59.54,59.86,58.7599,59.91,59.28,1777337.0,0.0,1.0
2018-04-23,59.96,59.5,59.1744,60.28,59.26,1649289.0,0.0,1.0
2018-04-24,59.39,60.07,58.6118,60.12,58.82,1654778.0,0.0,1.0
2018-04-25,59.6,58.97,58.8191,59.61,58.66,1824312.0,0.0,1.0
2018-04-26,60.13,59.81,59.3421,60.33,59.62,2547410.0,0.0,1.0
2018-04-27,59.88,59.11,59.88,60.28,58.3808,1617547.0,0.795,1.0
2018-04-30,60.22,59.78,60.22,60.63,59.61,2145240.0,0.0,1.0
2018-05-01,60.49,60.0,60.49,60.76,59.92,2209293.0,0.0,1.0
2018-05-02,62.57,60.57,62.57,63.15,60.57,3924279.0,0.0,1.0
2018-05-03,62.84,62.56,62.84,63.17,62.28,2347735.0,0.0,1.0
2018-05-04,63.45,62.68,63.45,63.73,62.56,1843659.0,0.0,1.0
