date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,71.22,69.77,69.7313,71.66,69.4,5580204.0,0.0,1.0
2018-02-07,69.87,71.48,68.4095,72.2,69.85,5615483.0,0.0,1.0
2018-02-08,68.47,69.99,67.0388,70.16,68.47,6906075.0,0.0,1.0
2018-02-09,68.18,69.04,66.7548,69.41,65.7128,5428872.0,0.0,1.0
2018-02-12,69.87,68.89,68.4095,70.53,68.89,3933929.0,0.0,1.0
2018-02-13,69.72,69.21,68.2626,70.17,69.12,4512041.0,0.0,1.0
2018-02-14,69.85,66.62,68.3899,70.2,66.6,7987291.0,0.0,1.0
2018-02-15,69.43,69.95,67.9787,70.05,67.69,4994179.0,0.0,1.0
2018-02-16,68.16,69.21,66.7353,69.41,68.07,5586428.0,0.0,1.0
2018-02-20,67.99,68.88,66.5688,68.88,67.81,4976814.0,0.0,1.0
2018-02-21,67.21,67.99,65.8051,68.7,67.19,5017677.0,0.0,1.0
2018-02-22,67.92,67.82,66.5003,68.81,67.36,3770944.0,0.0,1.0
2018-02-23,68.32,68.34,66.8919,68.85,67.72,3822383.0,0.0,1.0
2018-02-26,67.27,68.36,65.8639,68.42,67.15,6956748.0,0.0,1.0
2018-02-27,66.75,67.61,65.3547,67.98,66.75,6006524.0,0.0,1.0
2018-02-28,65.6,67.25,64.2288,67.39,65.59,5094816.0,0.0,1.0
2018-03-01,65.63,65.7,64.2581,66.39,65.08,5519323.0,0.0,1.0
2018-03-02,65.64,65.12,64.2679,65.85,64.24,3752456.0,0.0,1.0
2018-03-05,65.92,65.17,64.5421,66.38,65.01,4746913.0,0.0,1.0
2018-03-06,65.66,66.45,64.2875,66.51,65.56,4435259.0,0.0,1.0
2018-03-07,65.19,65.12,63.8273,65.705,64.2,4694166.0,0.0,1.0
2018-03-08,62.96,64.39,62.3979,64.55,62.47,9334887.0,0.77,1.0
2018-03-09,63.67,63.39,63.1015,63.76,63.1,10990436.0,0.0,1.0
2018-03-12,63.89,63.75,63.3196,64.54,63.5,7820087.0,0.0,1.0
2018-03-13,64.2,64.18,63.6268,64.93,63.92,4829483.0,0.0,1.0
2018-03-14,64.04,64.54,63.4682,64.81,63.93,3435609.0,0.0,1.0
2018-03-15,63.91,64.34,63.3394,64.66,63.21,3213532.0,0.0,1.0
2018-03-16,64.45,64.0,63.8746,64.47,63.63,6096556.0,0.0,1.0
2018-03-19,63.65,64.07,63.0817,64.21,63.128,4635714.0,0.0,1.0
2018-03-20,63.91,63.9,63.3394,64.73,63.61,4858582.0,0.0,1.0
