date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,64.23,63.3,63.6513,64.49,62.57,3409344.0,0.0,1.0
2018-02-07,64.74,63.9,64.1567,65.9457,63.68,2677738.0,0.0,1.0
2018-02-08,61.86,64.6,61.3026,64.6,61.8,2591417.0,0.0,1.0
2018-02-09,64.16,62.59,63.5819,64.61,62.03,2840112.0,0.0,1.0
2018-02-12,64.69,64.58,64.1071,65.05,64.21,2104930.0,0.0,1.0
2018-02-13,64.63,64.3,64.0477,64.89,64.0,1552209.0,0.0,1.0
2018-02-14,65.37,64.33,64.781,65.53,63.93,1450171.0,0.0,1.0
2018-02-15,66.47,65.92,65.8711,66.47,65.31,1946512.0,0.0,1.0
2018-02-16,66.81,66.48,66.208,67.4,66.48,3089738.0,0.0,1.0
2018-02-20,65.41,66.67,64.8206,66.9,65.3,2225506.0,0.0,1.0
2018-02-21,65.08,65.64,64.4936,66.24,65.08,1521679.0,0.0,1.0
2018-02-22,65.05,65.32,64.4639,65.83,64.88,1165716.0,0.0,1.0
2018-02-23,66.47,65.53,65.8711,66.49,65.21,1226094.0,0.0,1.0
2018-02-26,66.83,66.52,66.2278,66.92,66.41,1708562.0,0.0,1.0
2018-02-27,65.92,67.03,65.326,67.87,65.92,1901828.0,0.0,1.0
2018-02-28,65.13,66.4,64.5431,66.715,65.11,2192922.0,0.0,1.0
2018-03-01,63.55,63.65,62.9774,65.73,63.09,2769953.0,0.0,1.0
2018-03-02,63.79,63.24,63.2152,63.95,63.0,1549669.0,0.0,1.0
2018-03-05,65.04,63.33,64.454,65.23,63.33,1772977.0,0.0,1.0
2018-03-06,65.09,65.24,64.5035,65.24,64.36,1630996.0,0.0,1.0
2018-03-07,64.82,64.68,64.2359,65.089,64.34,1602956.0,0.0,1.0
2018-03-08,65.39,65.06,64.8008,65.82,64.97,1986807.0,0.0,1.0
2018-03-09,66.52,65.5,65.9206,66.7,65.47,1356214.0,0.0,1.0
2018-03-12,66.5,66.67,65.9008,66.93,66.31,1260199.0,0.0,1.0
2018-03-13,66.72,66.96,66.1188,67.46,66.34,1629012.0,0.0,1.0
2018-03-14,65.89,66.99,65.2963,66.99,65.57,1491200.0,0.0,1.0
2018-03-15,66.4,65.97,65.8017,66.74,65.71,1145977.0,0.0,1.0
2018-03-16,66.15,66.5,65.554,66.67,65.94,2647474.0,0.0,1.0
2018-03-19,65.33,65.77,64.7413,66.26,64.73,1478251.0,0.0,1.0
2018-03-20,65.51,65.69,64.9197,65.95,65.35,1529559.0,0.0,1.0
2018-03-21,65.55,65.51,64.9594,66.29,65.26,2672215.0,0.0,1.0
2018-03-22,63.49,65.11,62.9179,65.25,63.45,2411433.0,0.0,1.0
2018-03-23,61.73,63.51,61.1738,63.87,61.571,4034802.0,0.0,1.0
2018-03-26,61.22,63.4,60.6684,64.58,59.95,6800496.0,0.0,1.0
2018-03-27,59.84,61.21,59.3008,61.54,59.36,3671663.0,0.0,1.0
2018-03-28,60.6,59.92,60.054,60.91,59.4,3365255.0,0.0,1.0
