date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,19.12,18.65,18.9388,19.205,18.28,4945337.0,0.0,1.0
2018-02-07,19.2,19.05,19.018,19.39,18.97,3525536.0,0.0,1.0
2018-02-08,18.56,19.19,18.3841,19.19,18.56,2863612.0,0.0,1.0
2018-02-09,18.91,18.94,18.7308,19.04,18.42,3729629.0,0.0,1.0
2018-02-12,19.07,18.97,18.8893,19.26,18.86,2091246.0,0.0,1.0
2018-02-13,19.13,18.99,18.9487,19.15,18.93,1922402.0,0.0,1.0
2018-02-14,19.58,19.08,19.3944,19.61,19.02,2518828.0,0.0,1.0
2018-02-15,19.74,19.66,19.5529,19.804,19.61,2620017.0,0.0,1.0
2018-02-16,19.84,19.64,19.652,19.91,19.64,2749157.0,0.0,1.0
2018-02-20,19.62,19.81,19.4341,19.9,19.52,2068733.0,0.0,1.0
2018-02-21,19.76,19.6,19.5727,19.99,19.54,2173663.0,0.0,1.0
2018-02-22,19.43,19.83,19.2459,19.92,19.37,2335217.0,0.0,1.0
2018-02-23,19.69,19.47,19.5034,19.69,19.44,1950976.0,0.0,1.0
2018-02-26,19.72,19.75,19.5331,19.75,19.415,2732542.0,0.0,1.0
2018-02-27,19.46,19.71,19.2756,19.92,19.45,2600246.0,0.0,1.0
2018-02-28,19.14,19.58,18.9586,19.69,19.13,2531929.0,0.0,1.0
2018-03-01,19.16,19.11,18.9784,19.32,19.01,3225332.0,0.0,1.0
2018-03-02,19.44,19.05,19.2558,19.46,18.815,2495550.0,0.0,1.0
2018-03-05,19.67,19.27,19.4836,19.74,19.18,3574699.0,0.0,1.0
2018-03-06,19.9,19.72,19.7114,19.94,19.57,1933570.0,0.0,1.0
2018-03-07,19.92,19.68,19.7312,20.0,19.68,1968088.0,0.0,1.0
2018-03-08,19.77,19.93,19.5826,20.01,19.6,1801196.0,0.0,1.0
2018-03-09,20.15,19.86,19.959,20.15,19.79,2457074.0,0.0,1.0
2018-03-12,20.11,20.12,19.9194,20.26,20.04,3034398.0,0.0,1.0
2018-03-13,20.05,20.2,19.86,20.25,20.01,2400240.0,0.0,1.0
2018-03-14,19.82,20.15,19.6322,20.16,19.79,3206678.0,0.0,1.0
2018-03-15,19.77,19.84,19.5826,19.91,19.71,3020201.0,0.0,1.0
2018-03-16,19.8,19.77,19.6123,20.08,19.77,9118357.0,0.0,1.0
2018-03-19,19.62,19.81,19.4341,19.83,19.4,3498151.0,0.0,1.0
2018-03-20,19.55,19.67,19.3647,19.79,19.52,2065934.0,0.0,1.0
2018-03-21,19.64,19.6,19.4539,19.79,19.47,2676866.0,0.0,1.0
2018-03-22,18.89,19.44,18.711,19.475,18.885,3346807.0,0.0,1.0
2018-03-23,18.25,18.93,18.077,18.98,18.22,3170391.0,0.0,1.0
2018-03-26,18.69,18.34,18.5129,18.74,18.31,6116724.0,0.0,1.0
2018-03-27,18.29,18.78,18.1167,18.78,18.2,4231875.0,0.0,1.0
2018-03-28,18.46,18.28,18.285,18.64,18.185,2808880.0,0.0,1.0
2018-03-29,18.66,18.5,18.4832,18.785,18.5,3224458.0,0.0,1.0
2018-04-02,18.37,18.67,18.1959,18.695,18.09,3430813.0,0.0,1.0
2018-04-03,18.64,18.44,18.4633,18.685,18.34,3057167.0,0.0,1.0
2018-04-04,18.75,18.35,18.5723,18.79,18.35,2367733.0,0.0,1.0
2018-04-05,18.81,18.9,18.6317,18.96,18.74,3992639.0,0.0,1.0
2018-04-06,18.39,18.71,18.2157,18.8,18.195,4548208.0,0.0,1.0
2018-04-09,18.35,18.47,18.1761,18.76,18.33,2272552.0,0.0,1.0
2018-04-10,18.66,18.58,18.4832,18.74,18.46,2607273.0,0.0,1.0
2018-04-11,18.59,18.56,18.4138,18.69,18.43,1913222.0,0.0,1.0
2018-04-12,18.8,18.65,18.6218,18.9,18.64,2379898.0,0.0,1.0
2018-04-13,18.57,18.93,18.394,19.04,18.5,2565229.0,0.0,1.0
2018-04-16,18.7,18.7,18.5228,18.77,18.54,1966545.0,0.0,1.0
2018-04-17,18.44,18.78,18.2652,18.85,18.34,2367557.0,0.0,1.0
2018-04-18,18.34,18.47,18.1662,18.53,18.24,4881380.0,0.0,1.0
2018-04-19,18.07,18.3,17.8987,18.39,18.02,5603134.0,0.0,1.0
2018-04-20,18.22,18.25,18.0473,18.35,18.115,4993775.0,0.0,1.0
2018-04-23,18.48,18.25,18.3049,18.535,18.2,3039710.0,0.0,1.0
2018-04-24,18.59,18.54,18.4138,18.81,18.405,4566709.0,0.0,1.0
2018-04-25,18.47,18.5,18.295,18.64,18.325,2666584.0,0.0,1.0
2018-04-26,18.46,18.42,18.285,18.59,18.35,2238157.0,0.0,1.0
2018-04-27,18.66,18.47,18.4832,18.69,18.46,2342354.0,0.0,1.0
2018-04-30,18.29,18.57,18.29,18.615,18.27,3985758.0,0.175,1.0
2018-05-01,18.38,18.22,18.38,18.44,18.06,2439399.0,0.0,1.0
2018-05-02,18.28,18.3,18.28,18.51,18.2,2478567.0,0.0,1.0
2018-05-03,18.23,18.2,18.23,18.3258,18.03,2664597.0,0.0,1.0
2018-05-04,18.41,18.06,18.41,18.55,18.04,2573904.0,0.0,1.0
2018-05-07,18.47,18.39,18.47,18.63,18.24,3886517.0,0.0,1.0
2018-05-08,18.47,18.44,18.47,18.6348,18.32,4158535.0,0.0,1.0
2018-05-09,18.64,18.58,18.64,18.78,18.505,2414320.0,0.0,1.0
2018-05-10,18.67,18.7,18.67,18.745,18.49,1766289.0,0.0,1.0
2018-05-11,18.64,18.68,18.64,18.75,18.61,1238179.0,0.0,1.0
2018-05-14,18.57,18.68,18.57,18.74,18.49,1775656.0,0.0,1.0
2018-05-15,18.77,18.57,18.77,18.93,18.5,3539632.0,0.0,1.0
2018-05-16,18.76,18.7,18.76,18.87,18.63,2126992.0,0.0,1.0
2018-05-17,18.8,18.74,18.8,18.83,18.655,1598269.0,0.0,1.0
2018-05-18,18.63,18.75,18.63,18.77,18.61,1879265.0,0.0,1.0
2018-05-21,18.82,18.69,18.82,18.89,18.64,1981779.0,0.0,1.0
2018-05-22,19.02,18.88,19.02,19.15,18.8,4065789.0,0.0,1.0
2018-05-23,18.89,18.97,18.89,19.07,18.83,2007582.0,0.0,1.0
2018-05-24,18.88,18.86,18.88,18.89,18.525,2257345.0,0.0,1.0
2018-05-25,18.76,18.74,18.76,18.865,18.0,1891392.0,0.0,1.0
2018-05-29,18.32,18.62,18.32,18.7,18.2,3006625.0,0.0,1.0
2018-05-30,18.61,18.48,18.61,18.69,18.38,1983725.0,0.0,1.0
2018-05-31,18.41,18.6,18.41,18.64,18.36,2482527.0,0.0,1.0
2018-06-01,18.6,18.63,18.6,18.78,18.555,2273105.0,0.0,1.0
2018-06-04,18.8,18.72,18.8,18.81,18.65,1694522.0,0.0,1.0
2018-06-05,18.86,18.89,18.86,18.94,18.73,4808583.0,0.0,1.0
2018-06-06,19.13,18.93,19.13,19.16,18.89,1722910.0,0.0,1.0
2018-06-07,19.11,19.14,19.11,19.26,19.025,2391942.0,0.0,1.0
2018-06-08,19.19,19.1,19.19,19.235,19.0,1754327.0,0.0,1.0
2018-06-11,19.07,19.23,19.07,19.37,19.0,2413395.0,0.0,1.0
2018-06-12,19.0,19.09,19.0,19.16,18.9,2187120.0,0.0,1.0
2018-06-13,18.94,18.99,18.94,19.19,18.88,1911595.0,0.0,1.0
2018-06-14,18.79,19.03,18.79,19.03,18.71,3068508.0,0.0,1.0
2018-06-15,18.73,18.7,18.73,18.78,18.47,6217389.0,0.0,1.0
2018-06-18,18.74,18.59,18.74,18.78,18.51,2157038.0,0.0,1.0
2018-06-19,18.53,18.33,18.53,18.57,18.29,11494960.0,0.0,1.0
2018-06-20,18.64,18.72,18.64,18.76,18.53,4942346.0,0.0,1.0
2018-06-21,18.71,18.57,18.71,18.825,18.51,4251279.0,0.0,1.0
2018-06-22,18.55,18.9,18.55,18.9,18.53,3251617.0,0.0,1.0
2018-06-25,18.48,18.47,18.48,18.57,18.345,3486153.0,0.0,1.0
2018-06-26,18.38,18.49,18.38,18.53,18.335,2556300.0,0.0,1.0
2018-06-27,18.09,18.33,18.09,18.415,18.085,2557656.0,0.0,1.0
2018-06-28,18.19,18.14,18.19,18.27,18.07,2368568.0,0.0,1.0
