date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,70.05,67.47,69.4864,70.29,67.32,3183944.0,0.0,1.0
2018-02-07,68.69,69.71,68.1373,70.66,68.64,2915683.0,0.0,1.0
2018-02-08,66.98,68.57,66.4411,69.19,66.98,2911798.0,0.0,1.0
2018-02-09,67.5,67.55,66.9569,68.12,65.31,2039530.0,0.0,1.0
2018-02-12,68.24,68.0,67.939,68.98,67.75,2112146.0,0.25,1.0
2018-02-13,68.14,67.74,67.8394,68.29,67.17,1289084.0,0.0,1.0
2018-02-14,69.12,67.5,68.8151,69.34,67.37,1601106.0,0.0,1.0
2018-02-15,68.98,69.49,68.6757,69.71,68.03,2330301.0,0.0,1.0
2018-02-16,68.78,68.71,68.4766,69.51,68.29,2609290.0,0.0,1.0
2018-02-20,68.99,68.39,68.6856,69.17,68.16,1674609.0,0.0,1.0
2018-02-21,69.22,69.17,68.9146,70.51,69.05,2133848.0,0.0,1.0
2018-02-22,70.4,69.71,70.0894,70.91,69.53,2742869.0,0.0,1.0
2018-02-23,71.32,70.97,71.0054,71.34,70.43,2114925.0,0.0,1.0
2018-02-26,71.55,71.68,71.2344,71.87,70.83,2119806.0,0.0,1.0
2018-02-27,71.23,71.54,70.9158,72.4,71.05,3642451.0,0.0,1.0
2018-02-28,71.59,71.62,71.2742,72.21,71.02,5705588.0,0.0,1.0
2018-03-01,69.04,71.64,68.7354,71.64,69.0,7541799.0,0.0,1.0
2018-03-02,67.19,68.74,66.8936,69.1,66.47,3265300.0,0.0,1.0
2018-03-05,68.81,66.73,68.5064,68.97,66.68,4652470.0,0.0,1.0
2018-03-06,69.91,70.09,69.6016,70.55,69.37,2673031.0,0.0,1.0
2018-03-07,69.07,69.18,68.7653,69.48,67.95,2045831.0,0.0,1.0
2018-03-08,68.16,68.75,67.8593,68.98,67.555,4499948.0,0.0,1.0
2018-03-09,69.07,68.54,68.7653,69.3676,68.18,6144830.0,0.0,1.0
2018-03-12,67.74,69.26,67.4412,69.26,67.4,3205112.0,0.0,1.0
2018-03-13,67.38,68.09,67.0828,68.51,67.02,2568515.0,0.0,1.0
2018-03-14,66.35,67.5,66.0573,67.824,66.13,1981508.0,0.0,1.0
2018-03-15,66.82,66.39,66.5252,66.9,66.29,2826779.0,0.0,1.0
2018-03-16,67.74,66.85,67.4412,68.09,66.63,6163634.0,0.0,1.0
2018-03-19,66.15,65.92,65.8582,66.62,65.46,2534509.0,0.0,1.0
2018-03-20,66.29,66.42,65.9976,66.98,66.235,1514814.0,0.0,1.0
2018-03-21,66.82,66.3,66.5252,67.46,66.09,1487252.0,0.0,1.0
2018-03-22,64.32,66.03,64.0363,66.19,64.29,2371189.0,0.0,1.0
2018-03-23,62.94,64.59,62.6623,65.19,62.82,2560328.0,0.0,1.0
2018-03-26,65.02,64.17,64.7332,65.09,63.8,2363942.0,0.0,1.0
2018-03-27,63.88,65.25,63.5982,65.57,63.57,2417197.0,0.0,1.0
2018-03-28,64.5,64.06,64.2155,65.0,63.8,2591264.0,0.0,1.0
2018-03-29,66.17,64.91,65.8781,66.6,64.6718,2905984.0,0.0,1.0
2018-04-02,64.41,65.96,64.1259,66.0,63.35,2660171.0,0.0,1.0
2018-04-03,65.71,64.73,65.4201,65.8,64.29,2656697.0,0.0,1.0
2018-04-04,67.33,64.47,67.033,67.59,64.34,3856332.0,0.0,1.0
2018-04-05,68.34,67.85,68.0385,69.03,67.46,3212799.0,0.0,1.0
2018-04-06,66.26,67.93,65.9677,68.6,65.6,2264302.0,0.0,1.0
