date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,35.28,34.16,34.941,35.475,34.0,53075673.0,0.0,1.0
2018-02-07,34.98,35.13,34.6438,35.65,34.97,29258017.0,0.0,1.0
2018-02-08,33.63,35.0,33.3068,35.17,33.6,43297480.0,0.0,1.0
2018-02-09,34.16,34.19,33.8317,34.43,33.2,47199889.0,0.0,1.0
2018-02-12,34.66,34.45,34.3269,34.87,34.0285,36529559.0,0.0,1.0
2018-02-13,34.94,34.57,34.6042,35.03,34.41,19710952.0,0.0,1.0
2018-02-14,35.19,34.7,34.8518,35.34,34.56,23190882.0,0.0,1.0
2018-02-15,35.71,35.37,35.3668,35.73,35.08,21310022.0,0.0,1.0
2018-02-16,36.26,35.76,35.9115,36.66,35.68,25666834.0,0.0,1.0
2018-02-20,36.01,36.02,35.6639,36.4927,35.88,25618984.0,0.0,1.0
2018-02-21,35.76,35.97,35.4163,36.59,35.73,23958191.0,0.0,1.0
2018-02-22,35.74,35.87,35.3965,36.15,35.61,21847539.0,0.0,1.0
2018-02-23,36.26,35.93,35.9115,36.3,35.83,15998170.0,0.0,1.0
2018-02-26,37.09,36.29,36.7336,37.21,36.21,23105652.0,0.0,1.0
2018-02-27,36.8,37.07,36.4464,37.235,36.74,22255522.0,0.0,1.0
2018-02-28,36.31,37.03,35.9611,37.28,36.31,26246531.0,0.0,1.0
2018-03-01,35.63,36.12,35.2876,36.2693,35.195,28731400.0,0.0,1.0
2018-03-02,35.95,35.55,35.6045,36.07,35.4,21130333.0,0.0,1.0
2018-03-05,36.12,35.82,35.7729,36.28,35.77,21176053.0,0.0,1.0
2018-03-06,35.88,36.24,35.5352,36.24,35.75,17081100.0,0.0,1.0
2018-03-07,35.93,35.6,35.5847,36.08,35.55,22239404.0,0.0,1.0
2018-03-08,36.5,35.99,36.1492,36.5,35.93,19416679.0,0.0,1.0
2018-03-09,36.77,36.61,36.4166,36.92,36.53,17885052.0,0.0,1.0
2018-03-12,36.61,36.92,36.2582,37.0,36.5,24945436.0,0.0,1.0
2018-03-13,36.75,36.8,36.3968,36.96,36.43,26463445.0,0.0,1.0
2018-03-14,36.35,36.84,36.0007,36.99,36.18,22144053.0,0.0,1.0
2018-03-15,36.58,36.35,36.2285,36.81,36.35,19263194.0,0.0,1.0
2018-03-16,36.78,36.64,36.4265,37.04,36.62,29161305.0,0.0,1.0
2018-03-19,36.33,36.8,35.9809,36.8,36.08,18678983.0,0.0,1.0
2018-03-20,36.33,36.37,35.9809,36.55,36.115,19094992.0,0.0,1.0
2018-03-21,36.27,36.49,35.9214,36.73,36.2,16405382.0,0.0,1.0
2018-03-22,35.6,36.03,35.2579,36.1433,35.47,20288017.0,0.0,1.0
2018-03-23,34.49,35.49,34.1586,35.5,34.44,27489780.0,0.0,1.0
2018-03-26,35.04,34.93,34.7033,35.15,34.32,23464967.0,0.0,1.0
2018-03-27,35.01,35.18,34.6736,35.56,34.78,25418639.0,0.0,1.0
2018-03-28,35.3,35.18,34.9608,35.81,35.12,24999735.0,0.0,1.0
2018-03-29,35.49,35.52,35.1489,35.675,35.07,23533906.0,0.0,1.0
2018-04-02,35.05,35.42,34.7132,35.74,34.76,26872193.0,0.0,1.0
2018-04-03,35.68,35.11,35.3371,35.735,34.92,20254152.0,0.0,1.0
2018-04-04,36.13,35.32,35.7828,36.23,35.24,20882990.0,0.0,1.0
2018-04-05,35.73,35.67,35.3866,36.0025,35.535,24460903.0,0.0,1.0
2018-04-06,35.17,35.56,34.832,35.87,34.89,21146274.0,0.0,1.0
2018-04-09,35.46,35.3,35.1192,35.93,35.22,19409229.0,0.0,1.0
2018-04-10,35.95,36.0,35.6045,36.1,35.72,19884249.0,0.0,1.0
2018-04-11,35.79,35.73,35.4461,36.07,35.59,13168781.0,0.0,1.0
2018-04-12,36.32,36.03,35.971,36.5,35.97,22597698.0,0.0,1.0
2018-04-13,36.32,36.41,35.971,36.5,36.13,16863666.0,0.0,1.0
2018-04-16,36.53,36.5,36.1789,36.73,36.39,15116082.0,0.0,1.0
2018-04-17,36.33,36.75,35.9809,36.78,36.27,16769973.0,0.0,1.0
2018-04-18,36.49,36.38,36.1393,36.59,36.285,13901830.0,0.0,1.0
2018-04-19,36.53,36.39,36.1789,36.69,36.27,15784274.0,0.0,1.0
2018-04-20,36.63,36.5,36.278,36.79,36.47,21225750.0,0.0,1.0
2018-04-23,36.8,36.67,36.4464,36.89,36.6,24080746.0,0.0,1.0
2018-04-24,37.06,36.91,36.7039,37.265,36.765,25717648.0,0.0,1.0
2018-04-25,36.68,36.92,36.3275,37.04,36.51,24728084.0,0.0,1.0
2018-04-26,36.85,36.8,36.4959,37.1,36.75,19360179.0,0.0,1.0
2018-04-27,37.0,36.78,36.6444,37.11,36.7,13686126.0,0.0,1.0
2018-04-30,36.61,37.13,36.2582,37.18,36.4,26846133.0,0.0,1.0
2018-05-01,35.4,35.58,35.0598,36.045,34.64,48650997.0,0.0,1.0
2018-05-02,34.89,35.17,34.5547,35.37,34.745,28036345.0,0.0,1.0
2018-05-03,34.76,34.82,34.426,34.88,34.42,22312983.0,0.0,1.0
2018-05-04,34.84,34.56,34.5052,34.995,34.37,18781706.0,0.0,1.0
2018-05-07,34.93,34.79,34.5943,35.13,34.71,20474368.0,0.0,1.0
2018-05-08,34.98,34.91,34.6438,35.09,34.71,26821265.0,0.0,1.0
2018-05-09,35.17,35.02,34.832,35.405,34.87,19383496.0,0.0,1.0
2018-05-10,35.04,35.0,35.04,35.31,34.89,29323229.0,0.34,1.0
2018-05-11,35.5,35.13,35.5,35.56,35.07,20512293.0,0.0,1.0
2018-05-14,35.86,35.51,35.86,35.925,35.4901,20384294.0,0.0,1.0
2018-05-15,35.69,35.76,35.69,35.775,35.48,18354536.0,0.0,1.0
2018-05-16,35.68,35.73,35.68,35.875,35.57,20750225.0,0.0,1.0
2018-05-17,35.71,35.63,35.71,35.78,35.44,12354300.0,0.0,1.0
2018-05-18,35.64,35.61,35.64,35.75,35.43,14928519.0,0.0,1.0
2018-05-21,35.8,35.71,35.8,35.87,35.52,16890829.0,0.0,1.0
2018-05-22,35.72,35.8,35.72,36.09,35.69,13735575.0,0.0,1.0
2018-05-23,35.97,35.68,35.97,36.035,35.63,19315552.0,0.0,1.0
2018-05-24,35.89,35.96,35.89,36.09,35.77,16625330.0,0.0,1.0
2018-05-25,35.68,35.82,35.68,35.92,35.5442,14236565.0,0.0,1.0
2018-05-29,35.7,35.37,35.7,35.73,35.32,26735896.0,0.0,1.0
2018-05-30,36.05,35.95,36.05,36.25,35.9,27603229.0,0.0,1.0
2018-05-31,35.93,35.95,35.93,36.2,35.89,29341995.0,0.0,1.0
2018-06-01,36.25,36.26,36.25,36.285,36.11,21200222.0,0.0,1.0
2018-06-04,36.45,36.41,36.45,36.56,36.23,18041056.0,0.0,1.0
2018-06-05,36.44,36.51,36.44,36.64,36.34,20375797.0,0.0,1.0
2018-06-06,36.38,36.395,36.38,36.57,36.19,18375821.0,0.0,1.0
2018-06-07,36.49,36.49,36.49,36.59,36.37,16208120.0,0.0,1.0
2018-06-08,36.67,36.53,36.67,36.705,36.45,15610786.0,0.0,1.0
2018-06-11,36.3,36.8,36.3,36.8,36.28,18506278.0,0.0,1.0
2018-06-12,36.3,36.39,36.3,36.395,36.145,15533095.0,0.0,1.0
2018-06-13,36.22,36.37,36.22,36.51,36.2,15207986.0,0.0,1.0
2018-06-14,36.16,36.22,36.16,36.385,36.045,18936803.0,0.0,1.0
2018-06-15,36.36,36.19,36.36,36.39,36.035,46638490.0,0.0,1.0
2018-06-18,36.16,36.13,36.16,36.22,35.73,22906545.0,0.0,1.0
2018-06-19,36.22,35.89,36.22,36.36,35.87,17537628.0,0.0,1.0
2018-06-20,36.46,36.29,36.46,36.58,36.21,20260245.0,0.0,1.0
2018-06-21,36.3,36.27,36.3,36.36,36.15,16027644.0,0.0,1.0
2018-06-22,36.51,36.49,36.51,36.635,36.395,26613610.0,0.0,1.0
2018-06-25,36.38,36.32,36.38,36.46,36.135,19378054.0,0.0,1.0
2018-06-26,36.38,36.4,36.38,36.585,36.3,24131903.0,0.0,1.0
2018-06-27,36.21,36.3,36.21,36.55,36.18,27890386.0,0.0,1.0
2018-06-28,36.36,36.11,36.36,36.485,36.11,15658910.0,0.0,1.0
