date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,52.87,51.44,52.87,53.11,50.79,5745171.0,0.0,1.0
2018-02-07,53.4,52.78,53.4,54.1,52.55,4309100.0,0.0,1.0
2018-02-08,51.07,53.47,51.07,53.51,51.04,5384297.0,0.0,1.0
2018-02-09,52.22,51.6,52.22,52.55,51.22,5074498.0,0.0,1.0
2018-02-12,52.38,52.42,52.38,52.79,51.47,2829927.0,0.0,1.0
2018-02-13,53.22,52.11,53.22,53.24,51.99,3003105.0,0.0,1.0
2018-02-14,56.3,53.77,56.3,56.35,53.57,6301503.0,0.0,1.0
2018-02-15,56.78,56.9,56.78,57.0,56.24,4175909.0,0.0,1.0
2018-02-16,57.35,56.59,57.35,57.53,56.59,3702154.0,0.0,1.0
2018-02-20,56.54,57.06,56.54,57.29,56.47,3422126.0,0.0,1.0
2018-02-21,57.17,56.73,57.17,58.1,56.59,3570400.0,0.0,1.0
2018-02-22,56.85,57.28,56.85,57.79,56.67,3305957.0,0.0,1.0
2018-02-23,57.71,56.99,57.71,57.76,56.92,1882039.0,0.0,1.0
2018-02-26,58.85,57.8,58.85,59.06,57.74,3289132.0,0.0,1.0
2018-02-27,58.53,58.8,58.53,59.26,58.53,4886830.0,0.0,1.0
2018-02-28,57.58,58.88,57.58,59.36,57.57,4021341.0,0.0,1.0
2018-03-01,57.79,57.75,57.79,58.6,57.28,3158224.0,0.0,1.0
2018-03-02,57.58,57.4,57.58,57.84,56.976,4005987.0,0.0,1.0
2018-03-05,58.79,57.32,58.79,58.945,57.025,3179979.0,0.0,1.0
2018-03-06,58.62,58.86,58.62,58.97,57.68,3362392.0,0.0,1.0
2018-03-07,58.42,58.2,58.42,58.67,58.17,2326404.0,0.0,1.0
2018-03-08,59.02,58.53,59.02,59.085,58.4,1400200.0,0.0,1.0
2018-03-09,60.37,59.37,60.37,60.38,59.17,1771612.0,0.0,1.0
2018-03-12,59.97,60.35,59.97,60.43,59.74,2551867.0,0.0,1.0
2018-03-13,60.01,60.06,60.01,60.69,59.96,2552671.0,0.0,1.0
2018-03-14,61.4,61.3,61.4,61.63,60.72,3307798.0,0.0,1.0
2018-03-15,61.58,61.55,61.58,61.71,60.8,2752319.0,0.0,1.0
2018-03-16,61.92,61.81,61.92,62.14,61.63,3015683.0,0.0,1.0
2018-03-19,61.87,61.92,61.87,62.5199,61.395,2274198.0,0.0,1.0
2018-03-20,62.33,62.06,62.33,62.74,62.02,2587932.0,0.0,1.0
2018-03-21,62.01,62.39,62.01,62.71,61.73,2206630.0,0.0,1.0
2018-03-22,60.55,61.49,60.55,61.985,60.47,2667334.0,0.0,1.0
2018-03-23,59.68,60.51,59.68,61.0,59.61,3274250.0,0.0,1.0
2018-03-26,60.85,60.09,60.85,60.98,59.51,3615278.0,0.0,1.0
2018-03-27,60.29,61.09,60.29,61.43,59.93,2952890.0,0.0,1.0
2018-03-28,60.44,60.35,60.44,60.87,59.78,3403074.0,0.0,1.0
2018-03-29,60.93,60.77,60.93,61.46,60.44,3268597.0,0.0,1.0
2018-04-02,59.81,60.99,59.81,61.27,59.17,3481517.0,0.0,1.0
2018-04-03,60.69,60.07,60.69,60.96,59.85,3498736.0,0.0,1.0
2018-04-04,61.41,60.13,61.41,61.55,60.04,3841235.0,0.0,1.0
2018-04-05,61.25,61.65,61.25,61.97,61.05,2900436.0,0.0,1.0
2018-04-06,60.04,60.86,60.04,61.39,59.7,3661435.0,0.0,1.0
2018-04-09,60.0,60.4,60.0,60.9,59.8941,2952814.0,0.0,1.0
2018-04-10,60.39,60.81,60.39,60.98,60.32,3037735.0,0.0,1.0
2018-04-11,59.99,59.96,59.99,60.33,59.81,2314983.0,0.0,1.0
2018-04-12,60.5,60.39,60.5,60.76,60.22,2155775.0,0.0,1.0
2018-04-13,60.07,60.92,60.07,60.98,59.92,2711883.0,0.0,1.0
2018-04-16,60.93,60.58,60.93,61.42,60.46,4647950.0,0.0,1.0
2018-04-17,62.28,61.45,62.28,62.78,61.01,5132072.0,0.0,1.0
2018-04-18,61.18,62.39,61.18,62.43,60.83,3972958.0,0.0,1.0
2018-04-19,61.13,61.18,61.13,61.74,60.86,2991848.0,0.0,1.0
2018-04-20,61.05,61.23,61.05,61.39,60.8,2886624.0,0.0,1.0
2018-04-23,61.22,61.5,61.22,61.59,60.961,2146645.0,0.0,1.0
2018-04-24,60.71,61.33,60.71,61.49,60.26,2819952.0,0.0,1.0
2018-04-25,60.3,60.8,60.3,60.97,59.96,3186575.0,0.0,1.0
2018-04-26,60.63,60.36,60.63,60.88,59.98,1600951.0,0.0,1.0
2018-04-27,60.98,60.53,60.98,61.01,60.43,1519238.0,0.0,1.0
2018-04-30,60.29,61.1,60.29,61.25,60.29,2506598.0,0.0,1.0
2018-05-01,60.5,60.32,60.5,60.53,59.92,1929271.0,0.0,1.0
2018-05-02,58.98,60.15,58.98,60.24,58.11,3929183.0,0.0,1.0
2018-05-03,59.27,58.72,59.27,59.62,58.23,3764527.0,0.0,1.0
2018-05-04,59.81,59.03,59.81,60.11,58.64,2457310.0,0.0,1.0
2018-05-07,60.7,59.84,60.7,61.01,59.81,2675934.0,0.0,1.0
2018-05-08,61.16,60.53,61.16,61.28,60.48,2546534.0,0.0,1.0
2018-05-09,61.79,61.13,61.79,61.8,61.02,1600812.0,0.0,1.0
2018-05-10,62.37,61.9,62.37,62.61,61.65,2522651.0,0.0,1.0
2018-05-11,62.43,62.34,62.43,62.99,62.22,2073874.0,0.0,1.0
2018-05-14,61.72,62.48,61.72,62.59,61.615,3026600.0,0.0,1.0
2018-05-15,61.91,61.59,61.91,62.52,61.55,3991167.0,0.0,1.0
2018-05-16,61.61,62.1,61.61,62.3,61.03,3366717.0,0.0,1.0
2018-05-17,60.36,61.09,60.36,61.235,60.195,3644643.0,0.0,1.0
2018-05-18,60.93,60.49,60.93,61.04,60.28,4993451.0,0.0,1.0
2018-05-21,61.66,61.31,61.66,61.915,61.01,3327236.0,0.0,1.0
2018-05-22,61.99,61.8,61.99,62.8,61.62,3208998.0,0.0,1.0
2018-05-23,62.23,61.85,62.23,62.36,61.75,3086089.0,0.0,1.0
2018-05-24,62.63,62.24,62.63,62.63,61.82,2624164.0,0.0,1.0
2018-05-25,62.35,62.54,62.35,62.67,62.19,2078370.0,0.0,1.0
2018-05-29,61.71,62.04,61.71,62.09,61.32,2880974.0,0.0,1.0
2018-05-30,63.0,62.04,63.0,63.28,62.01,2260499.0,0.0,1.0
2018-05-31,62.09,62.91,62.09,62.91,61.99,6675299.0,0.0,1.0
2018-06-01,62.43,62.56,62.43,62.69,61.96,2687076.0,0.0,1.0
2018-06-04,62.83,62.61,62.83,62.97,62.48,4704184.0,0.0,1.0
2018-06-05,62.99,62.78,62.99,63.55,62.66,3009630.0,0.0,1.0
2018-06-06,62.59,63.08,62.59,63.3933,61.1,4162319.0,0.0,1.0
2018-06-07,62.61,62.63,62.61,62.82,61.92,3935484.0,0.0,1.0
2018-06-08,62.84,62.65,62.84,62.87,62.39,2320933.0,0.0,1.0
2018-06-11,62.74,62.93,62.74,63.14,62.33,1987293.0,0.0,1.0
2018-06-12,61.92,62.85,61.92,63.0,61.775,3707434.0,0.0,1.0
2018-06-13,62.52,62.25,62.52,64.77,62.15,4815454.0,0.0,1.0
2018-06-14,61.89,62.81,61.89,62.97,61.7,3327905.0,0.0,1.0
2018-06-15,62.36,61.85,62.36,62.38,61.36,4254140.0,0.0,1.0
2018-06-18,61.5,61.91,61.5,61.99,61.345,2180954.0,0.0,1.0
2018-06-19,61.96,61.01,61.96,62.24,61.0,5244657.0,0.0,1.0
2018-06-20,61.42,62.34,61.42,62.34,61.38,2579399.0,0.0,1.0
2018-06-21,61.05,61.24,61.05,61.53,60.9,1740870.0,0.0,1.0
2018-06-22,60.78,61.32,60.78,61.39,60.64,9356429.0,0.0,1.0
2018-06-25,60.18,60.85,60.18,61.14,60.1,4256976.0,0.0,1.0
2018-06-26,59.75,60.36,59.75,60.48,59.735,3433950.0,0.0,1.0
2018-06-27,58.71,60.1,58.71,60.15,58.68,3850759.0,0.0,1.0
2018-06-28,59.53,58.73,59.53,59.87,58.695,2824758.0,0.0,1.0
