date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,68.48,67.22,45.762,68.91,66.55,2005661.0,0.0,1.0
2018-02-07,68.65,68.12,45.8757,69.59,68.12,1631907.0,0.0,1.0
2018-02-08,66.67,68.67,44.5525,68.81,66.63,1360557.0,0.0,1.0
2018-02-09,67.09,67.45,44.8332,67.83,64.82,1488430.0,0.0,1.0
2018-02-12,69.03,67.43,46.1296,69.79,67.31,1746593.0,0.0,1.0
2018-02-13,69.39,68.76,46.3702,69.62,68.41,1028407.0,0.0,1.0
2018-02-14,70.81,68.84,47.3191,70.85,68.81,1535089.0,0.0,1.0
2018-02-15,70.65,71.18,47.2122,71.18,70.05,1103718.0,0.0,1.0
2018-02-16,70.83,70.48,47.3324,71.74,70.14,826944.0,0.0,1.0
2018-02-20,70.59,70.41,47.1721,71.34,70.27,652385.0,0.0,1.0
2018-02-21,70.64,70.5,47.2055,71.84,70.5,634782.0,0.0,1.0
2018-02-22,71.09,71.07,47.5062,71.98,70.77,706279.0,0.0,1.0
2018-02-23,71.39,71.36,47.7067,71.56,70.87,646937.0,0.0,1.0
2018-02-26,71.35,71.61,47.6799,71.67,70.69,922076.0,0.0,1.0
2018-02-27,70.54,71.32,47.1387,71.92,70.54,703861.0,0.0,1.0
2018-02-28,68.69,70.82,45.9024,70.82,68.69,1045960.0,0.0,1.0
2018-03-01,66.96,68.82,44.7463,68.82,66.31,921508.0,0.0,1.0
2018-03-02,67.23,66.32,44.9267,67.4,66.16,807721.0,0.0,1.0
2018-03-05,67.66,66.93,45.2141,67.94,66.5,846629.0,0.0,1.0
2018-03-06,68.52,68.0,45.7888,68.7,67.725,637215.0,0.0,1.0
2018-03-07,69.32,67.72,46.3234,69.5,67.57,1065972.0,0.0,1.0
2018-03-08,70.27,69.35,46.9582,70.32,68.4,1091293.0,0.0,1.0
2018-03-09,71.82,70.66,47.994,71.91,70.45,1116429.0,0.0,1.0
2018-03-12,71.19,71.98,47.573,71.98,70.97,952767.0,0.0,1.0
2018-03-13,69.97,71.27,46.7577,71.76,69.585,868673.0,0.0,1.0
2018-03-14,70.64,70.46,47.2055,71.04,69.89,1083343.0,0.0,1.0
2018-03-15,72.13,70.84,48.2012,72.91,70.84,1464439.0,0.0,1.0
2018-03-16,72.74,72.2,48.6088,73.07,71.94,1462378.0,0.0,1.0
2018-03-19,71.69,72.6,47.9071,72.6,70.855,1046526.0,0.0,1.0
2018-03-20,71.79,71.98,47.974,72.63,71.53,1253737.0,0.0,1.0
2018-03-21,71.75,71.9,47.9472,72.61,71.58,887785.0,0.0,1.0
2018-03-22,69.61,70.98,46.5172,71.375,69.5113,894376.0,0.0,1.0
2018-03-23,67.31,69.9,44.9802,69.96,67.13,1162072.0,0.0,1.0
2018-03-26,69.17,68.19,46.2231,69.34,67.64,933681.0,0.0,1.0
2018-03-27,68.28,69.25,45.6284,69.66,67.87,990508.0,0.0,1.0
2018-03-28,67.89,68.31,45.3678,68.63,67.42,1150099.0,0.0,1.0
2018-03-29,68.13,68.32,45.5282,68.98,67.69,1729424.0,0.0,1.0
2018-04-02,67.26,69.09,44.9468,69.57,66.19,1174135.0,0.0,1.0
2018-04-03,68.91,67.45,46.0494,68.96,67.24,1833207.0,0.0,1.0
2018-04-04,69.89,67.93,46.7043,69.97,67.93,1544645.0,0.0,1.0
2018-04-05,70.45,70.06,47.0785,70.62,69.72,985568.0,0.0,1.0
2018-04-06,68.08,69.98,45.4947,69.995,67.41,897790.0,0.0,1.0
