date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,110.99,107.72,109.1103,111.7,106.51,4129478.0,0.0,1.0
2018-02-07,111.17,110.22,109.2873,112.51,109.7,2260554.0,0.0,1.0
2018-02-08,103.38,111.25,101.6292,111.97,103.26,4378254.0,0.0,1.0
2018-02-09,106.04,104.72,104.2442,107.0,102.1,4255410.0,0.0,1.0
2018-02-12,107.86,108.38,106.0333,110.45,106.5117,3415152.0,0.0,1.0
2018-02-13,106.89,106.84,105.0798,107.72,106.32,2792701.0,0.0,1.0
2018-02-14,111.27,106.48,109.3856,111.7,106.4,2932863.0,0.0,1.0
2018-02-15,109.73,112.07,107.8717,113.03,109.1,2347745.0,0.0,1.0
2018-02-16,109.43,109.33,107.5767,110.33,109.07,2506455.0,0.0,1.0
2018-02-20,108.48,109.0,107.5276,109.24,107.895,2230530.0,0.9,1.0
2018-02-21,108.63,108.5,107.6763,110.36,108.5,2462344.0,0.0,1.0
2018-02-22,107.79,109.16,106.8436,110.07,107.63,2167459.0,0.0,1.0
2018-02-23,108.98,108.29,108.0232,109.01,107.281,1752252.0,0.0,1.0
2018-02-26,110.12,109.63,109.1532,110.54,109.23,1919420.0,0.0,1.0
2018-02-27,108.69,110.0,107.7357,111.13,108.66,2454320.0,0.0,1.0
2018-02-28,106.32,109.49,105.3865,109.7033,106.28,2038781.0,0.0,1.0
2018-03-01,103.93,106.45,103.0175,107.49,103.62,2785841.0,0.0,1.0
2018-03-02,105.6,103.83,104.6729,105.82,102.44,2412741.0,0.0,1.0
2018-03-05,106.22,104.5,105.2874,107.27,104.15,2269893.0,0.0,1.0
2018-03-06,107.54,106.91,106.5958,107.8104,105.98,1560208.0,0.0,1.0
2018-03-07,107.31,106.03,106.3679,107.54,105.9183,1477490.0,0.0,1.0
2018-03-08,107.49,107.67,106.5463,107.91,106.0,1259946.0,0.0,1.0
2018-03-09,110.3,108.59,109.3316,110.36,108.28,2392623.0,0.0,1.0
2018-03-12,109.89,110.36,108.9252,110.55,109.58,3449785.0,0.0,1.0
2018-03-13,109.6,110.61,108.6378,111.18,109.29,2132184.0,0.0,1.0
2018-03-14,108.05,110.27,107.1014,110.27,107.72,1830227.0,0.0,1.0
2018-03-15,108.49,108.55,107.5375,109.66,108.1,1766795.0,0.0,1.0
2018-03-16,108.65,108.79,107.6961,109.47,108.25,3547043.0,0.0,1.0
2018-03-19,107.72,108.55,106.7743,108.94,106.3573,1687080.0,0.0,1.0
2018-03-20,108.9,108.36,107.9439,109.47,108.21,1737382.0,0.0,1.0
2018-03-21,108.88,109.18,107.9241,110.23,108.8,1963869.0,0.0,1.0
2018-03-22,105.06,107.22,104.1376,107.925,104.66,2337407.0,0.0,1.0
2018-03-23,100.64,105.5,99.7564,105.54,100.26,2337908.0,0.0,1.0
2018-03-26,104.17,102.65,103.2554,105.2186,101.7,1885489.0,0.0,1.0
2018-03-27,102.56,104.44,101.6596,105.25,101.85,2313502.0,0.0,1.0
2018-03-28,102.9,103.02,101.9966,103.78,101.85,2337274.0,0.0,1.0
2018-03-29,103.55,103.51,102.6409,104.21,102.75,2228195.0,0.0,1.0
2018-04-02,100.95,103.41,100.0637,103.55,99.3,2625015.0,0.0,1.0
2018-04-03,102.83,101.87,101.9272,103.15,100.93,2207546.0,0.0,1.0
2018-04-04,104.42,100.92,103.5032,104.73,100.76,2001893.0,0.0,1.0
2018-04-05,104.91,105.33,103.9889,105.85,104.11,1675902.0,0.0,1.0
2018-04-06,102.33,103.65,101.4316,104.5,101.08,1800885.0,0.0,1.0
2018-04-09,101.95,103.04,101.0549,104.2,101.77,2389494.0,0.0,1.0
2018-04-10,104.7,103.59,103.7808,105.24,103.38,2518285.0,0.0,1.0
2018-04-11,102.96,103.5,102.056,104.4,102.83,1830086.0,0.0,1.0
2018-04-12,105.03,103.73,104.1079,105.75,103.52,1356656.0,0.0,1.0
2018-04-13,104.28,105.91,103.3645,106.0,103.77,1274395.0,0.0,1.0
2018-04-16,105.08,105.31,104.1574,105.59,104.4,1684502.0,0.0,1.0
2018-04-17,104.9,105.83,103.979,106.65,104.5471,1395975.0,0.0,1.0
2018-04-18,105.84,105.37,104.9108,106.3628,105.07,1414105.0,0.0,1.0
2018-04-19,107.07,105.76,106.13,107.8927,105.76,1413342.0,0.0,1.0
2018-04-20,107.03,107.54,106.0903,107.7,106.4,1540346.0,0.0,1.0
2018-04-23,107.38,107.39,106.4372,107.92,106.79,951651.0,0.0,1.0
2018-04-24,107.14,108.0,106.1994,108.92,106.18,1189140.0,0.0,1.0
2018-04-25,106.77,106.74,105.8326,107.39,105.51,1177242.0,0.0,1.0
2018-04-26,107.19,106.77,106.2489,107.62,106.13,1003005.0,0.0,1.0
2018-04-27,107.62,106.73,106.6751,107.83,106.32,759465.0,0.0,1.0
2018-04-30,106.32,108.13,105.3865,108.4818,106.32,1685512.0,0.0,1.0
2018-05-01,106.11,106.0,105.1784,106.21,104.89,1178902.0,0.0,1.0
2018-05-02,101.23,105.55,100.3412,105.79,101.05,3229281.0,0.0,1.0
2018-05-03,97.6,101.19,96.7431,101.77,95.83,5736244.0,0.0,1.0
2018-05-04,100.66,96.98,99.7762,101.18,96.98,2296206.0,0.0,1.0
2018-05-07,100.5,100.71,99.6176,101.33,99.78,1722595.0,0.0,1.0
2018-05-08,100.1,100.37,99.2212,101.57,99.5,1592607.0,0.0,1.0
2018-05-09,100.13,100.56,99.2509,100.8079,99.06,2800359.0,0.0,1.0
2018-05-10,100.84,100.21,99.9547,100.88,99.11,2127953.0,0.0,1.0
2018-05-11,99.88,100.95,99.0031,101.46,99.51,2641709.0,0.0,1.0
2018-05-14,99.87,100.31,98.9932,100.721,99.675,1924847.0,0.0,1.0
2018-05-15,100.54,99.8,99.6573,101.59,99.66,2991211.0,0.0,1.0
2018-05-16,101.17,100.31,100.2818,101.73,100.1,1893044.0,0.0,1.0
2018-05-17,102.61,101.05,101.7091,102.99,100.82,2299816.0,0.0,1.0
2018-05-18,102.43,102.61,101.5307,103.015,101.69,2264039.0,0.0,1.0
2018-05-21,101.61,101.89,101.61,102.58,101.36,1620654.0,0.9,1.0
2018-05-22,101.96,101.77,101.96,102.99,101.72,1795759.0,0.0,1.0
2018-05-23,100.9,101.17,100.9,101.43,99.57,2116155.0,0.0,1.0
2018-05-24,100.38,100.51,100.38,100.84,99.33,2195666.0,0.0,1.0
2018-05-25,100.02,100.0,100.02,100.355,99.36,908742.0,0.0,1.0
2018-05-29,94.97,98.48,94.97,98.55,94.51,2919616.0,0.0,1.0
2018-05-30,97.85,96.39,97.85,98.2225,96.06,2425838.0,0.0,1.0
2018-05-31,96.84,97.44,96.84,97.73,96.25,3571161.0,0.0,1.0
2018-06-01,98.84,98.55,98.84,99.305,98.11,1769198.0,0.0,1.0
2018-06-04,99.17,99.9,99.17,100.4,99.02,1610376.0,0.0,1.0
2018-06-05,98.56,98.77,98.56,99.18,97.4,1552641.0,0.0,1.0
2018-06-06,99.65,99.13,99.65,100.01,98.51,1524659.0,0.0,1.0
2018-06-07,99.74,100.23,99.74,100.34,98.91,1526244.0,0.0,1.0
2018-06-08,100.55,99.79,100.55,100.64,99.37,1380128.0,0.0,1.0
2018-06-11,100.84,101.23,100.84,102.06,100.8,1923230.0,0.0,1.0
2018-06-12,99.76,101.05,99.76,101.53,99.43,1973982.0,0.0,1.0
2018-06-13,99.3,99.9,99.3,100.56,98.95,2219696.0,0.0,1.0
2018-06-14,98.75,99.42,98.75,99.49,98.285,1999204.0,0.0,1.0
2018-06-15,98.56,97.81,98.56,98.66,96.57,3233783.0,0.0,1.0
2018-06-18,97.95,97.75,97.95,98.05,96.84,2090545.0,0.0,1.0
2018-06-19,97.6,96.7,97.6,97.8311,96.601,1554565.0,0.0,1.0
2018-06-20,96.84,97.86,96.84,98.08,96.71,1759784.0,0.0,1.0
2018-06-21,96.42,96.82,96.42,97.23,96.06,1285010.0,0.0,1.0
