date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,185.4,182.98,181.8559,187.09,180.9254,1529861.0,0.0,1.0
2018-02-07,185.35,184.65,181.8069,188.62,183.76,1000319.0,0.0,1.0
2018-02-08,180.49,185.35,177.0398,185.945,180.48,1175861.0,0.0,1.0
2018-02-09,187.16,181.75,183.5823,188.7,180.71,1999607.0,0.0,1.0
2018-02-12,187.82,187.63,184.2297,188.57,182.93,1403893.0,0.0,1.0
2018-02-13,189.2,187.95,185.5833,190.28,187.5,1047199.0,0.0,1.0
2018-02-14,186.78,187.81,183.2096,188.15,184.69,956614.0,0.0,1.0
2018-02-15,190.48,187.52,186.8388,191.35,187.0,926140.0,0.0,1.0
2018-02-16,188.75,189.98,185.1419,190.96,187.015,1107220.0,0.0,1.0
2018-02-20,186.31,187.63,182.7486,190.25,185.91,1374799.0,0.0,1.0
2018-02-21,190.75,186.97,187.1037,194.22,185.77,2524404.0,0.0,1.0
2018-02-22,193.14,191.63,189.448,194.37,190.77,1466510.0,0.0,1.0
2018-02-23,195.68,193.33,191.9394,195.7399,192.84,770387.0,0.0,1.0
2018-02-26,195.88,196.05,192.1356,197.41,193.31,878324.0,0.0,1.0
2018-02-27,192.92,196.54,189.2322,197.74,192.52,979424.0,0.0,1.0
2018-02-28,194.44,193.82,190.7231,196.68,193.12,1140711.0,0.0,1.0
2018-03-01,196.11,194.24,192.3612,198.49,193.08,1196702.0,0.0,1.0
2018-03-02,195.0,196.18,191.2724,197.61,192.83,950665.0,0.0,1.0
2018-03-05,197.35,195.09,193.5775,199.0,195.09,1146861.0,0.0,1.0
2018-03-06,198.16,196.8,194.372,199.08,195.415,711877.0,0.0,1.0
2018-03-07,198.01,197.33,194.2249,198.91,196.4,583960.0,0.0,1.0
2018-03-08,199.81,198.14,195.9905,200.49,197.13,749804.0,0.0,1.0
2018-03-09,199.96,200.08,196.1376,200.4,197.67,882878.0,0.0,1.0
2018-03-12,199.41,199.96,195.5981,200.41,198.56,996667.0,0.0,1.0
2018-03-13,197.4,198.0,195.5883,199.0,196.76,1019958.0,2.0,1.0
2018-03-14,194.61,197.88,192.8239,198.48,193.0,1903349.0,0.0,1.0
2018-03-15,195.17,194.78,193.3788,195.37,193.715,675914.0,0.0,1.0
2018-03-16,198.01,195.52,196.1927,198.2,195.27,1101146.0,0.0,1.0
2018-03-19,196.72,198.04,194.9146,198.08,195.55,838343.0,0.0,1.0
2018-03-20,198.03,196.9,196.2125,198.65,196.52,880970.0,0.0,1.0
2018-03-21,198.52,198.25,196.698,199.6,196.15,1108332.0,0.0,1.0
2018-03-22,195.69,198.32,193.894,199.9,195.61,1045931.0,0.0,1.0
2018-03-23,193.05,195.71,191.2782,197.29,192.66,802031.0,0.0,1.0
