date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,96.88,92.88,95.5133,97.0,92.7,2883179.0,0.0,1.0
2018-02-07,95.61,96.82,94.2613,98.09,95.59,2190721.0,0.0,1.0
2018-02-08,92.44,95.49,91.136,95.516,92.41,2604100.0,0.0,1.0
2018-02-09,92.6,93.12,91.2937,94.13,89.14,2636463.0,0.0,1.0
2018-02-12,93.59,93.46,92.2698,94.77,92.61,1798904.0,0.0,1.0
2018-02-13,93.76,93.24,92.4374,94.29,92.96,1437545.0,0.0,1.0
2018-02-14,93.33,93.39,92.0134,93.81,91.32,4089555.0,0.0,1.0
2018-02-15,92.77,93.98,91.4613,94.4,91.62,2636711.0,0.0,1.0
2018-02-16,91.99,91.78,91.3825,92.915,90.95,2220471.0,0.7,1.0
2018-02-20,90.99,91.95,90.3891,92.575,90.26,2946389.0,0.0,1.0
2018-02-21,89.58,91.06,88.9884,91.53,89.56,2218411.0,0.0,1.0
2018-02-22,90.13,90.1,89.5347,91.2,89.59,2691048.0,0.0,1.0
2018-02-23,91.83,90.59,91.2235,91.86,90.11,2871907.0,0.0,1.0
2018-02-26,92.52,92.62,91.909,93.23,91.96,3326457.0,0.0,1.0
2018-02-27,92.12,92.77,91.5116,93.75,92.1,3140925.0,0.0,1.0
2018-02-28,90.37,92.95,89.7732,93.04,90.34,3206371.0,0.0,1.0
2018-03-01,90.87,90.54,90.2699,91.92,89.5,3431866.0,0.0,1.0
2018-03-02,91.37,90.07,90.7665,91.64,89.79,1903789.0,0.0,1.0
2018-03-05,93.06,91.02,92.4454,93.22,90.67,2953329.0,0.0,1.0
2018-03-06,93.93,93.55,93.3096,94.31,92.75,2056462.0,0.0,1.0
2018-03-07,94.22,93.03,93.5977,95.04,93.02,1791368.0,0.0,1.0
2018-03-08,95.19,94.23,94.5613,95.23,93.55,1643475.0,0.0,1.0
2018-03-09,95.91,96.0,95.2766,96.29,95.43,1621093.0,0.0,1.0
2018-03-12,94.99,95.71,94.3626,96.2499,94.89,1242401.0,0.0,1.0
2018-03-13,94.55,95.11,93.9255,96.12,94.1101,1689413.0,0.0,1.0
2018-03-14,94.21,94.84,93.5878,95.31,94.01,1603654.0,0.0,1.0
2018-03-15,94.46,94.64,93.8361,95.18,93.25,2688210.0,0.0,1.0
2018-03-16,95.79,94.61,95.1574,96.02,94.58,2960860.0,0.0,1.0
2018-03-19,94.4,95.14,93.7765,95.45,93.89,1719010.0,0.0,1.0
2018-03-20,95.1,94.68,94.4719,95.9,94.58,2001869.0,0.0,1.0
2018-03-21,96.15,95.34,95.515,96.98,95.2,1617400.0,0.0,1.0
2018-03-22,94.7,95.23,94.0746,96.22,94.5,1393421.0,0.0,1.0
2018-03-23,93.39,95.12,92.7732,96.17,93.08,1708307.0,0.0,1.0
2018-03-26,96.0,94.73,95.366,96.11,93.99,1605711.0,0.0,1.0
2018-03-27,95.71,96.33,95.0779,97.29,95.13,1533135.0,0.0,1.0
2018-03-28,94.33,95.77,93.707,96.5735,94.21,2399280.0,0.0,1.0
2018-03-29,95.92,94.93,95.2865,96.495,94.87,1553049.0,0.0,1.0
2018-04-02,94.95,95.83,94.3229,96.21,93.38,1677641.0,0.0,1.0
2018-04-03,96.18,95.4,95.5448,96.304,94.78,1511055.0,0.0,1.0
2018-04-04,95.99,94.99,95.356,96.23,92.68,2492147.0,0.0,1.0
2018-04-05,97.77,96.75,97.1243,98.26,96.26,1856801.0,0.0,1.0
2018-04-06,96.97,97.46,96.3296,97.89,95.92,2596342.0,0.0,1.0
2018-04-09,97.74,97.33,97.0945,98.69,97.0,1401206.0,0.0,1.0
2018-04-10,100.25,99.11,99.5879,100.86,98.87,1831615.0,0.0,1.0
2018-04-11,102.55,99.95,101.8727,102.92,99.95,2247500.0,0.0,1.0
2018-04-12,102.63,102.78,101.9522,103.28,101.9,2038655.0,0.0,1.0
2018-04-13,103.74,103.28,103.0549,104.19,102.71,1496552.0,0.0,1.0
2018-04-16,106.82,104.27,106.1145,107.24,104.17,2142009.0,0.0,1.0
2018-04-17,107.86,107.34,107.1476,108.29,106.44,2087271.0,0.0,1.0
2018-04-18,108.89,108.34,108.1708,110.09,108.31,2488384.0,0.0,1.0
2018-04-19,110.64,109.06,109.9093,110.85,108.2,3075287.0,0.0,1.0
2018-04-20,110.99,110.41,110.257,111.31,109.73,3155410.0,0.0,1.0
2018-04-23,111.45,110.98,110.7139,111.47,109.79,1958597.0,0.0,1.0
2018-04-24,109.23,111.95,108.5086,113.27,108.81,3092869.0,0.0,1.0
2018-04-25,109.79,108.57,109.0649,110.04,107.52,2043335.0,0.0,1.0
2018-04-26,112.52,110.24,111.7769,112.89,109.52,2819509.0,0.0,1.0
2018-04-27,111.34,110.76,110.6047,111.97,109.7,2062797.0,0.0,1.0
2018-04-30,111.31,111.88,110.5749,113.3199,111.19,3310270.0,0.0,1.0
2018-05-01,111.85,111.67,111.1113,111.99,110.33,3783498.0,0.0,1.0
2018-05-02,114.52,111.44,113.7637,115.47,111.3469,3452738.0,0.0,1.0
2018-05-03,115.59,114.1,114.8266,115.61,112.93,3096465.0,0.0,1.0
2018-05-04,115.61,115.7,114.8465,115.8,114.4447,2526421.0,0.0,1.0
2018-05-07,115.41,115.95,114.6478,117.99,115.32,2631500.0,0.0,1.0
2018-05-08,116.25,115.4,115.4822,116.36,113.69,3056835.0,0.0,1.0
2018-05-09,117.5,117.0,116.724,118.59,116.56,3148062.0,0.0,1.0
2018-05-10,117.96,118.15,117.1809,118.39,117.18,1969581.0,0.0,1.0
2018-05-11,117.76,118.13,116.9823,118.46,117.37,1851381.0,0.0,1.0
2018-05-14,118.29,118.25,117.5088,119.16,117.87,2355224.0,0.0,1.0
2018-05-15,118.32,118.0,117.5386,118.72,117.48,1921735.0,0.0,1.0
2018-05-16,118.16,117.92,117.3796,118.25,116.14,2034314.0,0.0,1.0
2018-05-17,121.87,118.77,121.0651,122.38,118.25,3571787.0,0.0,1.0
2018-05-18,120.33,121.17,120.33,121.335,119.63,3430981.0,0.8,1.0
2018-05-21,121.44,121.0,121.44,121.6,120.34,2064986.0,0.0,1.0
2018-05-22,118.75,121.47,118.75,121.71,117.77,2780617.0,0.0,1.0
2018-05-23,118.95,117.99,118.95,119.44,117.31,2507656.0,0.0,1.0
2018-05-24,118.82,118.0,118.82,119.75,117.385,1630805.0,0.0,1.0
2018-05-25,115.6,116.96,115.6,117.31,114.4,1941711.0,0.0,1.0
2018-05-29,116.81,116.36,116.81,118.16,115.7,2961851.0,0.0,1.0
2018-05-30,119.18,118.24,119.18,119.76,117.36,3583069.0,0.0,1.0
2018-05-31,116.49,119.19,116.49,120.3,116.43,5907147.0,0.0,1.0
2018-06-01,119.0,117.39,119.0,119.17,116.75,2757041.0,0.0,1.0
2018-06-04,119.2,119.4,119.2,120.8,118.59,2979083.0,0.0,1.0
2018-06-05,118.83,119.0,118.83,119.47,117.65,2369815.0,0.0,1.0
2018-06-06,116.65,118.78,116.65,119.14,116.21,2413007.0,0.0,1.0
2018-06-07,117.44,117.29,117.44,117.865,116.51,2478317.0,0.0,1.0
2018-06-08,116.84,117.12,116.84,117.4,116.25,2220624.0,0.0,1.0
2018-06-11,117.02,116.94,117.02,117.795,115.945,2225185.0,0.0,1.0
2018-06-12,115.55,116.7,115.55,116.9634,115.31,2471104.0,0.0,1.0
2018-06-13,115.75,115.55,115.75,116.49,113.84,2973037.0,0.0,1.0
2018-06-14,115.55,116.61,115.55,117.0,115.35,2464091.0,0.0,1.0
2018-06-15,114.3,115.12,114.3,116.07,113.84,3483893.0,0.0,1.0
2018-06-18,114.94,114.25,114.94,115.79,113.94,2654196.0,0.0,1.0
2018-06-19,114.58,113.68,114.58,115.16,113.4,1997008.0,0.0,1.0
2018-06-20,114.59,115.17,114.59,115.23,113.28,2317034.0,0.0,1.0
2018-06-21,111.45,113.98,111.45,114.5,110.97,2481159.0,0.0,1.0
2018-06-22,112.02,113.41,112.02,114.49,111.815,3049905.0,0.0,1.0
2018-06-25,110.45,111.94,110.45,112.0,109.72,1799844.0,0.0,1.0
2018-06-26,110.81,110.79,110.81,111.99,110.645,1878679.0,0.0,1.0
2018-06-27,110.71,111.37,110.71,112.47,110.46,1831633.0,0.0,1.0
2018-06-28,111.74,110.76,111.74,112.2,109.9101,1720228.0,0.0,1.0
