date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,57.79,57.69,56.6848,58.74,56.66,1916343.0,0.0,1.0
2018-02-07,57.53,57.83,56.4298,59.11,57.5,1463485.0,0.0,1.0
2018-02-08,55.58,57.37,54.5171,57.73,55.58,1400558.0,0.0,1.0
2018-02-09,56.7,56.17,55.6157,57.08,55.03,1464080.0,0.0,1.0
2018-02-12,57.27,57.11,56.1748,57.51,54.87,1334318.0,0.0,1.0
2018-02-13,57.54,57.27,56.4396,57.739,56.46,963314.0,0.0,1.0
2018-02-14,57.66,57.11,56.5573,57.95,56.01,1354161.0,0.0,1.0
2018-02-15,57.84,57.96,56.7339,58.53,57.67,1321493.0,0.0,1.0
2018-02-16,58.04,56.89,57.4744,58.34,56.85,1788424.0,0.555,1.0
2018-02-20,58.06,57.78,57.4942,58.85,57.78,2321468.0,0.0,1.0
2018-02-21,56.74,57.92,56.1871,57.99,56.71,1498250.0,0.0,1.0
2018-02-22,58.28,56.84,57.7121,58.61,56.76,974435.0,0.0,1.0
2018-02-23,59.01,58.48,58.435,59.03,57.96,1045793.0,0.0,1.0
2018-02-26,59.33,59.24,58.7519,59.53,58.51,1084012.0,0.0,1.0
2018-02-27,57.91,59.46,57.3457,59.84,57.9,1456835.0,0.0,1.0
2018-02-28,58.11,58.17,57.5437,58.98,57.84,1566048.0,0.0,1.0
2018-03-01,58.33,57.97,57.7616,58.67,57.65,1729004.0,0.0,1.0
2018-03-02,58.93,58.0,58.3558,59.09,57.25,1334902.0,0.0,1.0
2018-03-05,58.72,58.55,58.1478,59.55,58.43,1074484.0,0.0,1.0
2018-03-06,58.95,58.9,58.3756,59.0,58.22,762383.0,0.0,1.0
2018-03-07,58.85,58.84,58.2765,59.4,58.58,773947.0,0.0,1.0
2018-03-08,58.96,58.91,58.3855,59.52,58.5,807509.0,0.0,1.0
2018-03-09,59.1,58.9,58.5241,59.11,58.08,1375916.0,0.0,1.0
2018-03-12,59.12,58.95,58.5439,59.2,58.58,1192570.0,0.0,1.0
2018-03-13,59.2,59.38,58.6231,59.6,58.75,1062438.0,0.0,1.0
2018-03-14,58.82,59.29,58.2468,59.41,58.28,1172804.0,0.0,1.0
2018-03-15,58.26,58.94,57.6923,59.01,58.03,1153252.0,0.0,1.0
2018-03-16,58.27,58.18,57.7022,58.42,57.78,2136226.0,0.0,1.0
2018-03-19,57.32,58.41,56.7614,58.41,57.02,1262941.0,0.0,1.0
2018-03-20,56.96,57.54,56.405,57.94,56.13,1419991.0,0.0,1.0
2018-03-21,56.51,56.84,55.9593,57.0445,56.16,1015667.0,0.0,1.0
2018-03-22,56.64,56.45,56.0881,57.77,56.3,1152154.0,0.0,1.0
2018-03-23,55.85,56.6,55.3058,56.85,55.74,1187383.0,0.0,1.0
2018-03-26,56.62,56.2,56.0683,56.72,55.6,838057.0,0.0,1.0
2018-03-27,57.09,56.62,56.5337,57.77,55.81,1478638.0,0.0,1.0
2018-03-28,59.02,57.35,58.4449,59.21,57.35,1448178.0,0.0,1.0
2018-03-29,58.98,59.16,58.4053,59.52,58.55,1332643.0,0.0,1.0
2018-04-02,57.7,58.98,57.1377,58.98,57.54,1598718.0,0.0,1.0
2018-04-03,58.61,57.91,58.0389,58.89,57.34,922323.0,0.0,1.0
2018-04-04,59.4,58.3,58.8212,59.6,58.06,801228.0,0.0,1.0
2018-04-05,59.67,59.44,59.0885,59.78,58.91,876453.0,0.0,1.0
2018-04-06,58.7,59.45,58.128,60.09,58.51,860953.0,0.0,1.0
2018-04-09,58.58,58.65,58.0092,59.08,58.11,492965.0,0.0,1.0
2018-04-10,58.98,58.83,58.4053,59.25,58.53,862450.0,0.0,1.0
2018-04-11,58.87,58.82,58.2963,59.35,58.49,1026653.0,0.0,1.0
2018-04-12,58.19,59.22,57.623,59.22,57.71,808155.0,0.0,1.0
2018-04-13,58.39,58.32,57.821,58.42,57.82,760323.0,0.0,1.0
2018-04-16,58.53,58.43,57.9597,58.865,58.31,1011094.0,0.0,1.0
2018-04-17,58.58,58.71,58.0092,59.16,58.21,1044402.0,0.0,1.0
2018-04-18,58.24,58.68,57.6725,58.87,58.1297,815420.0,0.0,1.0
2018-04-19,57.1,58.1,56.5436,58.1,56.66,794819.0,0.0,1.0
2018-04-20,56.12,57.15,55.5731,57.52,56.07,728088.0,0.0,1.0
2018-04-23,56.11,56.15,55.5632,56.67,55.82,585783.0,0.0,1.0
2018-04-24,56.18,55.95,55.6326,56.39,55.77,782126.0,0.0,1.0
2018-04-25,56.0,56.12,55.4543,56.46,55.43,512001.0,0.0,1.0
2018-04-26,57.24,56.36,56.6822,57.56,56.03,879431.0,0.0,1.0
2018-04-27,58.78,57.24,58.2072,58.91,57.09,889319.0,0.0,1.0
2018-04-30,58.85,58.92,58.2765,59.39,58.49,1349686.0,0.0,1.0
2018-05-01,59.26,58.85,58.6825,59.52,58.15,898206.0,0.0,1.0
2018-05-02,58.11,58.87,57.5437,59.09,57.92,908907.0,0.0,1.0
2018-05-03,57.75,58.06,57.1873,58.4,57.68,1021012.0,0.0,1.0
2018-05-04,58.76,57.64,58.1874,58.92,57.64,728559.0,0.0,1.0
2018-05-07,58.9,59.04,58.326,59.195,58.63,606377.0,0.0,1.0
2018-05-08,58.09,58.8,57.5239,58.87,57.94,815817.0,0.0,1.0
2018-05-09,58.65,58.03,58.0785,58.7,57.74,638968.0,0.0,1.0
2018-05-10,58.64,58.96,58.0686,59.11,58.49,666955.0,0.0,1.0
2018-05-11,58.55,58.82,57.9795,59.08,58.455,727646.0,0.0,1.0
2018-05-14,57.7,58.41,57.1377,58.81,57.36,785790.0,0.0,1.0
2018-05-15,56.4,56.77,56.4,56.97,56.14,1320272.0,0.555,1.0
2018-05-16,56.29,56.68,56.29,56.95,56.15,1185545.0,0.0,1.0
2018-05-17,56.27,56.35,56.27,56.68,55.88,951474.0,0.0,1.0
2018-05-18,55.7,55.88,55.7,56.08,55.46,1640183.0,0.0,1.0
2018-05-21,56.66,56.11,56.66,56.95,55.38,953420.0,0.0,1.0
2018-05-22,57.2,56.68,57.2,57.39,56.58,1379466.0,0.0,1.0
2018-05-23,57.6,57.35,57.6,58.01,57.11,1649549.0,0.0,1.0
2018-05-24,57.38,57.81,57.38,58.075,57.07,1080548.0,0.0,1.0
2018-05-25,57.8,57.59,57.8,57.88,57.33,1123159.0,0.0,1.0
2018-05-29,58.0,57.43,58.0,58.19,57.16,1412537.0,0.0,1.0
2018-05-30,58.41,57.96,58.41,58.61,57.57,1354337.0,0.0,1.0
2018-05-31,58.08,58.41,58.08,58.53,57.89,1456824.0,0.0,1.0
2018-06-01,57.76,58.19,57.76,58.62,57.62,1513558.0,0.0,1.0
2018-06-04,58.46,58.02,58.46,58.52,57.89,1065465.0,0.0,1.0
2018-06-05,58.82,58.63,58.82,59.295,58.46,1288121.0,0.0,1.0
2018-06-06,59.17,58.71,59.17,59.28,58.42,1345194.0,0.0,1.0
2018-06-07,59.16,59.14,59.16,59.53,58.72,1570066.0,0.0,1.0
2018-06-08,59.47,59.19,59.47,59.61,58.85,1273160.0,0.0,1.0
2018-06-11,59.32,59.53,59.32,59.74,59.19,1024443.0,0.0,1.0
2018-06-12,60.42,59.32,60.42,60.59,59.2,1477276.0,0.0,1.0
2018-06-13,59.37,60.51,59.37,60.66,59.17,860519.0,0.0,1.0
2018-06-14,60.01,59.56,60.01,60.2,59.495,863811.0,0.0,1.0
2018-06-15,59.71,59.94,59.71,60.38,59.55,1647017.0,0.0,1.0
2018-06-18,59.64,59.55,59.64,59.95,59.08,1084820.0,0.0,1.0
2018-06-19,59.06,59.55,59.06,59.86,58.93,1053898.0,0.0,1.0
2018-06-20,60.07,58.95,60.07,60.13,58.95,971784.0,0.0,1.0
2018-06-21,61.29,60.11,61.29,61.32,60.03,1031632.0,0.0,1.0
2018-06-22,62.68,61.44,62.68,62.78,61.181,1859317.0,0.0,1.0
2018-06-25,62.58,62.79,62.58,62.92,61.66,1129228.0,0.0,1.0
2018-06-26,62.38,62.64,62.38,62.69,62.07,1024285.0,0.0,1.0
2018-06-27,62.2,62.63,62.2,62.85,62.2,775411.0,0.0,1.0
2018-06-28,62.46,62.15,62.46,62.6,61.88,1251020.0,0.0,1.0
