date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,118.3265,114.91,114.33,1.0,120.46,119.92,1274643.0,0.0
2018-02-07,118.2377,119.27,119.03,1.0,121.19,119.83,1341339.0,0.0
2018-02-08,117.5667,119.53,118.36,1.0,120.61,118.37,1183957.0,0.78
2018-02-09,118.7089,119.56,116.78,1.0,120.55,119.52,882760.0,0.0
2018-02-12,118.5897,119.97,118.42,1.0,120.69,119.4,890165.0,0.0
2018-02-13,118.8778,118.72,117.35,1.0,120.1,119.69,870822.0,0.0
2018-02-14,120.1888,118.85,117.12,1.0,121.11,121.01,1083159.0,0.0
2018-02-15,121.8177,121.58,119.4,1.0,123.52,122.65,1393636.0,0.0
2018-02-16,123.6154,123.8,118.96,1.0,124.95,124.46,1513001.0,0.0
2018-02-20,123.0294,124.33,122.19,1.0,124.525,123.87,950053.0,0.0
2018-02-21,120.0001,124.22,120.7,1.0,125.23,120.82,743695.0,0.0
2018-02-22,122.0064,120.97,120.67,1.0,123.025,122.84,1072760.0,0.0
2018-02-23,123.7048,123.28,121.37,1.0,124.57,124.55,1419410.0,0.0
2018-02-26,126.158,124.33,123.77,1.0,127.05,127.02,973644.0,0.0
2018-02-27,125.7806,127.06,126.64,1.0,130.22,126.64,1374485.0,0.0
2018-02-28,125.4429,127.36,126.06,1.0,128.23,126.3,1089008.0,0.0
2018-03-01,126.0388,126.05,125.67,1.0,128.64,126.9,912716.0,0.0
2018-03-02,127.5783,126.36,126.36,1.0,129.0,128.45,879319.0,0.0
2018-03-05,129.1377,127.98,124.84,1.0,130.35,130.02,981246.0,0.0
2018-03-06,128.8,130.0,127.94,1.0,130.3,129.68,1199405.0,0.0
2018-03-07,127.8465,128.27,125.0,1.0,129.36,128.72,810597.0,0.0
2018-03-08,128.79,129.07,127.86,1.0,129.7,129.67,928866.0,0.0
2018-03-09,129.0383,130.0,129.08,1.0,130.46,129.92,615651.0,0.0
2018-03-12,129.4257,129.79,129.58,1.0,131.415,130.31,808280.0,0.0
2018-03-13,130.6374,130.98,129.61,1.0,131.73,131.53,905703.0,0.0
