date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,93.45,92.32,91.9314,94.705,91.2,2423680.0,0.0,1.0
2018-02-07,92.86,93.18,91.351,94.75,92.78,1094309.0,0.0,1.0
2018-02-08,90.61,92.66,89.1375,94.18,90.61,1351536.0,0.0,1.0
2018-02-09,92.18,91.15,90.682,93.05,89.46,1691330.0,0.0,1.0
2018-02-12,92.69,92.31,91.1837,93.2,89.62,995606.0,0.0,1.0
2018-02-13,93.82,92.66,92.2954,94.27,91.91,911630.0,0.0,1.0
2018-02-14,93.79,93.12,92.2658,94.43,92.03,1123149.0,0.0,1.0
2018-02-15,95.54,94.13,93.9874,95.97,93.86,1039595.0,0.0,1.0
2018-02-16,96.2,95.47,94.6367,96.63,95.38,624032.0,0.0,1.0
2018-02-20,96.25,95.86,94.6859,97.51,95.78,838703.0,0.0,1.0
2018-02-21,94.5,96.03,92.9643,97.35,94.49,1379720.0,0.0,1.0
2018-02-22,95.91,94.66,94.3514,97.15,94.56,884410.0,0.0,1.0
2018-02-23,97.62,96.5,96.0336,97.67,95.41,408951.0,0.0,1.0
2018-02-26,98.06,97.93,96.4665,98.11,97.0,547842.0,0.0,1.0
2018-02-27,95.89,98.22,94.3317,98.95,95.85,958006.0,0.0,1.0
2018-02-28,96.92,96.44,95.345,98.43,95.95,1064027.0,0.0,1.0
2018-03-01,96.67,96.39,95.099,98.15,95.59,1233692.0,0.0,1.0
2018-03-02,97.85,96.29,96.2599,97.91,95.25,1015160.0,0.0,1.0
2018-03-05,98.41,96.73,96.8108,99.24,96.52,1354153.0,0.0,1.0
2018-03-06,99.83,98.34,98.2077,99.93,97.81,698881.0,0.0,1.0
2018-03-07,100.08,99.33,98.4536,100.56,98.88,996531.0,0.0,1.0
2018-03-08,99.47,100.5,97.8535,100.5,99.16,757298.0,0.0,1.0
2018-03-09,99.61,99.71,97.9913,99.77,97.8,794749.0,0.0,1.0
2018-03-12,99.79,99.45,98.1683,100.12,99.01,1109739.0,0.0,1.0
2018-03-13,98.49,100.36,96.8895,100.36,98.2,926542.0,0.0,1.0
2018-03-14,98.71,98.93,97.1059,99.06,98.03,783857.0,0.0,1.0
2018-03-15,98.38,98.91,96.7813,98.99,97.72,761280.0,0.0,1.0
2018-03-16,98.94,98.25,97.3322,99.45,97.72,2444053.0,0.0,1.0
2018-03-19,98.26,98.99,96.6632,98.99,97.58,723265.0,0.0,1.0
2018-03-20,97.58,98.35,95.9943,99.1,96.87,811289.0,0.0,1.0
2018-03-21,96.98,97.64,95.404,98.12,96.495,843578.0,0.0,1.0
2018-03-22,96.05,96.66,94.4891,98.21,96.0,603278.0,0.0,1.0
2018-03-23,92.94,96.08,91.4297,96.29,92.62,1050961.0,0.0,1.0
2018-03-26,94.44,93.75,92.9053,94.64,92.42,789027.0,0.0,1.0
2018-03-27,94.96,94.38,93.4168,96.46,92.91,750858.0,0.0,1.0
2018-03-28,97.99,95.52,96.3976,98.23,95.52,829003.0,0.0,1.0
2018-03-29,96.83,97.19,96.0557,97.81,96.41,773978.0,0.8125,1.0
2018-04-02,95.37,96.92,94.6074,97.23,94.6,832719.0,0.0,1.0
2018-04-03,96.8,95.45,96.026,97.21,94.565,945592.0,0.0,1.0
2018-04-04,96.32,96.14,95.5498,97.34,95.28,1242531.0,0.0,1.0
2018-04-05,96.0,96.64,95.2324,96.64,95.05,627264.0,0.0,1.0
2018-04-06,94.52,95.72,93.7642,96.64,94.23,951440.0,0.0,1.0
2018-04-09,94.45,94.78,93.6948,95.54,94.225,559920.0,0.0,1.0
2018-04-10,95.19,94.95,94.4289,95.85,94.19,648948.0,0.0,1.0
2018-04-11,95.11,94.56,94.3495,96.09,94.14,482632.0,0.0,1.0
2018-04-12,95.0,95.21,94.2404,95.24,93.97,888084.0,0.0,1.0
