date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,43.49,43.34,42.3289,43.88,42.63,14696485.0,0.0,1.0
2018-02-07,43.34,43.39,42.1829,43.93,43.184,10113138.0,0.0,1.0
2018-02-08,43.4,43.2,42.2413,44.05,43.03,9371400.0,0.0,1.0
2018-02-09,44.33,43.38,43.1465,44.65,43.3,11002996.0,0.0,1.0
2018-02-12,44.68,44.33,43.4872,44.87,43.97,7202056.0,0.0,1.0
2018-02-13,44.62,44.58,43.4288,44.835,44.1,6830359.0,0.0,1.0
2018-02-14,43.58,44.35,42.4165,44.43,43.56,8000871.0,0.0,1.0
2018-02-15,44.56,43.85,43.3704,44.57,43.73,8482729.0,0.0,1.0
2018-02-16,43.93,43.98,43.3217,44.06,43.51,7859909.0,0.58,1.0
2018-02-20,43.47,43.74,42.8681,43.9201,43.19,8348671.0,0.0,1.0
2018-02-21,42.92,43.58,42.3257,43.851,42.91,8567759.0,0.0,1.0
2018-02-22,43.02,42.92,42.4243,43.43,42.38,7067880.0,0.0,1.0
2018-02-23,44.07,43.02,43.4598,44.22,42.99,5606682.0,0.0,1.0
2018-02-26,44.03,44.29,43.4203,44.5,43.86,6768757.0,0.0,1.0
2018-02-27,43.4,44.01,42.799,44.32,43.4,6698042.0,0.0,1.0
2018-02-28,43.06,43.44,42.4637,43.54,42.93,7481730.0,0.0,1.0
2018-03-01,43.98,43.08,43.371,44.22,43.08,9698336.0,0.0,1.0
2018-03-02,44.2,43.98,43.588,44.67,43.58,8117433.0,0.0,1.0
2018-03-05,44.84,44.12,44.2191,45.1,44.04,10168230.0,0.0,1.0
2018-03-06,44.1,44.9,43.4893,44.9,44.02,6080579.0,0.0,1.0
2018-03-07,43.67,44.07,43.0653,44.24,43.47,6400406.0,0.0,1.0
2018-03-08,43.41,43.7,42.8089,43.94,43.35,5894515.0,0.0,1.0
2018-03-09,43.76,43.44,43.154,43.76,43.31,5334162.0,0.0,1.0
2018-03-12,43.82,43.62,43.2132,43.89,43.485,5335856.0,0.0,1.0
2018-03-13,43.59,43.86,42.9864,44.08,43.47,6187010.0,0.0,1.0
2018-03-14,44.05,43.68,43.44,44.235,43.66,4017906.0,0.0,1.0
2018-03-15,43.93,44.0,43.3217,44.475,43.8,4796458.0,0.0,1.0
2018-03-16,44.19,43.92,43.5781,44.29,43.84,9092906.0,0.0,1.0
2018-03-19,44.17,44.2,43.5584,44.63,43.94,6026329.0,0.0,1.0
2018-03-20,43.85,44.19,43.2428,44.39,43.71,4294373.0,0.0,1.0
2018-03-21,43.9,43.9,43.2921,44.46,43.7936,4496087.0,0.0,1.0
2018-03-22,43.81,43.9,43.2034,44.615,43.795,7887718.0,0.0,1.0
2018-03-23,43.11,43.93,42.513,44.18,43.02,5424117.0,0.0,1.0
2018-03-26,43.82,43.19,43.2132,43.905,43.07,6633110.0,0.0,1.0
2018-03-27,44.53,43.82,43.9134,44.88,43.68,6227768.0,0.0,1.0
2018-03-28,44.64,44.62,44.0219,44.98,44.4028,4792520.0,0.0,1.0
2018-03-29,44.66,44.75,44.0416,45.05,44.56,4507139.0,0.0,1.0
2018-04-02,44.21,44.73,43.5978,44.95,43.9,4895180.0,0.0,1.0
2018-04-03,44.17,44.23,43.5584,44.43,44.03,4563047.0,0.0,1.0
2018-04-04,44.79,44.2,44.1698,44.86,43.97,5422414.0,0.0,1.0
2018-04-05,45.01,44.8,44.3867,45.16,44.11,4187391.0,0.0,1.0
2018-04-06,44.79,45.04,44.1698,45.24,44.67,4113477.0,0.0,1.0
2018-04-09,44.77,44.8,44.1501,45.06,44.62,3227019.0,0.0,1.0
2018-04-10,44.3,44.76,43.6866,44.89,44.17,4557383.0,0.0,1.0
2018-04-11,44.47,44.33,43.8542,44.54,44.1,3536212.0,0.0,1.0
2018-04-12,43.82,44.48,43.2132,44.7,43.75,4581220.0,0.0,1.0
2018-04-13,43.94,43.93,43.3316,44.155,43.86,4847013.0,0.0,1.0
2018-04-16,45.07,44.1,44.4459,45.09,44.09,6830201.0,0.0,1.0
2018-04-17,45.82,45.14,45.1855,46.01,44.95,6351770.0,0.0,1.0
2018-04-18,45.43,45.87,44.8009,46.29,45.41,4027329.0,0.0,1.0
2018-04-19,45.6,45.35,44.9686,45.62,45.1,4297578.0,0.0,1.0
2018-04-20,45.22,45.66,44.5938,45.87,45.115,4990305.0,0.0,1.0
2018-04-23,45.24,45.27,44.6136,45.48,45.07,3525199.0,0.0,1.0
2018-04-24,45.7,45.38,45.0672,45.9,45.22,5078285.0,0.0,1.0
2018-04-25,46.03,45.59,45.3926,46.32,45.57,6090653.0,0.0,1.0
2018-04-26,46.09,46.01,45.4518,46.24,45.88,4231035.0,0.0,1.0
2018-04-27,46.4,46.0,45.7575,46.75,45.91,4888671.0,0.0,1.0
2018-04-30,46.12,46.53,45.4814,46.615,46.11,4999343.0,0.0,1.0
2018-05-01,45.81,46.0,45.1757,46.12,45.67,5998116.0,0.0,1.0
2018-05-02,46.25,45.81,45.6096,46.43,45.615,5186834.0,0.0,1.0
2018-05-03,46.26,46.11,45.6194,46.47,45.75,4566254.0,0.0,1.0
2018-05-04,46.03,46.27,45.3926,46.58,46.01,4150978.0,0.0,1.0
2018-05-07,45.45,46.03,44.8206,46.19,45.36,5224737.0,0.0,1.0
2018-05-08,44.15,45.28,43.5386,45.34,44.14,6020424.0,0.0,1.0
2018-05-09,43.79,44.29,43.1836,44.315,43.61,4662417.0,0.0,1.0
2018-05-10,44.71,44.0,44.0909,44.76,43.91,4247841.0,0.0,1.0
2018-05-11,44.93,44.72,44.3078,45.13,44.585,3467948.0,0.0,1.0
2018-05-14,44.55,44.95,43.9331,45.13,44.3,4243748.0,0.0,1.0
2018-05-15,44.21,44.42,43.5978,44.51,44.015,4828695.0,0.0,1.0
2018-05-16,43.89,44.23,43.2822,44.47,43.62,4736213.0,0.0,1.0
2018-05-17,43.62,43.91,43.016,43.97,43.53,5043776.0,0.0,1.0
2018-05-18,42.73,43.13,42.73,43.38,42.42,6696787.0,0.6,1.0
2018-05-21,43.44,43.27,43.44,43.715,43.03,8321703.0,0.0,1.0
2018-05-22,43.55,43.5,43.55,43.85,43.28,4643926.0,0.0,1.0
2018-05-23,43.99,43.66,43.99,44.06,43.62,5352617.0,0.0,1.0
2018-05-24,44.25,43.93,44.25,44.36,43.77,4156317.0,0.0,1.0
2018-05-25,44.52,44.29,44.52,44.64,44.29,4511366.0,0.0,1.0
2018-05-29,44.3,44.41,44.3,44.72,44.18,7259923.0,0.0,1.0
2018-05-30,44.74,44.17,44.74,44.82,43.96,4749801.0,0.0,1.0
2018-05-31,44.9,44.69,44.9,45.149,44.4,6990353.0,0.0,1.0
2018-06-01,44.2,44.81,44.2,44.89,44.01,4029590.0,0.0,1.0
2018-06-04,43.93,44.39,43.93,44.5999,43.92,4196735.0,0.0,1.0
2018-06-05,43.77,44.03,43.77,44.15,43.54,5533622.0,0.0,1.0
2018-06-06,42.89,43.93,42.89,43.99,42.8,5945135.0,0.0,1.0
2018-06-07,43.18,43.05,43.18,43.585,42.83,4871425.0,0.0,1.0
2018-06-08,43.28,43.21,43.28,43.39,42.97,3981478.0,0.0,1.0
2018-06-11,42.84,43.26,42.84,43.33,42.73,4887259.0,0.0,1.0
2018-06-12,43.44,42.84,43.44,43.485,42.81,4338433.0,0.0,1.0
2018-06-13,43.78,43.45,43.78,43.935,43.21,7778184.0,0.0,1.0
2018-06-14,44.21,43.78,44.21,44.425,43.75,5690082.0,0.0,1.0
2018-06-15,44.43,44.1,44.43,44.48,43.78,10329354.0,0.0,1.0
2018-06-18,44.57,44.39,44.57,44.78,44.26,4594025.0,0.0,1.0
2018-06-19,45.06,44.62,45.06,45.08,44.58,7068230.0,0.0,1.0
2018-06-20,45.05,45.04,45.05,45.22,44.84,4269662.0,0.0,1.0
2018-06-21,45.29,45.05,45.29,45.45,44.96,4933080.0,0.0,1.0
2018-06-22,45.81,45.48,45.81,45.925,45.25,6603954.0,0.0,1.0
2018-06-25,46.6,45.98,46.6,46.715,45.86,6812097.0,0.0,1.0
2018-06-26,46.09,46.09,46.09,46.58,45.73,5917310.0,0.0,1.0
2018-06-27,46.33,46.0,46.33,46.44,45.925,3930197.0,0.0,1.0
2018-06-28,46.34,46.5,46.34,46.85,46.27,5497652.0,0.0,1.0
