date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,155.98,154.16,152.1257,156.09,152.13,3380928.0,0.0,1.0
2018-02-07,154.86,155.79,151.0334,158.5,154.76,2054841.0,0.0,1.0
2018-02-08,152.18,154.39,148.4196,156.87,152.14,2861812.0,0.0,1.0
2018-02-09,157.2,152.89,153.3155,158.47,151.27,3206164.0,0.0,1.0
2018-02-12,156.8,157.33,152.9254,157.84,152.36,2336231.0,0.0,1.0
2018-02-13,155.49,154.56,153.5496,156.1,153.5,1476536.0,1.95,1.0
2018-02-14,154.09,154.66,152.1671,155.03,151.31,2070119.0,0.0,1.0
2018-02-15,156.15,154.57,154.2014,156.6674,153.86,1688093.0,0.0,1.0
2018-02-16,156.09,156.01,154.1421,157.54,155.49,1899819.0,0.0,1.0
2018-02-20,155.59,155.97,153.6484,157.4,155.53,1514304.0,0.0,1.0
2018-02-21,151.3,155.0,149.4119,155.69,151.28,1648343.0,0.0,1.0
2018-02-22,154.03,152.04,152.1078,155.96,152.04,1602804.0,0.0,1.0
2018-02-23,156.66,154.44,154.705,156.66,153.88,1058257.0,0.0,1.0
2018-02-26,159.07,157.15,157.0849,159.15,156.5,1436152.0,0.0,1.0
2018-02-27,153.93,160.11,152.0091,161.08,153.93,1942251.0,0.0,1.0
2018-02-28,153.51,154.68,151.5943,155.82,153.38,2025394.0,0.0,1.0
2018-03-01,154.94,153.3,153.0065,156.885,152.8901,1655159.0,0.0,1.0
2018-03-02,155.52,154.77,153.5792,155.74,153.12,1566075.0,0.0,1.0
2018-03-05,157.46,154.37,155.495,158.67,154.37,1610266.0,0.0,1.0
2018-03-06,157.63,156.75,155.6629,158.18,156.03,1472017.0,0.0,1.0
2018-03-07,155.92,156.68,153.9742,158.49,155.26,1461896.0,0.0,1.0
2018-03-08,156.28,156.18,154.3298,157.05,155.17,1114694.0,0.0,1.0
2018-03-09,156.57,156.14,154.6161,156.79,154.15,1373403.0,0.0,1.0
2018-03-12,156.74,156.72,154.784,157.8,156.11,2019966.0,0.0,1.0
2018-03-13,157.47,157.13,155.5049,159.27,156.035,1398985.0,0.0,1.0
2018-03-14,158.49,158.26,156.5122,159.32,157.02,2496969.0,0.0,1.0
2018-03-15,156.6,158.52,154.6458,159.165,155.79,1784708.0,0.0,1.0
2018-03-16,157.13,156.5,155.1691,158.05,156.05,2039132.0,0.0,1.0
2018-03-19,155.43,157.31,153.4904,157.31,154.15,1265457.0,0.0,1.0
2018-03-20,154.58,155.69,152.651,156.8,154.19,1299217.0,0.0,1.0
