date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,68.43,64.83,67.6441,68.83,64.32,6007485.0,0.0,1.0
2018-02-07,69.01,67.98,68.2175,70.415,67.85,6347791.0,0.0,1.0
2018-02-08,65.8,69.27,65.0443,69.3,65.78,3848045.0,0.0,1.0
2018-02-09,67.48,66.96,66.705,67.94,64.8,4547486.0,0.0,1.0
2018-02-12,67.59,68.08,66.8138,69.0,67.36,4033104.0,0.0,1.0
2018-02-13,67.92,67.05,67.14,68.02,66.73,2979788.0,0.0,1.0
2018-02-14,70.07,67.79,69.2653,70.29,67.78,3001884.0,0.0,1.0
2018-02-15,70.63,70.66,69.8188,71.05,69.85,2788604.0,0.0,1.0
2018-02-16,71.15,70.17,70.3329,71.26,70.11,3305884.0,0.0,1.0
2018-02-20,71.52,70.83,70.6986,71.75,70.8,4636321.0,0.0,1.0
2018-02-21,71.45,71.56,70.6294,72.62,71.42,3625598.0,0.0,1.0
2018-02-22,70.34,71.87,69.5322,71.9,70.15,2462953.0,0.0,1.0
2018-02-23,71.29,70.51,70.4713,71.34,70.14,1992098.0,0.0,1.0
2018-02-26,72.0,71.78,71.1731,72.07,70.97,1989919.0,0.0,1.0
2018-02-27,70.57,71.78,70.1549,72.51,70.53,2956052.0,0.4,1.0
2018-02-28,69.84,71.16,69.4292,71.61,69.79,3261743.0,0.0,1.0
2018-03-01,69.09,70.03,68.6836,70.32,68.39,3367153.0,0.0,1.0
2018-03-02,69.62,68.67,69.2105,69.84,67.53,2797167.0,0.0,1.0
2018-03-05,70.67,68.9,70.2544,70.91,68.535,2267508.0,0.0,1.0
2018-03-06,71.07,70.85,70.652,71.26,70.07,2109692.0,0.0,1.0
2018-03-07,71.47,70.08,71.0497,71.7,70.08,1829998.0,0.0,1.0
2018-03-08,71.32,71.76,70.9005,71.95,70.38,1684530.0,0.0,1.0
2018-03-09,72.85,71.9,72.4215,72.87,71.54,1838346.0,0.0,1.0
2018-03-12,72.58,72.7,72.1531,73.37,72.39,2541055.0,0.0,1.0
2018-03-13,72.27,73.11,71.8449,73.16,72.03,3137294.0,0.0,1.0
2018-03-14,71.06,72.51,70.6421,72.53,70.695,2874569.0,0.0,1.0
2018-03-15,71.13,71.35,70.7116,71.41,70.5,1721653.0,0.0,1.0
2018-03-16,71.53,71.29,71.1093,72.42,71.0,5197945.0,0.0,1.0
2018-03-19,71.05,71.49,70.6321,71.63,70.15,1952296.0,0.0,1.0
2018-03-20,70.67,71.45,70.2544,71.7617,70.56,1690610.0,0.0,1.0
2018-03-21,70.87,70.92,70.4532,71.65,70.19,1797415.0,0.0,1.0
2018-03-22,68.4,70.1,67.9977,70.42,68.11,3061186.0,0.0,1.0
2018-03-23,65.97,68.58,65.582,68.92,65.8,3319224.0,0.0,1.0
2018-03-26,68.42,67.28,68.0176,68.67,66.81,2812164.0,0.0,1.0
2018-03-27,66.69,68.76,66.2978,69.0,66.13,2597827.0,0.0,1.0
2018-03-28,66.56,66.78,66.1685,67.27,65.82,2773937.0,0.0,1.0
2018-03-29,68.04,67.09,67.6398,68.04,66.49,4288202.0,0.0,1.0
2018-04-02,66.08,67.75,65.6914,67.85,65.14,4464905.0,0.0,1.0
2018-04-03,67.19,66.51,66.7948,67.4149,66.07,3417679.0,0.0,1.0
2018-04-04,68.15,66.04,67.7492,68.32,65.97,3549955.0,0.0,1.0
2018-04-05,68.54,68.6,68.1369,68.95,68.0,2720752.0,0.0,1.0
2018-04-06,65.98,67.75,65.5919,67.775,65.22,3626220.0,0.0,1.0
2018-04-09,67.17,66.8,66.7749,68.86,66.56,5501566.0,0.0,1.0
2018-04-10,68.14,68.58,67.7392,68.61,67.38,4396027.0,0.0,1.0
2018-04-11,67.67,67.33,67.272,68.16,67.14,2597713.0,0.0,1.0
2018-04-12,69.12,68.2,68.7135,69.6,68.13,2974287.0,0.0,1.0
2018-04-13,67.38,69.75,66.9837,69.75,67.18,4136678.0,0.0,1.0
2018-04-16,67.45,67.91,67.0533,68.1,67.03,2879311.0,0.0,1.0
2018-04-17,65.95,67.75,65.5621,67.75,65.58,3635280.0,0.0,1.0
2018-04-18,65.41,66.14,65.0253,66.86,65.38,4374403.0,0.0,1.0
2018-04-19,67.03,65.67,66.6358,67.315,65.65,5394853.0,0.0,1.0
2018-04-20,66.84,66.02,66.4469,67.9,65.79,4853864.0,0.0,1.0
2018-04-23,67.24,66.69,66.8445,67.93,66.65,4112874.0,0.0,1.0
2018-04-24,67.53,67.71,67.1328,69.14,66.89,3560309.0,0.0,1.0
2018-04-25,67.32,67.54,66.9241,67.86,66.6,2675518.0,0.0,1.0
2018-04-26,66.87,67.13,66.4767,67.52,66.56,3042571.0,0.0,1.0
2018-04-27,67.66,66.92,67.2621,67.75,66.65,1936535.0,0.0,1.0
2018-04-30,66.8,67.77,66.4071,68.31,66.79,1942721.0,0.0,1.0
2018-05-01,67.25,66.45,66.8545,67.3,66.0,2175114.0,0.0,1.0
2018-05-02,66.61,67.03,66.2182,67.58,66.49,2210169.0,0.0,1.0
2018-05-03,66.05,66.37,65.6615,66.52,65.08,1800140.0,0.0,1.0
2018-05-04,66.6,65.68,66.2083,67.01,65.1,2126878.0,0.0,1.0
2018-05-07,66.82,66.68,66.427,67.22,66.18,2542931.0,0.0,1.0
2018-05-08,67.25,66.99,66.8545,68.03,66.69,2547123.0,0.0,1.0
2018-05-09,68.55,67.79,68.1468,68.93,67.415,1899609.0,0.0,1.0
2018-05-10,69.34,68.44,68.9322,69.56,68.07,2362571.0,0.0,1.0
2018-05-11,69.24,69.34,68.8328,69.84,69.05,2016128.0,0.0,1.0
2018-05-14,68.93,69.33,68.5246,69.65,68.8,1543844.0,0.0,1.0
2018-05-15,69.28,68.88,68.8725,69.75,68.815,1766603.0,0.0,1.0
2018-05-16,68.91,69.08,68.5047,69.28,68.5,2822341.0,0.0,1.0
2018-05-17,69.38,68.84,68.9719,69.41,68.17,2919901.0,0.0,1.0
2018-05-18,68.65,69.09,68.2462,69.47,68.57,1796271.0,0.0,1.0
2018-05-21,68.75,69.0,68.3456,69.52,68.52,2751058.0,0.0,1.0
2018-05-22,69.59,68.64,69.1807,70.27,68.53,2711012.0,0.0,1.0
2018-05-23,69.33,69.25,68.9222,69.69,68.56,2397787.0,0.0,1.0
2018-05-24,69.23,69.16,68.8228,69.37,67.88,2354533.0,0.0,1.0
2018-05-25,68.96,68.97,68.5544,69.24,68.47,1974419.0,0.0,1.0
2018-05-29,66.27,67.85,65.8802,68.25,65.57,4828862.0,0.0,1.0
2018-05-30,67.61,66.68,67.61,67.67,66.28,4119924.0,0.4,1.0
2018-05-31,67.51,67.1,67.51,68.24,66.81,5636026.0,0.0,1.0
2018-06-01,68.5,68.33,68.5,69.12,68.31,2662454.0,0.0,1.0
2018-06-04,69.14,68.81,69.14,69.29,68.65,2012871.0,0.0,1.0
2018-06-05,69.27,68.88,69.27,69.28,68.59,3374663.0,0.0,1.0
2018-06-06,70.36,69.57,70.36,70.37,69.45,2477296.0,0.0,1.0
2018-06-07,70.33,70.59,70.33,71.06,69.915,1897715.0,0.0,1.0
2018-06-08,70.53,70.09,70.53,70.59,69.79,1770036.0,0.0,1.0
2018-06-11,70.15,70.66,70.15,71.14,70.04,1490816.0,0.0,1.0
2018-06-12,70.13,70.49,70.13,70.725,69.82,2763482.0,0.0,1.0
2018-06-13,69.88,70.3,69.88,70.96,69.57,2522775.0,0.0,1.0
2018-06-14,68.89,70.2,68.89,70.3,68.535,2789065.0,0.0,1.0
2018-06-15,68.81,68.69,68.81,68.99,67.34,5424072.0,0.0,1.0
2018-06-18,68.68,68.27,68.68,69.03,67.94,1711335.0,0.0,1.0
2018-06-19,68.93,67.95,68.93,69.07,67.95,2422693.0,0.0,1.0
2018-06-20,68.58,69.25,68.58,69.5,68.55,1432548.0,0.0,1.0
2018-06-21,68.67,68.49,68.67,68.98,67.79,1873874.0,0.0,1.0
2018-06-22,67.49,69.09,67.49,69.174,67.34,3589062.0,0.0,1.0
2018-06-25,66.64,67.28,66.64,67.35,65.83,3080710.0,0.0,1.0
2018-06-26,66.15,66.72,66.15,66.78,65.56,2565390.0,0.0,1.0
2018-06-27,65.47,66.22,65.47,66.83,65.24,2790658.0,0.0,1.0
2018-06-28,65.71,65.73,65.71,66.08,65.11,2690502.0,0.0,1.0
