date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,161.62,155.53,160.2616,161.99,153.75,1896946.0,0.0,1.0
2018-02-07,159.74,161.66,158.3974,163.0332,159.65,1302334.0,0.0,1.0
2018-02-08,152.86,159.5,151.5752,159.77,152.7,1863511.0,0.0,1.0
2018-02-09,154.23,154.45,152.9337,155.45,149.37,2029556.0,0.0,1.0
2018-02-12,158.04,155.13,156.7117,159.24,154.7,1251860.0,0.0,1.0
2018-02-13,157.07,157.33,155.7498,157.93,156.14,914625.0,0.0,1.0
2018-02-14,159.27,156.31,157.9314,159.58,155.92,1129199.0,0.0,1.0
2018-02-15,160.13,160.78,158.7841,160.9,159.09,948544.0,0.0,1.0
2018-02-16,159.77,159.95,158.4272,161.35,159.25,1084730.0,0.0,1.0
2018-02-20,159.21,158.91,157.8719,160.23,158.485,913612.0,0.0,1.0
2018-02-21,160.34,158.93,158.9924,162.73,158.93,1144906.0,0.0,1.0
2018-02-22,159.75,160.84,158.4073,162.03,159.29,648927.0,0.0,1.0
2018-02-23,160.94,160.73,159.5873,161.04,158.81,887158.0,0.0,1.0
2018-02-26,163.0,160.85,161.63,163.43,160.85,876139.0,0.0,1.0
2018-02-27,161.65,162.92,160.2913,164.94,161.635,957533.0,0.0,1.0
2018-02-28,159.19,162.85,157.852,162.85,159.06,1110784.0,0.0,1.0
2018-03-01,152.95,159.03,151.6645,160.19,152.81,1881745.0,0.0,1.0
2018-03-02,152.56,151.86,151.2778,153.27,149.75,1540566.0,0.0,1.0
2018-03-05,152.22,151.44,150.9406,152.98,149.94,1868775.0,0.0,1.0
2018-03-06,153.49,152.93,152.1999,153.98,151.5,1711066.0,0.0,1.0
2018-03-07,156.63,151.96,155.3135,157.56,150.961,1785392.0,0.0,1.0
2018-03-08,156.92,156.65,156.2258,157.471,155.61,893422.0,0.63,1.0
2018-03-09,159.98,157.75,159.2723,160.51,157.37,1588896.0,0.0,1.0
2018-03-12,157.82,160.35,157.1218,160.35,157.29,934713.0,0.0,1.0
2018-03-13,156.63,157.89,155.9371,159.185,156.09,1039882.0,0.0,1.0
2018-03-14,156.81,157.91,156.1163,159.15,156.05,962560.0,0.0,1.0
2018-03-15,157.81,157.24,157.1119,158.24,156.51,771704.0,0.0,1.0
