date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,37.67,36.05,37.4976,37.84,35.45,9225156.0,0.0,1.0
2018-02-07,37.5,37.44,37.3284,38.19,37.3,7981903.0,0.0,1.0
2018-02-08,34.98,37.5,34.8199,37.55,34.97,9221530.0,0.0,1.0
2018-02-09,35.03,35.35,34.8697,35.86,33.605,11760279.0,0.0,1.0
2018-02-12,36.24,35.35,36.0742,36.485,35.24,6985281.0,0.0,1.0
2018-02-13,36.01,35.92,35.8452,36.14,35.52,4429238.0,0.0,1.0
2018-02-14,36.7,35.81,36.5321,36.72,35.535,6961300.0,0.0,1.0
2018-02-15,36.84,37.04,36.6714,37.135,36.31,5207414.0,0.0,1.0
2018-02-16,36.73,36.74,36.5619,37.18,36.61,4219480.0,0.0,1.0
2018-02-20,36.56,36.63,36.3927,36.91,36.36,4168722.0,0.0,1.0
2018-02-21,36.57,36.61,36.4027,37.405,36.5,4423174.0,0.0,1.0
2018-02-22,36.33,36.77,36.1638,36.91,36.24,7870225.0,0.0,1.0
2018-02-23,37.15,36.54,36.98,37.16,36.43,3071671.0,0.0,1.0
2018-02-26,37.39,37.27,37.2189,37.4,36.79,5168574.0,0.0,1.0
2018-02-27,36.81,37.39,36.6416,38.07,36.8,6409740.0,0.0,1.0
2018-02-28,36.39,37.17,36.2235,37.53,36.38,4657223.0,0.0,1.0
2018-03-01,35.85,36.5,35.686,36.98,35.72,7483001.0,0.0,1.0
2018-03-02,35.93,35.56,35.7656,36.0099,34.7,5433802.0,0.0,1.0
2018-03-05,36.23,35.7,36.0642,36.38,35.425,6491297.0,0.0,1.0
2018-03-06,36.2,36.34,36.0344,36.54,35.615,4312701.0,0.0,1.0
2018-03-07,36.3,35.81,36.1339,36.39,35.71,4320827.0,0.0,1.0
2018-03-08,36.84,36.5,36.6714,36.91,36.1,4071721.0,0.0,1.0
2018-03-09,37.28,37.18,37.1094,37.29,36.59,5108740.0,0.0,1.0
2018-03-12,36.98,37.2,36.8108,37.57,36.81,3942776.0,0.0,1.0
2018-03-13,36.68,37.32,36.5122,37.32,36.6,5404192.0,0.0,1.0
2018-03-14,36.1,36.98,35.9348,37.235,35.995,4225232.0,0.0,1.0
2018-03-15,34.67,36.0,34.5114,36.15,34.49,11288289.0,0.0,1.0
2018-03-16,35.2,34.83,35.0389,35.52,34.69,13016420.0,0.0,1.0
2018-03-19,35.26,35.02,35.0987,35.47,34.885,6698590.0,0.0,1.0
2018-03-20,35.4,35.41,35.238,35.675,35.3,4717270.0,0.0,1.0
2018-03-21,35.3,35.35,35.1385,35.86,35.3,4220327.0,0.0,1.0
2018-03-22,33.73,34.77,33.5757,35.12,33.68,5509790.0,0.0,1.0
2018-03-23,32.51,33.87,32.3612,34.0,32.47,7592276.0,0.0,1.0
2018-03-26,33.3,33.05,33.1476,33.415,32.61,8624412.0,0.0,1.0
2018-03-27,32.67,33.46,32.5205,33.73,32.4,5538627.0,0.0,1.0
2018-03-28,33.11,32.36,32.9585,33.71,32.36,8187002.0,0.0,1.0
2018-03-29,33.53,33.22,33.3766,33.67,32.86,5954091.0,0.0,1.0
2018-04-02,32.66,33.43,32.5105,33.7,32.22,6253009.0,0.0,1.0
2018-04-03,33.43,32.91,33.277,33.515,32.84,5184716.0,0.0,1.0
2018-04-04,33.91,32.63,33.7548,34.0,32.63,4956139.0,0.0,1.0
2018-04-05,34.8,34.21,34.6408,35.34,34.14,8173150.0,0.0,1.0
2018-04-06,33.81,34.3,33.6553,34.455,33.39,4349842.0,0.0,1.0
2018-04-09,33.86,34.16,33.7051,34.72,33.81,3661659.0,0.0,1.0
2018-04-10,34.46,34.41,34.3023,34.555,34.07,4302014.0,0.0,1.0
2018-04-11,34.24,34.07,34.0833,34.65,33.98,4217399.0,0.0,1.0
2018-04-12,34.83,34.59,34.6706,35.08,34.54,4300886.0,0.0,1.0
2018-04-13,34.07,35.16,33.9141,35.29,33.92,5729227.0,0.0,1.0
2018-04-16,34.47,34.45,34.3123,34.65,34.12,4856971.0,0.0,1.0
2018-04-17,34.57,34.83,34.4118,35.06,34.47,5485272.0,0.0,1.0
2018-04-18,34.89,34.76,34.7303,35.24,34.69,3345926.0,0.0,1.0
2018-04-19,35.35,34.94,35.1882,35.59,34.94,5196836.0,0.0,1.0
2018-04-20,35.2,35.71,35.0389,36.21,34.86,10287130.0,0.0,1.0
2018-04-23,34.73,35.31,34.5711,35.44,34.55,5856223.0,0.0,1.0
2018-04-24,34.35,35.09,34.1928,35.24,34.105,7072184.0,0.0,1.0
2018-04-25,33.29,34.16,33.1377,34.24,33.165,9538538.0,0.0,1.0
2018-04-26,33.3,33.31,33.1476,33.53,33.12,5990821.0,0.0,1.0
2018-04-27,33.11,33.3,32.9585,33.44,33.005,4503516.0,0.0,1.0
2018-04-30,33.17,33.27,33.0182,33.585,33.16,3980059.0,0.0,1.0
2018-05-01,33.08,33.08,32.9286,33.15,32.72,4804545.0,0.0,1.0
2018-05-02,32.93,32.99,32.7793,33.41,32.83,6385956.0,0.0,1.0
2018-05-03,32.13,32.8,31.983,32.81,31.84,5763410.0,0.0,1.0
2018-05-04,32.63,31.87,32.63,32.75,31.74,4741022.0,0.15,1.0
2018-05-07,32.72,32.7,32.72,32.8501,32.48,4973426.0,0.0,1.0
2018-05-08,33.08,32.83,33.08,33.35,32.78,6296760.0,0.0,1.0
2018-05-09,33.73,33.26,33.73,33.84,33.11,3983025.0,0.0,1.0
2018-05-10,33.9,33.73,33.9,34.1156,33.6,3155247.0,0.0,1.0
2018-05-11,34.11,33.9,34.11,34.43,33.9,3282658.0,0.0,1.0
2018-05-14,33.94,34.29,33.94,34.29,33.88,2471664.0,0.0,1.0
2018-05-15,34.21,33.65,34.21,34.525,33.65,3675842.0,0.0,1.0
2018-05-16,34.59,34.3,34.59,34.76,34.08,3065869.0,0.0,1.0
2018-05-17,34.93,34.58,34.93,35.0,34.47,3690599.0,0.0,1.0
2018-05-18,35.44,34.93,35.44,35.6298,34.9,7236704.0,0.0,1.0
2018-05-21,35.72,35.6,35.72,35.955,35.52,5835561.0,0.0,1.0
2018-05-22,36.11,35.7,36.11,36.32,35.7,4909759.0,0.0,1.0
2018-05-23,36.12,35.77,36.12,36.12,35.4239,5063382.0,0.0,1.0
2018-05-24,35.9,35.99,35.9,36.25,35.08,5140936.0,0.0,1.0
2018-05-25,35.61,35.82,35.61,35.82,35.42,3982533.0,0.0,1.0
2018-05-29,34.47,35.17,34.47,35.26,34.185,6116276.0,0.0,1.0
2018-05-30,35.02,34.85,35.02,35.19,34.665,4759872.0,0.0,1.0
2018-05-31,34.63,34.85,34.63,35.0,34.41,5582906.0,0.0,1.0
2018-06-01,35.04,35.16,35.04,35.3,34.79,2911528.0,0.0,1.0
2018-06-04,35.45,35.19,35.45,35.5,35.12,1941816.0,0.0,1.0
2018-06-05,35.0,35.37,35.0,35.45,34.89,4116276.0,0.0,1.0
2018-06-06,35.58,35.1,35.58,35.58,34.99,4222142.0,0.0,1.0
2018-06-07,35.55,35.65,35.55,36.075,35.28,4058105.0,0.0,1.0
2018-06-08,35.45,35.54,35.45,35.57,35.19,4143003.0,0.0,1.0
2018-06-11,35.26,35.51,35.26,35.72,35.15,3265799.0,0.0,1.0
2018-06-12,35.3,35.45,35.3,35.56,35.09,2538763.0,0.0,1.0
2018-06-13,34.94,35.43,34.94,35.55,34.92,3281475.0,0.0,1.0
2018-06-14,35.26,35.06,35.26,35.38,34.905,3391212.0,0.0,1.0
2018-06-15,35.22,35.07,35.22,35.43,34.7,5265085.0,0.0,1.0
2018-06-18,35.0,35.0,35.0,35.16,34.82,4166360.0,0.0,1.0
2018-06-19,34.81,34.63,34.81,34.89,34.455,3130100.0,0.0,1.0
2018-06-20,34.51,35.03,34.51,35.04,34.48,3426687.0,0.0,1.0
2018-06-21,34.22,34.4,34.22,34.69,33.85,4518054.0,0.0,1.0
2018-06-22,34.13,34.54,34.13,34.5954,34.07,8176428.0,0.0,1.0
2018-06-25,33.82,34.05,33.82,34.17,33.5,4580060.0,0.0,1.0
2018-06-26,33.47,33.83,33.47,33.91,33.37,4161196.0,0.0,1.0
2018-06-27,33.0,33.43,33.0,33.82,33.0,3674328.0,0.0,1.0
2018-06-28,33.01,32.97,33.01,33.15,32.55,4453638.0,0.0,1.0
