date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,59.64,56.42,59.2861,59.9666,56.01,4516057.0,0.0,1.0
2018-02-07,58.43,59.42,58.0833,60.01,58.4,3545206.0,0.0,1.0
2018-02-08,57.0,58.63,56.6618,58.65,56.96,3943122.0,0.0,1.0
2018-02-09,58.33,57.57,57.9839,58.79,56.77,3093744.0,0.0,1.0
2018-02-12,58.13,58.74,57.7851,59.105,58.03,3786868.0,0.0,1.0
2018-02-13,58.42,58.04,58.0734,58.56,57.92,2041154.0,0.0,1.0
2018-02-14,58.35,58.27,58.0038,58.51,58.01,2549283.0,0.0,1.0
2018-02-15,59.37,58.57,59.0177,59.37,58.15,2078545.0,0.0,1.0
2018-02-16,60.0,59.25,59.644,60.25,59.08,2118491.0,0.0,1.0
2018-02-20,58.88,59.47,58.5306,59.5,58.72,2463090.0,0.0,1.0
2018-02-21,58.55,58.94,58.2026,59.55,58.55,1780095.0,0.0,1.0
2018-02-22,58.86,58.86,58.5107,59.34,58.76,1542098.0,0.0,1.0
2018-02-23,59.68,58.94,59.3259,59.68,58.86,1299502.0,0.0,1.0
2018-02-26,60.28,59.79,59.9223,60.29,59.73,1823520.0,0.0,1.0
2018-02-27,59.85,60.28,59.4949,60.97,59.85,2165010.0,0.0,1.0
2018-02-28,59.65,60.05,59.2961,60.7,59.64,2632328.0,0.0,1.0
2018-03-01,59.46,59.59,59.1072,60.371,59.12,3147960.0,0.0,1.0
2018-03-02,59.66,59.27,59.306,59.97,59.27,2380347.0,0.0,1.0
2018-03-05,60.04,59.56,59.6837,60.16,59.09,2553468.0,0.0,1.0
2018-03-06,60.87,60.04,60.5088,60.88,59.89,2136480.0,0.0,1.0
2018-03-07,60.13,60.27,59.7732,60.41,59.93,2315141.0,0.0,1.0
2018-03-08,60.48,60.24,60.1211,60.485,60.09,2441186.0,0.0,1.0
2018-03-09,61.28,60.69,60.9164,61.29,60.475,1562409.0,0.0,1.0
2018-03-12,60.52,61.39,60.1609,61.44,60.42,1813209.0,0.0,1.0
2018-03-13,60.7,60.8,60.3398,61.24,60.58,1469862.0,0.0,1.0
2018-03-14,59.88,60.63,59.5247,60.7299,59.71,6076902.0,0.0,1.0
2018-03-15,59.38,59.8,59.0277,59.89,59.18,3007353.0,0.0,1.0
2018-03-16,60.12,59.53,59.7633,60.43,59.42,4423439.0,0.0,1.0
2018-03-19,60.18,60.11,59.8229,60.31,59.92,4150648.0,0.0,1.0
2018-03-20,60.43,60.38,60.0714,60.5,60.2,2989930.0,0.0,1.0
2018-03-21,60.3,60.41,59.9422,60.63,60.12,4318343.0,0.0,1.0
2018-03-22,59.77,60.24,59.4153,60.31,59.595,8576400.0,0.0,1.0
2018-03-23,59.32,59.88,58.968,60.14,59.22,3790213.0,0.0,1.0
2018-03-26,59.96,59.89,59.6042,60.06,59.18,2893345.0,0.0,1.0
2018-03-27,59.36,60.2,59.0078,60.2,58.97,3901888.0,0.0,1.0
2018-03-28,59.37,59.32,59.0177,59.74,59.22,3276474.0,0.0,1.0
2018-03-29,59.96,59.54,59.6042,60.2,59.49,2374873.0,0.0,1.0
2018-04-02,58.36,59.88,58.0137,59.93,58.12,3255291.0,0.0,1.0
2018-04-03,59.44,58.56,59.0873,59.52,58.5,2361996.0,0.0,1.0
2018-04-04,61.21,59.06,60.8468,61.47,59.06,3631537.0,0.0,1.0
2018-04-05,60.31,61.04,60.31,61.26,60.14,3912010.0,0.36,1.0
2018-04-06,59.72,60.05,59.72,60.85,59.43,3295671.0,0.0,1.0
2018-04-09,59.85,59.95,59.85,60.37,59.26,3052234.0,0.0,1.0
2018-04-10,60.62,60.4,60.62,60.93,59.9741,3382192.0,0.0,1.0
2018-04-11,60.52,60.39,60.52,60.96,60.26,1757144.0,0.0,1.0
2018-04-12,60.51,60.8,60.51,61.01,60.3,1686880.0,0.0,1.0
2018-04-13,60.42,60.48,60.42,60.63,60.19,2458458.0,0.0,1.0
2018-04-16,61.26,60.62,61.26,61.315,60.57,2821273.0,0.0,1.0
2018-04-17,62.5,61.65,62.5,62.6,61.32,2733315.0,0.0,1.0
2018-04-18,61.85,62.81,61.85,63.04,61.77,2654056.0,0.0,1.0
2018-04-19,61.58,61.66,61.58,61.875,61.0701,2389690.0,0.0,1.0
2018-04-20,61.15,61.7,61.15,61.8,60.73,2640271.0,0.0,1.0
2018-04-23,61.34,61.3,61.34,61.6,61.1,1389549.0,0.0,1.0
2018-04-24,61.93,61.57,61.93,62.25,61.43,1941070.0,0.0,1.0
2018-04-25,62.45,61.81,62.45,62.65,61.61,2146211.0,0.0,1.0
2018-04-26,62.95,62.62,62.95,63.33,62.1284,2060846.0,0.0,1.0
2018-04-27,63.38,63.0,63.38,63.45,62.75,1469840.0,0.0,1.0
2018-04-30,62.54,63.53,62.54,63.68,62.32,2942254.0,0.0,1.0
2018-05-01,63.09,62.53,63.09,63.46,62.24,4113608.0,0.0,1.0
2018-05-02,62.81,62.88,62.81,63.24,62.15,4189244.0,0.0,1.0
2018-05-03,62.18,62.68,62.18,62.73,61.72,4349634.0,0.0,1.0
2018-05-04,62.29,61.95,62.29,62.83,61.77,9179346.0,0.0,1.0
2018-05-07,63.48,62.63,63.48,64.77,61.35,5174655.0,0.0,1.0
2018-05-08,62.74,63.13,62.74,63.45,62.36,4543685.0,0.0,1.0
2018-05-09,63.5,62.79,63.5,63.61,62.71,3301374.0,0.0,1.0
2018-05-10,62.74,63.8,62.74,63.87,62.65,2196138.0,0.0,1.0
2018-05-11,62.82,62.72,62.82,63.18,62.57,2490753.0,0.0,1.0
2018-05-14,62.9,63.03,62.9,63.125,62.65,2274576.0,0.0,1.0
2018-05-15,62.95,62.65,62.95,63.21,62.52,2985033.0,0.0,1.0
2018-05-16,63.35,63.05,63.35,63.41,62.97,2520268.0,0.0,1.0
2018-05-17,63.86,63.48,63.86,63.98,63.24,1911944.0,0.0,1.0
2018-05-18,63.54,63.96,63.54,64.0,63.42,2178195.0,0.0,1.0
2018-05-21,63.64,63.72,63.64,64.07,63.56,1418354.0,0.0,1.0
2018-05-22,63.69,63.77,63.69,64.1,63.61,1799271.0,0.0,1.0
2018-05-23,64.1,63.54,64.1,64.14,63.5,1496425.0,0.0,1.0
2018-05-24,64.59,64.11,64.59,64.67,63.89,1472218.0,0.0,1.0
2018-05-25,65.02,64.62,65.02,65.4,64.52,1934003.0,0.0,1.0
2018-05-29,65.15,64.91,65.15,65.22,64.74,1978015.0,0.0,1.0
