date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,77.98,76.98,77.0612,78.4797,76.76,2207008.0,0.0,1.0
2018-02-07,76.16,77.61,75.2626,78.21,75.79,2520015.0,0.0,1.0
2018-02-08,74.51,76.79,73.6321,76.89,74.5,2518932.0,0.0,1.0
2018-02-09,74.21,74.84,73.3356,75.27,72.71,2401639.0,0.0,1.0
2018-02-12,75.77,75.53,74.8772,76.68,75.16,1979137.0,0.0,1.0
2018-02-13,75.7,75.62,74.808,76.09,74.11,1669344.0,0.0,1.0
2018-02-14,80.45,77.25,79.5021,80.69,77.0,3885387.0,0.0,1.0
2018-02-15,81.74,80.49,80.7769,81.86,79.15,2083185.0,0.0,1.0
2018-02-16,81.47,81.71,80.5101,82.29,80.89,1704019.0,0.0,1.0
2018-02-20,79.75,81.06,78.8103,81.27,79.71,1672217.0,0.0,1.0
2018-02-21,78.75,79.64,77.8221,80.36,78.72,1793507.0,0.0,1.0
2018-02-22,78.45,78.95,77.5256,79.74,78.0,2029305.0,0.0,1.0
2018-02-23,78.66,78.64,77.7332,78.97,77.46,1345152.0,0.0,1.0
2018-02-26,77.93,78.78,77.0118,79.48,76.73,1637331.0,0.0,1.0
2018-02-27,76.58,77.78,75.6777,78.165,76.57,1297336.0,0.0,1.0
2018-02-28,76.25,77.02,75.3516,77.07,75.97,1893142.0,0.0,1.0
2018-03-01,76.84,76.55,75.9346,77.52,75.8575,2203112.0,0.0,1.0
2018-03-02,78.34,76.62,77.8221,78.4,76.311,1982352.0,0.41,1.0
2018-03-05,78.03,78.09,77.5142,78.56,76.88,2339387.0,0.0,1.0
2018-03-06,78.79,78.34,78.2691,78.91,77.82,1931208.0,0.0,1.0
2018-03-07,78.26,78.01,77.7426,78.46,77.74,1151147.0,0.0,1.0
2018-03-08,80.55,78.69,80.0175,80.69,78.54,2060620.0,0.0,1.0
2018-03-09,81.09,80.76,80.5539,81.14,80.31,1658607.0,0.0,1.0
2018-03-12,80.96,81.25,80.4248,81.96,80.57,1534799.0,0.0,1.0
2018-03-13,80.46,81.41,79.9281,81.41,80.28,1470872.0,0.0,1.0
2018-03-14,81.1,80.81,80.5639,81.22,80.31,1546542.0,0.0,1.0
2018-03-15,81.41,80.9,80.8718,81.5,80.9,1884260.0,0.0,1.0
2018-03-16,80.19,81.68,79.6599,81.78,79.13,3304320.0,0.0,1.0
2018-03-19,79.47,79.98,78.9446,80.27,79.105,1502153.0,0.0,1.0
2018-03-20,76.88,79.59,76.3718,79.83,76.8,2524598.0,0.0,1.0
2018-03-21,76.05,76.86,75.5473,77.06,75.8,1949857.0,0.0,1.0
2018-03-22,74.39,75.56,73.8982,76.0899,74.17,2618994.0,0.0,1.0
2018-03-23,72.16,74.58,71.683,74.58,72.07,3130090.0,0.0,1.0
2018-03-26,73.91,73.0,73.4214,74.25,72.53,2568672.0,0.0,1.0
2018-03-27,74.23,74.03,73.7393,75.05,73.35,1850626.0,0.0,1.0
2018-03-28,75.41,74.63,74.9115,76.53,74.4,2369615.0,0.0,1.0
2018-03-29,75.33,76.1,74.832,76.45,75.31,1385230.0,0.0,1.0
2018-04-02,73.09,75.31,72.6068,75.46,72.92,1612955.0,0.0,1.0
2018-04-03,73.64,73.18,73.1532,74.1,72.63,2390878.0,0.0,1.0
2018-04-04,74.1,72.81,73.6101,74.34,72.3,3532171.0,0.0,1.0
2018-04-05,73.88,74.57,73.3916,74.72,73.73,2112084.0,0.0,1.0
2018-04-06,73.16,73.5,72.6764,74.5275,72.77,2270739.0,0.0,1.0
2018-04-09,73.18,73.32,72.6962,74.23,72.78,1416017.0,0.0,1.0
2018-04-10,73.99,73.59,73.5009,74.12,73.17,1142679.0,0.0,1.0
