date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,72.71,69.54,71.49,73.06,68.39,8010336.0,0.0,1.0
2018-02-07,73.25,72.53,72.0209,74.145,72.34,6518360.0,0.0,1.0
2018-02-08,71.11,73.51,69.9168,73.89,71.07,5645472.0,0.0,1.0
2018-02-09,72.45,71.81,71.2343,72.97,68.91,7687934.0,0.0,1.0
2018-02-12,71.88,73.13,70.6739,73.23,71.53,4583263.0,0.0,1.0
2018-02-13,73.88,71.86,72.6404,73.95,71.675,4339409.0,0.0,1.0
2018-02-14,75.35,74.29,74.0857,76.62,74.06,7331469.0,0.0,1.0
2018-02-15,76.04,75.72,74.7641,76.21,75.12,3416983.0,0.0,1.0
2018-02-16,75.7,76.14,74.4298,76.81,75.31,4251093.0,0.0,1.0
2018-02-20,72.86,72.84,72.2471,73.84,71.68,7049415.0,0.62,1.0
2018-02-21,72.96,73.22,72.3462,74.68,72.92,8609365.0,0.0,1.0
2018-02-22,75.03,73.49,74.3988,75.96,73.47,6900925.0,0.0,1.0
2018-02-23,75.41,75.52,74.7756,76.3,74.29,5404951.0,0.0,1.0
2018-02-26,76.9,76.25,76.2531,76.99,75.18,5754084.0,0.0,1.0
2018-02-27,75.57,77.74,74.9343,78.43,75.27,6175891.0,0.0,1.0
2018-02-28,75.41,76.06,74.7756,76.68,75.41,5440621.0,0.0,1.0
2018-03-01,74.13,75.51,73.5064,75.55,73.0,7084406.0,0.0,1.0
2018-03-02,75.15,73.63,74.5178,75.48,73.3,4956236.0,0.0,1.0
2018-03-05,75.14,74.77,74.5079,75.75,73.9475,7654766.0,0.0,1.0
2018-03-06,71.79,74.25,71.1861,74.64,69.94,20019672.0,0.0,1.0
2018-03-07,71.43,71.06,70.8291,72.14,70.58,7684566.0,0.0,1.0
2018-03-08,69.75,71.43,69.1632,71.58,69.15,7868637.0,0.0,1.0
2018-03-09,70.49,70.38,69.897,70.82,69.33,6627315.0,0.0,1.0
2018-03-12,70.67,70.05,70.0755,70.99,69.81,3642467.0,0.0,1.0
2018-03-13,71.17,71.0,70.5713,72.1,70.88,4467934.0,0.0,1.0
2018-03-14,70.65,71.44,70.0557,71.72,70.38,4660258.0,0.0,1.0
2018-03-15,70.63,71.28,70.0358,71.5,70.28,5635445.0,0.0,1.0
2018-03-16,70.99,70.55,70.3928,71.43,70.41,7194014.0,0.0,1.0
2018-03-19,70.34,70.92,69.7483,71.32,70.11,3163004.0,0.0,1.0
2018-03-20,71.56,70.6,70.958,71.77,70.51,4930709.0,0.0,1.0
