date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,83.42,81.99,83.2579,84.09,81.6,1343009.0,0.0,1.0
2018-02-07,83.28,83.06,83.1182,84.44,82.71,954067.0,0.0,1.0
2018-02-08,80.52,83.28,80.3636,84.02,80.43,994359.0,0.0,1.0
2018-02-09,82.64,81.55,82.4795,83.12,81.04,1214850.0,0.0,1.0
2018-02-12,83.53,83.26,83.3677,84.31,82.32,962638.0,0.0,1.0
2018-02-13,84.04,82.84,83.8767,84.33,82.71,619199.0,0.0,1.0
2018-02-14,86.3,83.71,86.1323,86.36,83.63,771720.0,0.0,1.0
2018-02-15,86.12,86.91,85.9527,86.95,85.64,518399.0,0.0,1.0
2018-02-16,86.65,85.8,86.4817,87.01,85.76,694474.0,0.0,1.0
2018-02-20,86.38,86.58,86.2122,87.16,86.05,600269.0,0.0,1.0
2018-02-21,86.17,86.2,86.0026,87.55,86.06,565098.0,0.0,1.0
2018-02-22,85.64,86.5,85.4736,86.925,85.58,619768.0,0.0,1.0
2018-02-23,86.51,85.86,86.3419,86.55,85.68,320850.0,0.0,1.0
2018-02-26,87.6,86.79,87.4298,87.62,86.35,428085.0,0.0,1.0
2018-02-27,86.99,87.5,86.821,88.16,86.99,489744.0,0.0,1.0
2018-02-28,85.37,87.41,85.2042,87.6,85.34,505117.0,0.0,1.0
2018-03-01,83.17,85.45,83.0084,85.61,82.74,816430.0,0.0,1.0
2018-03-02,82.96,82.35,82.7988,83.18,81.56,832715.0,0.0,1.0
2018-03-05,84.11,82.39,83.9466,84.61,82.15,794142.0,0.0,1.0
2018-03-06,84.72,84.22,84.5554,84.85,83.63,784425.0,0.0,1.0
2018-03-07,84.84,83.91,84.6752,85.08,83.78,504201.0,0.0,1.0
2018-03-08,85.62,85.13,85.4537,85.66,84.0525,570387.0,0.0,1.0
2018-03-09,87.34,86.06,87.1703,87.4,85.9,572804.0,0.0,1.0
2018-03-12,87.02,87.15,86.8509,87.74,86.71,528684.0,0.0,1.0
2018-03-13,86.38,87.53,86.2122,87.53,86.07,624024.0,0.0,1.0
2018-03-14,85.24,86.84,85.0744,86.84,85.06,488746.0,0.0,1.0
2018-03-15,85.54,85.42,85.3738,85.78,85.14,555832.0,0.0,1.0
2018-03-16,85.59,85.47,85.4237,85.98,85.2,1335753.0,0.0,1.0
2018-03-19,85.44,85.66,85.274,85.66,84.55,701739.0,0.0,1.0
2018-03-20,86.03,85.85,85.8629,86.32,85.56,473122.0,0.0,1.0
2018-03-21,86.06,86.17,85.8928,86.92,85.92,634757.0,0.0,1.0
2018-03-22,83.83,85.05,83.6671,85.65,83.715,530579.0,0.0,1.0
2018-03-23,80.91,84.11,80.7528,84.23,80.78,533587.0,0.0,1.0
2018-03-26,84.12,82.37,83.9566,84.29,82.11,805934.0,0.0,1.0
2018-03-27,83.17,84.66,83.0084,84.66,82.76,670674.0,0.0,1.0
2018-03-28,83.7,83.41,83.5374,84.12,82.67,653050.0,0.0,1.0
2018-03-29,84.17,84.16,84.0065,84.88,83.83,627987.0,0.0,1.0
2018-04-02,82.2,84.2,82.2,84.26,81.19,600628.0,0.16,1.0
2018-04-03,83.58,82.83,83.58,83.77,82.26,708351.0,0.0,1.0
2018-04-04,84.59,82.39,84.59,84.82,82.39,1224229.0,0.0,1.0
2018-04-05,84.96,85.06,84.96,85.46,84.42,822289.0,0.0,1.0
2018-04-06,82.98,84.13,82.98,84.64,82.18,782615.0,0.0,1.0
2018-04-09,83.15,83.52,83.15,84.56,83.07,392863.0,0.0,1.0
2018-04-10,84.17,84.25,84.17,84.89,83.84,518854.0,0.0,1.0
2018-04-11,83.42,83.34,83.42,83.87,82.995,482571.0,0.0,1.0
2018-04-12,84.23,83.91,84.23,84.5,83.68,441359.0,0.0,1.0
2018-04-13,84.34,84.88,84.34,84.97,83.94,660424.0,0.0,1.0
2018-04-16,85.09,84.98,85.09,85.62,84.76,631988.0,0.0,1.0
2018-04-17,85.36,85.69,85.36,86.1,84.86,684662.0,0.0,1.0
2018-04-18,85.71,85.69,85.71,86.17,85.23,557629.0,0.0,1.0
2018-04-19,87.22,87.05,87.22,87.7,86.13,658006.0,0.0,1.0
2018-04-20,87.18,87.22,87.18,87.975,86.67,792054.0,0.0,1.0
2018-04-23,86.89,87.5,86.89,87.92,86.62,531186.0,0.0,1.0
2018-04-24,86.12,87.21,86.12,87.54,85.59,822970.0,0.0,1.0
2018-04-25,86.47,86.17,86.47,86.96,85.555,433398.0,0.0,1.0
2018-04-26,86.77,86.48,86.77,87.24,86.08,386607.0,0.0,1.0
2018-04-27,87.52,86.53,87.52,87.67,86.39,368480.0,0.0,1.0
2018-04-30,86.74,87.78,86.74,88.25,86.74,447786.0,0.0,1.0
2018-05-01,86.68,86.48,86.68,86.77,85.9,292447.0,0.0,1.0
2018-05-02,84.87,86.24,84.87,86.24,84.74,632277.0,0.0,1.0
2018-05-03,84.09,84.41,84.09,84.81,83.02,517998.0,0.0,1.0
2018-05-04,85.46,83.64,85.46,85.93,83.365,340184.0,0.0,1.0
2018-05-07,85.44,85.55,85.44,85.8,84.99,438843.0,0.0,1.0
2018-05-08,85.04,85.4,85.04,86.01,84.78,453188.0,0.0,1.0
2018-05-09,85.02,85.35,85.02,85.43,84.49,412676.0,0.0,1.0
2018-05-10,85.38,85.02,85.38,85.53,84.58,337300.0,0.0,1.0
2018-05-11,85.52,85.47,85.52,86.17,85.33,242231.0,0.0,1.0
2018-05-14,84.75,85.61,84.75,85.74,84.6,368562.0,0.0,1.0
2018-05-15,84.89,84.59,84.89,85.25,84.405,511538.0,0.0,1.0
2018-05-16,85.3,84.72,85.3,85.68,84.72,398969.0,0.0,1.0
2018-05-17,85.67,85.26,85.67,85.91,85.0,327002.0,0.0,1.0
2018-05-18,85.64,85.63,85.64,85.98,85.395,799959.0,0.0,1.0
2018-05-21,86.58,85.92,86.58,86.74,85.82,516971.0,0.0,1.0
2018-05-22,86.99,86.6,86.99,87.27,86.47,347733.0,0.0,1.0
2018-05-23,86.58,86.65,86.58,86.72,86.235,412485.0,0.0,1.0
2018-05-24,86.21,86.27,86.21,86.51,85.5,431018.0,0.0,1.0
2018-05-25,85.71,85.96,85.71,86.5,85.3901,328414.0,0.0,1.0
2018-05-29,83.13,84.53,83.13,84.85,82.59,678379.0,0.0,1.0
2018-05-30,85.1,83.99,85.1,85.445,83.84,718048.0,0.0,1.0
2018-05-31,84.83,84.89,84.83,85.31,84.13,627794.0,0.0,1.0
2018-06-01,85.78,85.87,85.78,86.63,85.78,506904.0,0.0,1.0
