date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,209.48,205.0,209.1491,211.1,201.62,2404759.0,0.0,1.0
2018-02-07,207.55,208.34,207.2222,211.2,206.13,1618891.0,0.0,1.0
2018-02-08,198.73,207.32,198.4161,209.99,198.69,2188632.0,0.0,1.0
2018-02-09,200.18,200.54,199.8638,202.39,194.51,2066020.0,0.0,1.0
2018-02-12,204.51,202.0,204.187,206.13,201.52,1409461.0,0.0,1.0
2018-02-13,203.5,203.51,203.1786,204.47,200.86,1216848.0,0.0,1.0
2018-02-14,208.31,201.86,207.981,208.81,201.72,1402830.0,0.0,1.0
2018-02-15,210.72,210.34,210.3872,210.75,206.62,1074412.0,0.0,1.0
2018-02-16,210.61,210.26,210.2773,212.69,209.35,876261.0,0.0,1.0
2018-02-20,207.84,208.9,207.5117,210.95,207.3,1107614.0,0.0,1.0
2018-02-21,209.79,208.3,209.4586,213.64,208.3,1019009.0,0.0,1.0
2018-02-22,209.13,210.8,208.7997,213.63,208.7,1227018.0,0.0,1.0
2018-02-23,211.71,209.97,211.3756,211.84,208.395,810929.0,0.0,1.0
2018-02-26,214.07,212.18,213.7319,214.2063,211.2101,948076.0,0.0,1.0
2018-02-27,210.68,213.92,210.3472,214.87,210.46,1059043.0,0.0,1.0
2018-02-28,208.58,211.41,208.2505,213.48,208.5,947260.0,0.0,1.0
2018-03-01,205.21,208.64,204.8859,208.8,202.82,1419464.0,0.0,1.0
2018-03-02,206.44,203.67,206.1139,206.99,201.82,1228626.0,0.0,1.0
2018-03-05,206.76,204.51,206.4334,207.93,202.07,1228497.0,0.0,1.0
2018-03-06,210.12,208.07,209.7881,210.33,206.66,1007085.0,0.0,1.0
2018-03-07,212.16,207.34,211.8249,212.46,207.34,1225472.0,0.0,1.0
2018-03-08,211.7,212.7,211.3656,212.73,210.01,822110.0,0.0,1.0
2018-03-09,217.89,213.25,217.5458,218.08,212.36,1583686.0,0.0,1.0
2018-03-12,217.49,218.7,217.1465,219.94,216.93,2260772.0,0.0,1.0
2018-03-13,215.12,219.13,214.7802,219.67,214.9,1471330.0,0.0,1.0
2018-03-14,213.46,215.42,213.2926,216.65,212.86,1244262.0,0.17,1.0
2018-03-15,212.45,212.52,212.2833,215.19,212.16,1173038.0,0.0,1.0
2018-03-16,210.44,212.61,210.2749,213.385,210.26,2384690.0,0.0,1.0
2018-03-19,211.72,210.78,211.5539,212.55,209.11,1672854.0,0.0,1.0
2018-03-20,214.72,212.89,214.5516,215.55,211.91,1509778.0,0.0,1.0
2018-03-21,212.96,214.78,212.7929,215.37,212.84,1022617.0,0.0,1.0
2018-03-22,207.33,211.0,207.1674,212.4,206.52,1584868.0,0.0,1.0
2018-03-23,204.65,207.79,204.4895,209.66,204.27,1557776.0,0.0,1.0
2018-03-26,209.68,207.57,209.5155,210.15,204.96,1030715.0,0.0,1.0
2018-03-27,206.62,210.36,206.4579,210.92,205.23,1350298.0,0.0,1.0
2018-03-28,205.92,207.49,205.7585,208.4304,205.32,1402011.0,0.0,1.0
2018-03-29,206.46,207.01,206.298,208.44,204.52,1787684.0,0.0,1.0
2018-04-02,203.14,205.72,202.9807,206.78,199.85,1619725.0,0.0,1.0
2018-04-03,206.68,204.7,206.5179,207.51,203.02,1316263.0,0.0,1.0
2018-04-04,209.32,203.58,209.1558,209.82,202.39,1318889.0,0.0,1.0
2018-04-05,211.86,210.12,211.6938,212.61,209.49,1159705.0,0.0,1.0
2018-04-06,205.56,209.49,205.3988,211.12,203.76,1649744.0,0.0,1.0
2018-04-09,209.55,207.25,209.3856,212.41,207.25,1399096.0,0.0,1.0
2018-04-10,215.19,212.35,215.0212,216.33,211.84,2057586.0,0.0,1.0
2018-04-11,212.79,213.37,212.6231,213.93,211.69,1067174.0,0.0,1.0
2018-04-12,213.33,214.09,213.1627,214.84,213.24,748683.0,0.0,1.0
2018-04-13,214.35,214.67,214.1819,215.32,212.86,676362.0,0.0,1.0
2018-04-16,215.91,215.71,215.7406,217.52,212.64,817195.0,0.0,1.0
2018-04-17,218.23,217.24,218.0588,219.085,216.095,1611638.0,0.0,1.0
2018-04-18,219.53,219.08,219.3578,221.03,218.41,1564370.0,0.0,1.0
2018-04-19,216.99,220.24,216.8198,221.88,215.48,1610083.0,0.0,1.0
2018-04-20,215.89,217.86,215.7207,218.45,215.6,1377917.0,0.0,1.0
2018-04-23,216.35,216.83,216.1803,218.05,215.8,1244674.0,0.0,1.0
2018-04-24,213.17,214.44,213.0028,216.3,210.49,2051078.0,0.0,1.0
2018-04-25,214.47,217.85,214.3018,218.0,207.99,2240586.0,0.0,1.0
2018-04-26,213.84,214.7,213.6723,215.895,212.035,1475197.0,0.0,1.0
2018-04-27,212.84,213.67,212.673,214.465,212.2,1668307.0,0.0,1.0
2018-04-30,210.35,213.09,210.185,213.84,210.34,1375440.0,0.0,1.0
2018-05-01,210.72,210.44,210.5547,212.29,208.39,1100667.0,0.0,1.0
2018-05-02,208.84,210.0,208.6762,211.35,208.02,1514741.0,0.0,1.0
2018-05-03,208.32,208.16,208.1566,208.61,204.86,2291714.0,0.0,1.0
2018-05-04,210.07,208.13,209.9052,210.64,205.22,996671.0,0.0,1.0
2018-05-07,208.98,210.33,208.8161,211.99,208.16,1204642.0,0.0,1.0
2018-05-08,208.07,208.27,207.9068,209.02,206.59,1105920.0,0.0,1.0
2018-05-09,208.69,208.66,208.5263,209.53,207.33,1237084.0,0.0,1.0
2018-05-10,213.82,210.0,213.6523,214.13,209.09,1272703.0,0.0,1.0
2018-05-11,216.55,214.27,216.3801,216.69,213.36,1209781.0,0.0,1.0
2018-05-14,217.41,216.6,217.2395,219.405,215.8,1447336.0,0.0,1.0
2018-05-15,209.08,213.26,208.916,214.65,208.92,1731386.0,0.0,1.0
2018-05-16,210.67,209.5,210.5047,212.145,209.1,1813526.0,0.0,1.0
2018-05-17,211.01,211.12,210.8445,212.52,210.02,1364268.0,0.0,1.0
2018-05-18,214.94,211.5,214.7714,215.47,211.22,1072762.0,0.0,1.0
