date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,49.02,46.9,48.3466,49.38,46.46,9364386.0,0.0,1.0
2018-02-07,50.1,48.93,49.4118,50.71,48.93,7959034.0,0.0,1.0
2018-02-08,48.85,48.76,48.179,50.46,48.23,7907780.0,0.0,1.0
2018-02-09,49.06,49.12,48.3861,49.45,47.42,5823159.0,0.0,1.0
2018-02-12,49.91,49.11,49.2244,50.35,49.11,4759223.0,0.0,1.0
2018-02-13,50.14,49.91,49.4512,50.25,49.65,2147835.0,0.0,1.0
2018-02-14,50.49,49.97,49.7964,50.99,49.74,2588750.0,0.0,1.0
2018-02-15,50.63,50.5,49.9345,50.83,50.17,2801068.0,0.0,1.0
2018-02-16,50.06,50.36,49.3723,50.45,49.89,3154596.0,0.0,1.0
2018-02-20,49.41,49.79,48.7313,49.94,49.23,2586729.0,0.0,1.0
2018-02-21,49.58,49.5,48.8989,50.25,49.36,2174438.0,0.0,1.0
2018-02-22,49.77,49.66,49.0863,49.99,49.52,1899900.0,0.0,1.0
2018-02-23,50.65,50.0,49.9542,50.67,49.65,1694836.0,0.0,1.0
2018-02-26,51.16,50.77,50.4572,51.2,50.71,2236673.0,0.0,1.0
2018-02-27,50.65,51.37,49.9542,51.64,50.58,2375720.0,0.0,1.0
2018-02-28,50.91,50.71,50.2107,51.38,50.27,2892991.0,0.0,1.0
2018-03-01,50.27,50.83,49.5795,50.83,49.6,1987300.0,0.0,1.0
2018-03-02,50.95,50.0,50.2501,51.04,49.45,2580302.0,0.0,1.0
2018-03-05,50.98,50.55,50.2797,51.21,50.42,1874826.0,0.0,1.0
2018-03-06,51.2,50.99,50.4967,51.2,50.4786,1759010.0,0.0,1.0
2018-03-07,50.69,50.67,49.9937,51.15,50.45,1593343.0,0.0,1.0
2018-03-08,51.96,50.66,51.5796,52.52,50.53,4049627.0,0.338,1.0
2018-03-09,52.49,52.21,52.1057,52.8,51.97,3182849.0,0.0,1.0
2018-03-12,52.46,52.59,52.0759,52.85,52.24,1743362.0,0.0,1.0
2018-03-13,52.98,52.67,52.5921,53.4,52.52,2042565.0,0.0,1.0
2018-03-14,52.48,53.06,52.0958,53.2,52.18,1715565.0,0.0,1.0
2018-03-15,52.37,52.58,51.9866,52.75,52.21,1538066.0,0.0,1.0
2018-03-16,52.77,52.37,52.3837,53.075,52.23,3647100.0,0.0,1.0
2018-03-19,52.21,52.67,51.8278,53.015,51.96,2896434.0,0.0,1.0
2018-03-20,53.18,52.39,52.7907,53.25,52.25,2051267.0,0.0,1.0
2018-03-21,52.97,53.15,52.5822,53.51,52.94,2015965.0,0.0,1.0
2018-03-22,51.95,52.58,51.5697,53.02,51.92,2030677.0,0.0,1.0
2018-03-23,51.74,52.23,51.3612,52.89,51.7,2585856.0,0.0,1.0
2018-03-26,53.24,52.18,52.8502,53.32,52.08,1724206.0,0.0,1.0
2018-03-27,53.11,53.46,52.7212,53.57,52.7,2773040.0,0.0,1.0
2018-03-28,52.51,53.32,52.1256,53.51,52.42,2460288.0,0.0,1.0
2018-03-29,52.61,52.77,52.2248,53.22,52.37,2190287.0,0.0,1.0
2018-04-02,51.48,52.5,51.1031,52.63,50.69,2768198.0,0.0,1.0
2018-04-03,51.81,51.71,51.4307,51.92,51.19,2719515.0,0.0,1.0
2018-04-04,52.62,51.36,52.2348,52.66,51.31,2578637.0,0.0,1.0
2018-04-05,54.0,52.75,53.6047,54.255,52.53,3148598.0,0.0,1.0
2018-04-06,52.47,53.505,52.0859,53.5299,51.88,3537269.0,0.0,1.0
2018-04-09,52.61,52.75,52.2248,53.1,52.44,2566602.0,0.0,1.0
2018-04-10,53.07,52.51,52.6815,53.24,52.51,2048008.0,0.0,1.0
