date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,67.28,65.08,66.7233,68.21,63.65,3779005.0,0.0,1.0
2018-02-07,67.37,67.1,66.8125,68.0,66.881,2309094.0,0.0,1.0
2018-02-08,65.94,67.53,65.3944,67.97,65.93,1943680.0,0.0,1.0
2018-02-09,66.5,66.29,65.9497,67.0,63.82,2424179.0,0.0,1.0
2018-02-12,66.67,66.85,66.1183,67.62,65.62,1763284.0,0.0,1.0
2018-02-13,66.16,66.57,65.6125,66.79,65.09,1449498.0,0.0,1.0
2018-02-14,68.0,65.87,67.4373,68.22,65.62,1430805.0,0.0,1.0
2018-02-15,69.14,68.49,68.5679,70.57,68.0,2088303.0,0.0,1.0
2018-02-16,67.32,68.94,66.7629,69.3357,66.445,1859308.0,0.0,1.0
2018-02-20,67.22,66.64,66.6638,68.34,66.43,1492294.0,0.0,1.0
2018-02-21,66.3,67.47,65.7514,68.47,66.22,1590251.0,0.0,1.0
2018-02-22,65.79,66.45,65.2456,66.83,65.52,1489549.0,0.0,1.0
2018-02-23,65.86,65.97,65.5828,66.43,65.19,1343939.0,0.27,1.0
2018-02-26,64.86,66.22,64.587,66.51,64.575,1692315.0,0.0,1.0
2018-02-27,65.03,65.34,64.7563,66.68,64.99,1763484.0,0.0,1.0
2018-02-28,64.93,65.24,64.6567,65.43,64.44,1661047.0,0.0,1.0
2018-03-01,63.86,64.8,63.5912,64.96,63.43,1594769.0,0.0,1.0
2018-03-02,64.22,63.24,63.9497,64.5,62.61,2097857.0,0.0,1.0
2018-03-05,64.42,64.55,64.1488,64.93,63.88,1888395.0,0.0,1.0
2018-03-06,64.78,64.55,64.5073,64.86,64.101,1355776.0,0.0,1.0
2018-03-07,63.78,63.95,63.5115,64.3,63.0,1496112.0,0.0,1.0
2018-03-08,64.41,64.05,64.1389,64.52,63.8,1172685.0,0.0,1.0
2018-03-09,65.34,64.9,65.065,65.39,64.27,915388.0,0.0,1.0
