date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,13.1,12.63,13.1,13.28,12.5,9644685.0,0.0,1.0
2018-02-07,13.26,13.17,13.26,13.68,13.12,6142246.0,0.0,1.0
2018-02-08,13.14,13.21,13.14,13.36,12.87,6719015.0,0.0,1.0
2018-02-09,13.75,13.27,13.75,13.875,13.19,9294596.0,0.0,1.0
2018-02-12,14.23,13.89,14.23,14.58,13.85,12091540.0,0.0,1.0
2018-02-13,16.7,16.15,16.7,17.1,16.0,33760109.0,0.0,1.0
2018-02-14,17.76,16.3,17.76,18.0701,15.83,19018113.0,0.0,1.0
2018-02-15,18.41,17.71,18.41,18.48,17.31,13637505.0,0.0,1.0
2018-02-16,17.36,18.25,17.36,18.75,17.36,13223069.0,0.0,1.0
2018-02-20,17.14,17.18,17.14,17.705,17.04,7605509.0,0.0,1.0
2018-02-21,17.03,17.14,17.03,17.47,17.01,4040688.0,0.0,1.0
2018-02-22,16.62,17.02,16.62,17.15,16.59,4190313.0,0.0,1.0
2018-02-23,17.02,16.77,17.02,17.13,16.57,3377936.0,0.0,1.0
2018-02-26,17.25,17.05,17.25,17.33,16.94,4233922.0,0.0,1.0
2018-02-27,16.75,17.33,16.75,17.75,16.725,5143810.0,0.0,1.0
2018-02-28,16.58,16.9,16.58,17.02,16.545,6660193.0,0.0,1.0
2018-03-01,16.14,16.69,16.14,16.79,16.03,6810410.0,0.0,1.0
2018-03-02,17.02,15.95,17.02,17.055,15.65,11580039.0,0.0,1.0
2018-03-05,17.42,16.79,17.42,17.53,16.78,6531784.0,0.0,1.0
2018-03-06,17.62,17.4,17.62,17.73,17.16,5655970.0,0.0,1.0
2018-03-07,17.38,17.32,17.38,17.62,17.25,4894189.0,0.0,1.0
2018-03-08,17.16,17.45,17.16,17.49,17.06,5578857.0,0.0,1.0
2018-03-09,17.05,17.28,17.05,17.37,16.88,4323543.0,0.0,1.0
2018-03-12,17.18,17.05,17.18,17.22,16.82,6939287.0,0.0,1.0
2018-03-13,16.56,17.25,16.56,17.435,16.5,8360786.0,0.0,1.0
2018-03-14,16.08,16.62,16.08,16.7,15.86,8488143.0,0.0,1.0
2018-03-15,15.9,16.08,15.9,16.26,15.76,4325073.0,0.0,1.0
2018-03-16,16.19,15.88,16.19,16.345,15.74,6282609.0,0.0,1.0
2018-03-19,16.15,16.06,16.15,16.29,15.82,4229419.0,0.0,1.0
2018-03-20,16.0,16.14,16.0,16.18,15.7899,5250884.0,0.0,1.0
2018-03-21,15.95,15.99,15.95,16.17,15.9,4630888.0,0.0,1.0
2018-03-22,15.73,15.75,15.73,16.01,15.64,4377009.0,0.0,1.0
2018-03-23,15.78,15.88,15.78,16.07,15.6,5541578.0,0.0,1.0
2018-03-26,16.67,16.0,16.67,16.69,15.67,5951660.0,0.0,1.0
2018-03-27,16.44,16.65,16.44,16.8555,16.36,5145239.0,0.0,1.0
2018-03-28,16.33,16.46,16.33,16.74,16.16,4743502.0,0.0,1.0
2018-03-29,16.35,16.36,16.35,16.74,16.34,6630068.0,0.0,1.0
2018-04-02,16.1,16.0,16.1,16.18,15.85,6541756.0,0.0,1.0
2018-04-03,16.82,16.2,16.82,16.85,16.075,5246531.0,0.0,1.0
2018-04-04,17.89,16.63,17.89,17.95,16.6,10737510.0,0.0,1.0
2018-04-05,17.47,17.63,17.47,18.12,17.23,6197446.0,0.0,1.0
2018-04-06,16.98,17.38,16.98,17.52,16.8,3742510.0,0.0,1.0
2018-04-09,16.64,17.12,16.64,17.15,16.57,5563175.0,0.0,1.0
2018-04-10,16.82,16.81,16.82,16.85,16.545,3381368.0,0.0,1.0
2018-04-11,16.74,16.67,16.74,17.03,16.61,3778480.0,0.0,1.0
2018-04-12,17.04,16.81,17.04,17.14,16.66,3903229.0,0.0,1.0
2018-04-13,16.49,17.18,16.49,17.2,16.38,4320120.0,0.0,1.0
2018-04-16,16.45,16.64,16.45,16.66,16.365,2551415.0,0.0,1.0
2018-04-17,16.35,16.58,16.35,16.6,16.33,2463835.0,0.0,1.0
2018-04-18,16.1,16.42,16.1,16.465,15.99,4096394.0,0.0,1.0
2018-04-19,16.08,16.16,16.08,16.25,15.91,3982825.0,0.0,1.0
2018-04-20,16.1,16.04,16.1,16.23,15.945,4977490.0,0.0,1.0
2018-04-23,16.73,16.29,16.73,16.85,16.29,8091534.0,0.0,1.0
2018-04-24,16.96,16.8,16.96,17.48,16.69,6155702.0,0.0,1.0
2018-04-25,16.44,16.97,16.44,17.01,16.32,6173844.0,0.0,1.0
2018-04-26,16.91,16.45,16.91,16.95,16.2501,3684302.0,0.0,1.0
2018-04-27,17.83,17.13,17.83,18.24,17.1,10491963.0,0.0,1.0
2018-04-30,17.76,17.86,17.76,18.28,17.73,11721576.0,0.0,1.0
2018-05-01,18.03,16.85,18.03,18.13,16.41,15895924.0,0.0,1.0
2018-05-02,18.36,17.87,18.36,18.9,17.85,7144880.0,0.0,1.0
2018-05-03,17.37,18.36,17.37,18.36,17.27,7322675.0,0.0,1.0
2018-05-04,17.36,17.32,17.36,17.52,16.97,4532119.0,0.0,1.0
2018-05-07,17.87,17.46,17.87,17.9,17.275,4969568.0,0.0,1.0
2018-05-08,18.32,17.87,18.32,18.565,17.87,4470824.0,0.0,1.0
2018-05-09,18.29,18.22,18.29,18.315,17.89,3080589.0,0.0,1.0
2018-05-10,18.56,18.25,18.56,18.62,18.18,3219366.0,0.0,1.0
2018-05-11,18.76,18.55,18.76,18.815,18.37,4456515.0,0.0,1.0
2018-05-14,18.44,18.75,18.44,18.78,18.29,3611301.0,0.0,1.0
2018-05-15,18.88,18.38,18.88,19.43,18.38,7802587.0,0.0,1.0
2018-05-16,20.52,18.94,20.52,20.55,18.87,11557374.0,0.0,1.0
2018-05-17,20.38,20.24,20.38,20.61,20.14,6369602.0,0.0,1.0
2018-05-18,20.12,20.36,20.12,20.51,19.93,5427065.0,0.0,1.0
2018-05-21,20.11,20.18,20.11,20.22,19.78,4359116.0,0.0,1.0
2018-05-22,19.84,20.18,19.84,20.3,19.77,2619324.0,0.0,1.0
2018-05-23,20.07,19.8,20.07,20.28,19.8,2557811.0,0.0,1.0
2018-05-24,20.58,20.12,20.58,20.67,19.98,4477807.0,0.0,1.0
2018-05-25,20.85,20.58,20.85,20.96,20.43,4613109.0,0.0,1.0
2018-05-29,20.66,20.64,20.66,20.98,20.44,3803944.0,0.0,1.0
2018-05-30,21.4,20.78,21.4,21.56,20.74,5542354.0,0.0,1.0
2018-05-31,20.9,21.35,20.9,21.809,20.89,10953595.0,0.0,1.0
2018-06-01,21.36,21.2,21.36,21.54,21.07,4463876.0,0.0,1.0
2018-06-04,22.71,21.54,22.71,22.825,21.43,9487853.0,0.0,1.0
2018-06-05,23.53,22.72,23.53,23.58,22.3,9431035.0,0.0,1.0
