date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,218.59,210.79,218.59,222.13,207.34,1568936.0,0.0,1.0
2018-02-07,218.06,217.99,218.06,221.67,216.91,736493.0,0.0,1.0
2018-02-08,209.09,218.88,209.09,219.94,209.01,788097.0,0.0,1.0
2018-02-09,218.55,211.0,218.55,220.44,205.5,1265899.0,0.0,1.0
2018-02-12,209.48,219.97,209.48,222.22,204.75,2641540.0,0.0,1.0
2018-02-13,206.79,208.44,206.79,211.25,206.26,1059110.0,0.0,1.0
2018-02-14,206.76,204.74,206.76,208.64,204.7,1292917.0,0.0,1.0
2018-02-15,204.0,207.24,204.0,208.25,203.38,1238830.0,0.0,1.0
2018-02-16,203.15,204.45,203.15,205.7305,201.63,1025309.0,0.0,1.0
2018-02-20,201.13,200.15,201.13,205.0,199.5,959292.0,0.0,1.0
2018-02-21,201.19,202.21,201.19,204.8399,199.83,724172.0,0.0,1.0
2018-02-22,204.05,201.26,204.05,204.84,199.54,865818.0,0.0,1.0
2018-02-23,207.11,205.0,207.11,207.21,203.77,755715.0,0.0,1.0
2018-02-26,198.93,206.9,198.93,207.04,198.32,1619056.0,0.0,1.0
2018-02-27,203.06,198.9,203.06,204.89,198.29,1186055.0,0.0,1.0
2018-02-28,203.35,204.49,203.35,208.98,203.33,990075.0,0.0,1.0
2018-03-01,200.71,203.62,200.71,204.84,199.54,808077.0,0.0,1.0
2018-03-02,194.0,198.08,194.0,199.08,191.701,2207951.0,0.0,1.0
2018-03-05,197.88,194.0,197.88,198.34,192.5,1314496.0,0.0,1.0
2018-03-06,200.22,198.4,200.22,202.89,198.4,1266054.0,0.0,1.0
2018-03-07,201.07,197.76,201.07,202.13,196.07,921920.0,0.0,1.0
2018-03-08,206.54,202.35,206.54,206.96,200.13,1003787.0,0.0,1.0
2018-03-09,205.92,207.47,205.92,208.75,202.81,1061123.0,0.0,1.0
2018-03-12,207.62,205.69,207.62,208.31,203.02,891865.0,0.0,1.0
2018-03-13,208.4,208.49,208.4,213.3,207.6,1427346.0,0.0,1.0
2018-03-14,201.99,208.84,201.99,209.49,201.25,1160930.0,0.0,1.0
2018-03-15,206.14,202.39,206.14,206.5,201.0,2226244.0,0.0,1.0
2018-03-16,221.88,210.35,221.88,223.5,207.54,5739806.0,0.0,1.0
2018-03-19,215.6,221.75,215.6,222.98,215.2,1305485.0,0.0,1.0
2018-03-20,215.63,216.89,215.63,219.0,214.22,1053803.0,0.0,1.0
2018-03-21,213.0,215.79,213.0,217.54,212.9,883007.0,0.0,1.0
2018-03-22,207.36,212.55,207.36,215.6145,207.21,1321606.0,0.0,1.0
2018-03-23,202.29,207.5,202.29,207.99,202.17,1248081.0,0.0,1.0
2018-03-26,207.9,205.07,207.9,208.3,204.78,1003522.0,0.0,1.0
2018-03-27,204.92,209.21,204.92,209.68,203.5,992505.0,0.0,1.0
2018-03-28,205.11,204.64,205.11,208.7799,204.2,783295.0,0.0,1.0
2018-03-29,204.27,206.01,204.27,207.865,203.31,1171089.0,0.0,1.0
2018-04-02,203.13,204.28,203.13,206.55,199.15,913452.0,0.0,1.0
2018-04-03,204.38,204.51,204.38,205.88,203.06,727293.0,0.0,1.0
2018-04-04,206.32,202.73,206.32,207.19,202.73,949649.0,0.0,1.0
2018-04-05,206.92,207.84,206.92,208.37,204.87,1036926.0,0.0,1.0
2018-04-06,208.26,206.31,208.26,213.31,205.48,1289013.0,0.0,1.0
2018-04-09,212.15,208.29,212.15,214.59,206.165,1253954.0,0.0,1.0
2018-04-10,221.06,217.5,221.06,221.725,216.67,1663170.0,0.0,1.0
2018-04-11,213.3,219.2,213.3,221.44,213.0,1205017.0,0.0,1.0
2018-04-12,217.81,214.17,217.81,218.78,212.39,1125679.0,0.0,1.0
2018-04-13,220.88,219.75,220.88,223.14,218.25,1368223.0,0.0,1.0
2018-04-16,227.93,226.68,227.93,230.59,224.35,1555216.0,0.0,1.0
2018-04-17,233.59,228.09,233.59,233.91,228.02,1261759.0,0.0,1.0
2018-04-18,233.04,233.89,233.04,237.88,231.11,1180230.0,0.0,1.0
2018-04-19,234.16,232.99,234.16,234.96,231.611,904443.0,0.0,1.0
2018-04-20,235.05,234.77,235.05,235.88,231.581,1090750.0,0.0,1.0
2018-04-23,238.65,236.19,238.65,240.08,235.37,1099463.0,0.0,1.0
2018-04-24,233.94,238.75,233.94,239.42,232.67,1207861.0,0.0,1.0
2018-04-25,236.2,234.82,236.2,238.34,234.39,695473.0,0.0,1.0
2018-04-26,243.61,237.61,243.61,244.65,236.36,928536.0,0.0,1.0
2018-04-27,248.81,243.59,248.81,249.51,242.3,1028857.0,0.0,1.0
2018-04-30,250.91,250.14,250.91,257.63,249.43,1228809.0,0.0,1.0
2018-05-01,250.62,252.06,250.62,254.34,248.42,922800.0,0.0,1.0
2018-05-02,248.42,248.91,248.42,250.5299,243.66,780587.0,0.0,1.0
2018-05-03,246.87,246.49,246.87,247.98,242.6,595100.0,0.0,1.0
2018-05-04,253.74,246.1,253.74,255.4,245.18,917252.0,0.0,1.0
2018-05-07,253.07,255.0,253.07,257.24,252.36,784277.0,0.0,1.0
2018-05-08,249.23,251.85,249.23,254.16,247.38,559115.0,0.0,1.0
2018-05-09,248.9,250.41,248.9,250.89,244.46,826297.0,0.0,1.0
2018-05-10,247.5,249.79,247.5,250.45,245.19,547877.0,0.0,1.0
2018-05-11,250.0,247.26,250.0,250.12,246.1,539614.0,0.0,1.0
2018-05-14,247.04,250.49,247.04,250.98,246.2,568421.0,0.0,1.0
2018-05-15,250.39,251.5,250.39,252.49,246.01,956153.0,0.0,1.0
2018-05-16,252.02,251.89,252.02,253.49,251.11,827387.0,0.0,1.0
2018-05-17,257.6,251.5,257.6,258.57,251.5,807711.0,0.0,1.0
2018-05-18,255.59,257.19,255.59,257.19,255.015,754483.0,0.0,1.0
2018-05-21,254.77,258.35,254.77,261.4,253.95,719440.0,0.0,1.0
2018-05-22,252.69,255.39,252.69,257.03,252.27,570258.0,0.0,1.0
2018-05-23,252.97,252.07,252.97,258.49,251.47,931517.0,0.0,1.0
2018-05-24,251.72,252.45,251.72,253.215,245.45,906845.0,0.0,1.0
2018-05-25,251.05,253.72,251.05,255.39,250.05,815389.0,0.0,1.0
2018-05-29,253.69,249.44,253.69,254.13,248.25,874299.0,0.0,1.0
2018-05-30,253.48,255.43,253.48,256.39,250.21,1163565.0,0.0,1.0
2018-05-31,246.91,256.14,246.91,256.89,246.01,2348453.0,0.0,1.0
2018-06-01,245.15,235.99,245.15,251.97,234.81,3982122.0,0.0,1.0
2018-06-04,256.6,245.81,256.6,257.33,244.43,1481511.0,0.0,1.0
2018-06-05,253.93,252.44,253.93,254.98,249.44,1199139.0,0.0,1.0
2018-06-06,255.85,254.6,255.85,258.8,251.7,1049693.0,0.0,1.0
2018-06-07,256.92,255.5,256.92,259.62,252.0,1240178.0,0.0,1.0
2018-06-08,253.06,255.23,253.06,256.59,248.13,1100368.0,0.0,1.0
2018-06-11,251.84,253.31,251.84,254.2397,250.53,779403.0,0.0,1.0
2018-06-12,248.29,251.28,248.29,252.7405,247.45,1220708.0,0.0,1.0
2018-06-13,247.52,249.0,247.52,251.805,246.93,1262490.0,0.0,1.0
2018-06-14,246.6,247.7,246.6,247.775,243.681,1454039.0,0.0,1.0
2018-06-15,247.88,246.21,247.88,248.54,244.08,1157311.0,0.0,1.0
2018-06-18,247.26,245.92,247.26,249.71,245.91,772306.0,0.0,1.0
2018-06-19,246.26,246.44,246.26,248.56,242.76,955545.0,0.0,1.0
2018-06-20,251.28,248.05,251.28,252.51,246.41,971718.0,0.0,1.0
2018-06-21,250.35,250.13,250.35,252.05,247.53,636531.0,0.0,1.0
2018-06-22,249.76,251.52,249.76,251.925,247.85,760449.0,0.0,1.0
2018-06-25,241.61,248.42,241.61,248.42,239.36,1052512.0,0.0,1.0
2018-06-26,238.75,242.36,238.75,243.77,237.08,667016.0,0.0,1.0
2018-06-27,236.05,239.5,236.05,240.72,235.66,717313.0,0.0,1.0
2018-06-28,239.67,236.5,239.67,240.92,235.62,857073.0,0.0,1.0
