date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,112.71,112.62,110.8797,115.89,109.68,11732687.0,0.0,1.0
2018-02-07,111.91,112.39,110.0927,113.26,111.62,7090628.0,0.0,1.0
2018-02-08,109.28,111.76,107.5054,112.5,109.23,6970007.0,0.0,1.0
2018-02-09,106.39,108.1,104.6623,108.11,103.81,11172074.0,0.0,1.0
2018-02-12,106.31,107.0,104.5836,107.08,105.414,6661217.0,0.0,1.0
2018-02-13,107.56,105.99,105.8133,108.77,105.5,7554019.0,0.0,1.0
2018-02-14,106.6,106.69,104.8689,107.1,105.09,6469995.0,0.0,1.0
2018-02-15,108.31,107.15,106.5512,108.33,105.52,5527483.0,0.0,1.0
2018-02-16,106.4,107.11,105.5674,107.66,105.9,6090554.0,0.91,1.0
2018-02-20,104.71,106.25,103.8906,106.65,104.33,5189471.0,0.0,1.0
2018-02-21,104.7,104.74,103.8807,107.05,104.51,5509335.0,0.0,1.0
2018-02-22,105.08,105.35,104.2577,106.48,104.65,3345531.0,0.0,1.0
2018-02-23,105.61,104.4,104.7836,105.62,104.34,4383925.0,0.0,1.0
2018-02-26,108.07,106.7,107.2243,108.44,106.01,4080187.0,0.0,1.0
2018-02-27,105.69,108.24,104.8629,108.56,105.68,3598192.0,0.0,1.0
2018-02-28,104.41,106.4,103.593,106.6,104.38,3702325.0,0.0,1.0
2018-03-01,106.43,104.96,105.5972,109.29,103.95,8701867.0,0.0,1.0
2018-03-02,105.37,105.76,104.5455,106.3,104.37,4670569.0,0.0,1.0
2018-03-05,105.81,105.34,104.982,106.17,104.63,4997436.0,0.0,1.0
2018-03-06,109.8,107.49,108.9408,110.04,106.31,8590537.0,0.0,1.0
2018-03-07,109.21,109.02,108.3554,109.55,107.83,7097591.0,0.0,1.0
2018-03-08,108.8,109.41,107.9486,110.54,106.97,5802911.0,0.0,1.0
2018-03-09,110.38,109.53,109.5162,110.42,108.91,3166239.0,0.0,1.0
2018-03-12,108.91,110.22,108.0578,110.75,108.89,3047655.0,0.0,1.0
2018-03-13,109.33,109.7,108.4745,110.56,109.12,3491242.0,0.0,1.0
2018-03-14,108.76,110.03,107.9089,110.17,108.52,2286045.0,0.0,1.0
2018-03-15,109.72,109.04,108.8614,110.01,108.91,2708846.0,0.0,1.0
2018-03-16,110.91,109.57,110.0421,111.2,109.57,5215614.0,0.0,1.0
2018-03-19,108.46,110.3,107.6113,110.89,107.439,2968280.0,0.0,1.0
2018-03-20,108.03,108.64,107.1846,109.3283,107.52,2456253.0,0.0,1.0
2018-03-21,107.65,108.19,106.8076,109.579,107.64,2707356.0,0.0,1.0
2018-03-22,104.45,106.73,103.6327,107.12,104.26,4146061.0,0.0,1.0
2018-03-23,101.66,104.89,100.8645,105.165,101.4531,4235657.0,0.0,1.0
2018-03-26,103.7,103.06,102.8885,103.92,101.9,3821952.0,0.0,1.0
2018-03-27,102.17,103.77,101.3705,104.66,101.69,3696311.0,0.0,1.0
2018-03-28,102.68,102.32,101.8765,103.68,101.7,3811800.0,0.0,1.0
2018-03-29,104.66,103.24,103.841,105.83,103.1501,3813414.0,0.0,1.0
2018-04-02,103.84,104.33,103.0274,105.43,102.4,4594427.0,0.0,1.0
2018-04-03,105.54,104.41,104.7141,105.62,103.76,4453168.0,0.0,1.0
2018-04-04,106.41,103.81,105.5773,106.47,103.33,3832814.0,0.0,1.0
2018-04-05,107.18,106.61,106.3413,107.37,105.345,3154706.0,0.0,1.0
2018-04-06,105.33,106.48,104.5058,106.63,104.39,4397221.0,0.0,1.0
2018-04-09,104.6,105.56,103.7815,106.26,104.36,3938503.0,0.0,1.0
2018-04-10,106.02,105.56,105.1904,106.849,105.56,2766757.0,0.0,1.0
2018-04-11,106.09,105.24,105.2598,106.75,105.05,1623855.0,0.0,1.0
2018-04-12,106.99,106.59,106.1528,107.64,106.53,1999994.0,0.0,1.0
2018-04-13,107.25,107.48,106.4107,108.34,106.6,3970849.0,0.0,1.0
2018-04-16,109.25,108.3,108.3951,109.39,108.16,4595628.0,0.0,1.0
2018-04-17,109.52,109.54,108.663,109.85,108.66,2832886.0,0.0,1.0
2018-04-18,110.9,109.87,110.0322,111.03,108.61,3559546.0,0.0,1.0
2018-04-19,109.68,110.7,108.8217,110.7,108.99,2737222.0,0.0,1.0
2018-04-20,108.55,109.91,107.7006,109.91,107.99,3632432.0,0.0,1.0
2018-04-23,109.11,108.7,108.2562,109.2199,108.42,2246550.0,0.0,1.0
2018-04-24,108.22,109.15,107.3731,109.57,107.3,3626061.0,0.0,1.0
2018-04-25,108.66,107.98,107.8097,108.88,107.41,3194635.0,0.0,1.0
2018-04-26,113.28,108.05,112.3936,114.275,107.71,7309004.0,0.0,1.0
2018-04-27,113.99,113.07,113.098,114.0,112.73,4557366.0,0.0,1.0
2018-04-30,113.5,114.18,112.6118,114.46,112.86,4479360.0,0.0,1.0
2018-05-01,112.45,113.55,111.57,113.9,111.48,4376222.0,0.0,1.0
2018-05-02,111.15,112.08,110.2802,112.25,110.58,3563766.0,0.0,1.0
2018-05-03,109.81,110.78,108.9507,110.97,108.16,4079409.0,0.0,1.0
2018-05-04,111.31,109.19,110.439,111.81,108.81,2412758.0,0.0,1.0
2018-05-07,112.12,111.79,111.2426,112.75,111.47,2583818.0,0.0,1.0
