date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,129.81,124.16,128.3935,129.81,123.25,8630009.0,0.0,1.0
2018-02-07,131.97,129.39,130.5299,133.34,129.06,7825872.0,0.0,1.0
2018-02-08,127.48,131.85,126.0889,132.36,127.37,7022603.0,0.0,1.0
2018-02-09,125.03,129.15,123.6657,130.04,122.21,12060398.0,0.0,1.0
2018-02-12,127.38,123.07,125.99,128.52,123.0,9476426.0,0.0,1.0
2018-02-13,125.77,126.36,124.3976,126.96,124.97,5037086.0,0.0,1.0
2018-02-14,126.7,124.98,125.3174,126.8,123.95,6943329.0,0.0,1.0
2018-02-15,130.0,127.99,129.2738,130.04,127.79,4515698.0,0.7,1.0
2018-02-16,129.26,129.94,128.5379,131.01,128.92,4759564.0,0.0,1.0
2018-02-20,126.46,128.75,125.7536,129.27,125.88,4620298.0,0.0,1.0
2018-02-21,129.26,126.73,128.5379,131.21,126.48,7750369.0,0.0,1.0
2018-02-22,133.58,130.8,132.8338,134.59,130.8,8005874.0,0.0,1.0
2018-02-23,133.15,134.58,132.4062,134.92,131.38,4563237.0,0.0,1.0
2018-02-26,135.47,133.82,134.7132,135.64,133.76,4703604.0,0.0,1.0
2018-02-27,133.91,135.64,133.162,136.24,133.88,4294360.0,0.0,1.0
2018-02-28,134.74,134.12,133.9873,138.5,134.0,9202755.0,0.0,1.0
2018-03-01,130.3,135.2,129.5721,135.7,129.78,6331845.0,0.0,1.0
2018-03-02,129.94,129.22,129.2141,130.3,128.29,5831135.0,0.0,1.0
2018-03-05,131.71,129.32,130.9742,132.4,128.02,4764480.0,0.0,1.0
2018-03-06,131.61,132.2,130.8748,132.37,130.32,3040203.0,0.0,1.0
2018-03-07,130.93,129.86,130.1986,131.27,129.71,2969228.0,0.0,1.0
2018-03-08,131.26,131.75,130.5268,132.09,129.63,3590900.0,0.0,1.0
2018-03-09,134.07,131.81,133.3211,134.19,131.51,4022172.0,0.0,1.0
2018-03-12,131.5,134.7,130.7654,134.7,131.1,3633950.0,0.0,1.0
2018-03-13,130.15,132.48,129.423,132.51,129.52,3805897.0,0.0,1.0
2018-03-14,129.58,130.5,128.8561,130.989,128.15,3206127.0,0.0,1.0
2018-03-15,129.25,130.16,128.528,130.57,127.87,3000029.0,0.0,1.0
2018-03-16,128.33,129.22,127.6131,129.84,127.78,6994119.0,0.0,1.0
2018-03-19,127.2,128.0,126.4894,128.94,126.13,3755997.0,0.0,1.0
2018-03-20,127.16,127.25,126.4497,128.67,126.82,2783067.0,0.0,1.0
2018-03-21,127.0,127.13,126.2906,128.5,126.36,3454678.0,0.0,1.0
2018-03-22,124.07,126.06,123.3769,126.94,123.92,4824359.0,0.0,1.0
2018-03-23,122.31,124.19,121.6268,125.13,122.14,3800631.0,0.0,1.0
