date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,119.97,115.2,119.5711,120.3,113.25,18614360.0,0.0,1.0
2018-02-07,119.65,120.09,119.2521,122.46,119.21,8978060.0,0.0,1.0
2018-02-08,113.86,119.53,113.4814,119.82,113.54,12604103.0,0.0,1.0
2018-02-09,116.32,114.55,115.9332,117.21,111.0201,17651140.0,0.0,1.0
2018-02-12,118.47,117.79,118.0761,118.84,116.88,11494920.0,0.0,1.0
2018-02-13,118.35,117.85,117.9565,118.8,117.1301,7792706.0,0.0,1.0
2018-02-14,120.83,117.62,120.4282,120.95,117.5,9164194.0,0.0,1.0
2018-02-15,122.28,121.7,122.0827,122.31,119.97,6900736.0,0.21,1.0
2018-02-16,121.85,121.63,121.6534,122.99,121.57,6298446.0,0.0,1.0
2018-02-20,122.01,121.35,121.8131,123.05,121.02,6162712.0,0.0,1.0
2018-02-21,120.43,122.05,120.2357,122.83,120.41,7637935.0,0.0,1.0
2018-02-22,120.38,120.67,120.1857,121.38,119.6167,4991385.0,0.0,1.0
2018-02-23,122.93,121.57,122.7316,122.96,121.221,4949897.0,0.0,1.0
2018-02-26,124.59,123.58,124.389,124.6,123.32,6325739.0,0.0,1.0
2018-02-27,123.37,124.7,123.1709,125.3,123.35,7261515.0,0.0,1.0
2018-02-28,122.94,123.65,122.7416,124.98,122.88,6588992.0,0.0,1.0
2018-03-01,120.4,123.26,120.2057,124.0,119.62,8819616.0,0.0,1.0
2018-03-02,120.77,119.09,120.5751,120.98,117.86,7581920.0,0.0,1.0
2018-03-05,121.88,120.45,121.6833,122.31,119.44,5810235.0,0.0,1.0
2018-03-06,121.06,122.83,120.8647,123.24,120.67,7464417.0,0.0,1.0
2018-03-07,121.85,120.03,121.6534,122.24,119.7,7254084.0,0.0,1.0
2018-03-08,122.22,121.96,122.0228,122.82,121.1676,6866139.0,0.0,1.0
2018-03-09,124.51,123.25,124.3091,124.79,122.87,6084801.0,0.0,1.0
2018-03-12,124.24,124.75,124.0395,124.98,123.48,8629875.0,0.0,1.0
2018-03-13,123.2,124.25,123.0012,125.0,122.9,9399438.0,0.0,1.0
2018-03-14,122.58,124.04,122.3822,124.04,121.9,7675859.0,0.0,1.0
2018-03-15,123.41,123.13,123.2109,124.42,122.7,5714230.0,0.0,1.0
2018-03-16,124.53,123.85,124.3291,125.05,123.33,8682531.0,0.0,1.0
2018-03-19,123.21,123.94,123.0112,124.31,122.28,17336748.0,0.0,1.0
2018-03-20,124.91,123.38,124.7084,125.17,123.3,7702236.0,0.0,1.0
2018-03-21,123.22,124.9,123.0212,125.44,123.07,7191393.0,0.0,1.0
2018-03-22,119.99,122.2,119.7964,122.68,119.7,10470732.0,0.0,1.0
2018-03-23,117.0,119.89,116.8112,120.73,116.76,9850483.0,0.0,1.0
2018-03-26,120.64,119.09,120.4453,120.74,117.8,8622562.0,0.0,1.0
2018-03-27,117.4,121.52,117.2106,121.6,116.74,8896249.0,0.0,1.0
2018-03-28,116.99,116.93,116.8012,118.07,116.03,9420430.0,0.0,1.0
2018-03-29,119.62,117.68,119.427,120.5949,117.04,12918073.0,0.0,1.0
2018-04-02,118.39,119.27,118.199,119.83,116.76,9877103.0,0.0,1.0
2018-04-03,119.2,118.89,119.0077,119.99,117.49,7084805.0,0.0,1.0
2018-04-04,119.81,116.9,119.6167,120.12,116.7102,8425714.0,0.0,1.0
2018-04-05,121.19,121.0,120.9944,122.01,120.37,6815997.0,0.0,1.0
2018-04-06,117.7,120.18,117.5101,120.5567,117.12,8383796.0,0.0,1.0
2018-04-09,118.79,118.63,118.5983,120.67,118.63,7024815.0,0.0,1.0
2018-04-10,120.72,120.56,120.5252,121.16,119.64,9006074.0,0.0,1.0
2018-04-11,119.78,119.99,119.5867,121.66,119.62,5874943.0,0.0,1.0
2018-04-12,121.07,120.4,120.8746,121.98,120.3901,5666005.0,0.0,1.0
2018-04-13,120.75,121.73,120.5552,122.47,120.65,9174257.0,0.0,1.0
