date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,31.25,30.6,30.8463,32.01,30.0,6618449.0,0.0,1.0
2018-02-07,30.51,31.37,30.1158,31.72,30.5,6830896.0,0.0,1.0
2018-02-08,32.71,32.79,32.2874,34.18,32.0,10859029.0,0.0,1.0
2018-02-09,32.87,33.2,32.4454,33.48,30.83,6739242.0,0.0,1.0
2018-02-12,32.88,33.1,32.4552,33.85,32.64,4392829.0,0.0,1.0
2018-02-13,33.1,32.71,32.6724,33.29,32.62,4147231.0,0.0,1.0
2018-02-14,33.93,33.35,33.4917,34.17,32.87,4728246.0,0.0,1.0
2018-02-15,33.93,34.0,33.4917,34.17,33.08,4494023.0,0.0,1.0
2018-02-16,33.5,33.98,33.0672,34.58,33.5,3483196.0,0.0,1.0
2018-02-20,33.98,33.48,33.541,34.54,33.43,3118039.0,0.0,1.0
2018-02-21,33.03,33.93,32.6033,34.29,32.98,3685825.0,0.0,1.0
2018-02-22,32.93,33.12,32.5046,33.74,32.81,2473402.0,0.0,1.0
2018-02-23,33.74,33.07,33.3041,33.74,32.95,2529091.0,0.0,1.0
2018-02-26,33.88,33.89,33.4423,34.21,33.53,2030328.0,0.0,1.0
2018-02-27,33.21,33.79,32.781,33.96,33.01,2205436.0,0.0,1.0
2018-02-28,33.34,33.63,32.9093,33.875,32.87,4799028.0,0.0,1.0
2018-03-01,33.13,33.34,32.702,33.44,32.56,3696678.0,0.0,1.0
2018-03-02,34.09,32.79,33.6496,34.32,32.43,3031865.0,0.0,1.0
2018-03-05,34.28,33.98,33.8371,34.4,33.7,2993459.0,0.0,1.0
2018-03-06,34.21,34.49,33.768,34.5,33.83,2076254.0,0.0,1.0
2018-03-07,33.65,34.04,33.2153,34.34,33.2,2505913.0,0.0,1.0
2018-03-08,32.85,33.65,32.4256,33.72,32.73,2468910.0,0.0,1.0
2018-03-09,32.72,32.89,32.2973,33.48,32.13,4804612.0,0.0,1.0
