date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,109.41,106.92,109.41,109.85,106.091,1152636.0,0.0,1.0
2018-02-07,109.11,109.11,109.11,110.91,108.19,973681.0,0.0,1.0
2018-02-08,105.62,109.24,105.62,110.0,105.53,1113044.0,0.0,1.0
2018-02-09,109.09,107.3,109.09,110.63,105.4,2045957.0,0.0,1.0
2018-02-12,111.03,109.56,111.03,111.53,109.28,3583095.0,0.0,1.0
2018-02-13,110.57,110.45,110.57,111.41,109.2,1013742.0,0.0,1.0
2018-02-14,113.98,110.18,113.98,114.03,110.0,824918.0,0.0,1.0
2018-02-15,116.35,114.8,116.35,116.48,114.17,981514.0,0.0,1.0
2018-02-16,120.55,116.47,120.55,121.61,116.23,2319024.0,0.0,1.0
2018-02-20,116.34,119.7,116.34,120.0,116.18,1940963.0,0.0,1.0
2018-02-21,115.7,116.83,115.7,118.11,115.58,1164927.0,0.0,1.0
2018-02-22,114.92,116.47,114.92,117.73,114.53,923942.0,0.0,1.0
2018-02-23,117.64,115.49,117.64,118.12,114.7892,714471.0,0.0,1.0
2018-02-26,117.25,118.46,117.25,118.99,116.62,847224.0,0.0,1.0
2018-02-27,116.41,117.59,116.41,118.48,116.41,821655.0,0.0,1.0
2018-02-28,116.02,117.1,116.02,118.36,116.0,869892.0,0.0,1.0
2018-03-01,115.02,116.06,115.02,116.86,113.78,804248.0,0.0,1.0
2018-03-02,115.78,113.97,115.78,115.99,113.04,603812.0,0.0,1.0
2018-03-05,117.26,115.1,117.26,117.4,114.88,567562.0,0.0,1.0
2018-03-06,117.45,117.65,117.45,118.45,116.12,598173.0,0.0,1.0
2018-03-07,117.93,116.61,117.93,118.49,116.32,1255379.0,0.0,1.0
2018-03-08,118.35,117.42,118.35,118.44,116.66,775241.0,0.0,1.0
2018-03-09,120.46,119.28,120.46,120.91,117.76,1217002.0,0.0,1.0
2018-03-12,120.24,120.72,120.24,120.99,119.835,925201.0,0.0,1.0
2018-03-13,120.51,121.24,120.51,122.52,120.08,1246572.0,0.0,1.0
2018-03-14,123.01,121.0,123.01,125.07,120.21,1998195.0,0.0,1.0
2018-03-15,125.31,123.77,125.31,126.5,123.77,1833219.0,0.0,1.0
2018-03-16,125.92,125.57,125.92,127.24,125.57,1904500.0,0.0,1.0
2018-03-19,124.22,125.14,124.22,126.39,123.14,1540338.0,0.0,1.0
2018-03-20,125.2,124.72,125.2,126.28,124.72,1175443.0,0.0,1.0
2018-03-21,124.6,125.13,124.6,126.5,124.37,965332.0,0.0,1.0
2018-03-22,122.65,122.81,122.65,125.16,122.58,920700.0,0.0,1.0
2018-03-23,119.48,123.06,119.48,124.39,119.43,1433059.0,0.0,1.0
2018-03-26,121.47,121.31,121.47,122.81,119.36,1397964.0,0.0,1.0
2018-03-27,117.48,121.57,117.48,122.63,116.74,1441898.0,0.0,1.0
2018-03-28,116.4,117.78,116.4,119.07,115.66,1211226.0,0.0,1.0
2018-03-29,118.56,116.93,118.56,119.73,116.32,1120251.0,0.0,1.0
2018-04-02,115.74,118.17,115.74,119.54,115.015,1198455.0,0.0,1.0
2018-04-03,117.15,116.62,117.15,117.8,115.595,1159803.0,0.0,1.0
2018-04-04,117.84,115.16,117.84,118.12,114.011,926676.0,0.0,1.0
2018-04-05,119.22,119.07,119.22,120.32,118.33,1062906.0,0.0,1.0
2018-04-06,117.69,118.3,117.69,119.81,117.08,1082266.0,0.0,1.0
2018-04-09,118.3,118.12,118.3,120.25,118.12,1116529.0,0.0,1.0
2018-04-10,120.53,120.37,120.53,120.98,119.115,863802.0,0.0,1.0
2018-04-11,120.39,120.09,120.39,121.58,120.09,919347.0,0.0,1.0
2018-04-12,121.71,121.33,121.71,123.05,121.12,881888.0,0.0,1.0
2018-04-13,122.0,122.63,122.0,123.26,121.48,975188.0,0.0,1.0
2018-04-16,123.79,122.8,123.79,124.21,122.78,1003458.0,0.0,1.0
2018-04-17,125.76,125.07,125.76,125.97,124.56,1273821.0,0.0,1.0
2018-04-18,126.64,126.17,126.64,127.09,125.39,1336902.0,0.0,1.0
2018-04-19,125.19,126.52,125.19,127.155,125.05,1091048.0,0.0,1.0
2018-04-20,124.79,125.2,124.79,126.4,124.48,1446498.0,0.0,1.0
2018-04-23,123.88,124.95,123.88,125.4,123.27,1364473.0,0.0,1.0
2018-04-24,118.0,124.73,118.0,125.13,117.3,2649895.0,0.0,1.0
2018-04-25,118.61,118.28,118.61,119.55,116.59,1315337.0,0.0,1.0
2018-04-26,120.9,119.2,120.9,121.35,119.16,1319972.0,0.0,1.0
2018-04-27,118.3,120.59,118.3,120.59,116.15,1149857.0,0.0,1.0
2018-04-30,117.42,118.88,117.42,119.64,117.135,739265.0,0.0,1.0
2018-05-01,117.94,117.13,117.94,118.02,116.31,748565.0,0.0,1.0
2018-05-02,118.05,118.04,118.05,118.91,117.27,698958.0,0.0,1.0
2018-05-03,120.0,117.89,120.0,120.18,117.55,908308.0,0.0,1.0
2018-05-04,122.31,119.57,122.31,122.585,119.08,1249518.0,0.0,1.0
2018-05-07,122.42,122.54,122.42,122.95,121.47,762472.0,0.0,1.0
2018-05-08,122.67,122.47,122.67,123.165,121.24,853872.0,0.0,1.0
2018-05-09,123.33,122.77,123.33,123.72,122.46,662679.0,0.0,1.0
2018-05-10,124.59,123.98,124.59,124.87,123.464,738846.0,0.0,1.0
2018-05-11,125.65,124.7,125.65,125.81,123.8,750791.0,0.0,1.0
2018-05-14,126.65,125.84,126.65,128.35,125.84,2257919.0,0.0,1.0
2018-05-15,126.66,126.32,126.66,127.37,125.13,953093.0,0.0,1.0
2018-05-16,127.12,126.33,127.12,128.09,126.14,1019410.0,0.0,1.0
2018-05-17,127.36,127.07,127.36,128.2,126.81,717210.0,0.0,1.0
2018-05-18,127.67,126.65,127.67,128.19,125.551,3268416.0,0.0,1.0
2018-05-21,128.32,128.03,128.32,128.5675,127.15,975876.0,0.0,1.0
2018-05-22,127.84,128.99,127.84,128.999,127.53,662341.0,0.0,1.0
2018-05-23,128.21,126.78,128.21,128.3,126.52,663220.0,0.0,1.0
2018-05-24,128.17,128.14,128.17,129.0,127.08,604085.0,0.0,1.0
2018-05-25,128.51,128.18,128.51,128.81,127.79,558069.0,0.0,1.0
2018-05-29,128.89,127.71,128.89,129.0,127.18,522715.0,0.0,1.0
2018-05-30,130.74,129.58,130.74,130.89,129.38,627115.0,0.0,1.0
2018-05-31,130.44,130.65,130.44,131.44,129.98,838083.0,0.0,1.0
2018-06-01,132.57,131.35,132.57,133.08,131.35,565720.0,0.0,1.0
2018-06-04,134.87,132.83,134.87,135.06,132.25,1112855.0,0.0,1.0
2018-06-05,135.83,135.09,135.83,136.55,134.95,948168.0,0.0,1.0
2018-06-06,137.11,135.82,137.11,137.15,134.62,704284.0,0.0,1.0
2018-06-07,136.54,137.4,136.54,137.645,135.195,563068.0,0.0,1.0
2018-06-08,137.87,136.0,137.87,138.26,135.2,741077.0,0.0,1.0
2018-06-11,137.9,137.88,137.9,138.41,137.2,489939.0,0.0,1.0
2018-06-12,139.91,138.27,139.91,140.01,137.9,1214841.0,0.0,1.0
2018-06-13,139.34,139.56,139.34,141.0,138.66,1164130.0,0.0,1.0
2018-06-14,141.22,139.82,141.22,141.44,139.68,1211882.0,0.0,1.0
2018-06-15,142.27,140.99,142.27,142.43,140.54,1548129.0,0.0,1.0
2018-06-18,145.19,142.15,145.19,145.57,141.78,1080783.0,0.0,1.0
2018-06-19,143.47,143.64,143.47,144.63,142.36,1343070.0,0.0,1.0
2018-06-20,142.3,144.61,142.3,144.92,141.4,1544821.0,0.0,1.0
2018-06-21,140.32,142.26,140.32,142.26,139.12,1073927.0,0.0,1.0
2018-06-22,138.68,140.47,138.68,140.88,138.35,1974221.0,0.0,1.0
2018-06-25,135.72,138.2,135.72,138.2,135.21,930394.0,0.0,1.0
2018-06-26,136.58,136.44,136.58,137.73,135.7,866649.0,0.0,1.0
2018-06-27,135.4,136.87,135.4,138.13,135.15,1028947.0,0.0,1.0
2018-06-28,137.65,135.0,137.65,138.05,134.84,560227.0,0.0,1.0
