date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,159.27,152.63,159.27,159.79,151.35,2975757.0,0.0,1.0
2018-02-07,155.67,157.1,155.67,160.11,155.615,1801475.0,0.0,1.0
2018-02-08,151.6,155.32,151.6,157.62,151.59,2550522.0,0.0,1.0
2018-02-09,152.96,152.92,152.96,154.63,146.21,2553834.0,0.0,1.0
2018-02-12,152.01,153.41,152.01,154.18,148.61,2169292.0,0.0,1.0
2018-02-13,154.14,151.4,154.14,155.49,150.99,1564667.0,0.0,1.0
2018-02-14,157.26,152.63,157.26,158.24,152.32,1901860.0,0.0,1.0
2018-02-15,160.94,158.36,160.94,161.08,157.16,1221047.0,0.0,1.0
2018-02-16,160.72,160.85,160.72,162.07,159.39,961975.0,0.0,1.0
2018-02-20,160.98,158.49,160.98,164.01,158.01,1120942.0,0.0,1.0
2018-02-21,157.89,160.63,157.89,161.72,157.83,1147567.0,0.0,1.0
2018-02-22,157.59,161.5,157.59,162.32,157.0,1627746.0,0.0,1.0
2018-02-23,165.9,159.01,165.9,165.98,158.1,1556032.0,0.0,1.0
2018-02-26,169.54,166.92,169.54,170.36,166.03,1762661.0,0.0,1.0
2018-02-27,165.88,168.99,165.88,170.89,165.72,1371733.0,0.0,1.0
2018-02-28,166.03,166.7,166.03,169.5409,164.63,1996879.0,0.0,1.0
2018-03-01,165.83,165.68,165.83,168.0,163.61,2028742.0,0.0,1.0
2018-03-02,170.06,163.08,170.06,170.22,161.89,2111944.0,0.0,1.0
2018-03-05,173.16,168.49,173.16,173.45,167.17,1882421.0,0.0,1.0
2018-03-06,168.72,173.33,168.72,173.85,166.05,2176828.0,0.0,1.0
2018-03-07,170.17,167.94,170.17,170.77,167.906,1215786.0,0.0,1.0
2018-03-08,171.88,170.39,171.88,171.98,169.18,1009333.0,0.0,1.0
2018-03-09,176.26,173.26,176.26,176.31,171.76,1358509.0,0.0,1.0
2018-03-12,177.13,176.5,177.13,178.15,174.8,1252708.0,0.0,1.0
