date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,202.72,200.39,202.72,204.42,197.82,852041.0,0.0,1.0
2018-02-07,201.98,202.2,201.98,204.985,201.87,388341.0,0.0,1.0
2018-02-08,191.79,201.85,191.79,202.91,191.53,896990.0,0.0,1.0
2018-02-09,193.59,194.0,193.59,195.74,187.66,616800.0,0.0,1.0
2018-02-12,198.45,194.95,198.45,200.39,194.105,613906.0,0.0,1.0
2018-02-13,200.2,197.5,200.2,201.15,196.35,367668.0,0.0,1.0
2018-02-14,204.62,198.71,204.62,204.79,196.99,483115.0,0.0,1.0
2018-02-15,206.9,206.46,206.9,206.95,204.47,465143.0,0.0,1.0
2018-02-16,206.18,206.47,206.18,208.5,205.06,341482.0,0.0,1.0
2018-02-20,203.87,204.75,203.87,206.17,203.175,437235.0,0.0,1.0
2018-02-21,204.23,203.89,204.23,209.03,203.86,429094.0,0.0,1.0
2018-02-22,204.47,205.38,204.47,207.41,203.44,433438.0,0.0,1.0
2018-02-23,208.47,205.47,208.47,208.65,202.8,391079.0,0.0,1.0
2018-02-26,208.45,208.98,208.45,208.98,206.035,322517.0,0.0,1.0
2018-02-27,206.11,208.19,206.11,209.11,205.295,367815.0,0.0,1.0
2018-02-28,204.64,206.63,204.64,209.48,204.63,469035.0,0.0,1.0
2018-03-01,198.17,204.81,198.17,205.85,197.631,490952.0,0.0,1.0
2018-03-02,200.11,196.7,200.11,200.39,196.2,347531.0,0.0,1.0
2018-03-05,201.38,198.84,201.38,202.36,198.02,394794.0,0.0,1.0
2018-03-06,205.32,201.56,205.32,205.4,200.73,467218.0,0.0,1.0
2018-03-07,207.5,203.27,207.5,208.31,202.48,388977.0,0.0,1.0
2018-03-08,208.96,208.67,208.96,209.32,206.64,455995.0,0.0,1.0
2018-03-09,212.7,209.1,212.7,213.37,209.1,351752.0,0.0,1.0
2018-03-12,212.87,212.9,212.87,213.57,211.53,333153.0,0.0,1.0
2018-03-13,212.13,214.0,212.13,214.0,211.305,402862.0,0.0,1.0
2018-03-14,211.22,212.98,211.22,213.27,210.85,326020.0,0.0,1.0
2018-03-15,212.34,211.04,212.34,214.37,210.1,328116.0,0.0,1.0
2018-03-16,213.18,212.78,213.18,213.88,211.615,452448.0,0.0,1.0
2018-03-19,212.98,213.07,212.98,214.22,210.82,540196.0,0.0,1.0
2018-03-20,214.46,212.59,214.46,215.34,211.34,668284.0,0.0,1.0
2018-03-21,211.18,214.84,211.18,214.93,210.0,368104.0,0.0,1.0
2018-03-22,204.61,208.95,204.61,210.37,204.0244,438460.0,0.0,1.0
2018-03-23,199.51,205.04,199.51,206.32,199.115,372700.0,0.0,1.0
2018-03-26,204.2,201.6,204.2,204.35,199.87,532461.0,0.0,1.0
2018-03-27,200.52,205.22,200.52,206.57,199.45,594394.0,0.0,1.0
2018-03-28,198.57,201.39,198.57,202.5,197.55,632904.0,0.0,1.0
2018-03-29,198.65,200.14,198.65,200.86,197.73,885088.0,0.0,1.0
2018-04-02,195.98,198.81,195.98,200.415,192.96,557485.0,0.0,1.0
2018-04-03,198.81,197.36,198.81,199.77,195.96,442470.0,0.0,1.0
2018-04-04,201.62,196.33,201.62,202.05,195.16,549454.0,0.0,1.0
2018-04-05,201.7,202.67,201.7,203.12,200.59,394497.0,0.0,1.0
2018-04-06,194.88,200.44,194.88,202.54,193.16,442200.0,0.0,1.0
2018-04-09,198.48,196.15,198.48,201.78,195.67,864118.0,0.0,1.0
2018-04-10,203.32,201.36,203.32,203.76,200.55,614034.0,0.0,1.0
2018-04-11,200.63,201.04,200.63,202.82,199.89,399600.0,0.0,1.0
2018-04-12,202.32,202.04,202.32,203.95,201.06,317953.0,0.0,1.0
2018-04-13,202.32,203.0,202.32,203.1,201.05,295906.0,0.0,1.0
2018-04-16,206.19,204.3,206.19,208.07,203.51,364472.0,0.0,1.0
2018-04-17,207.6,207.28,207.6,207.94,205.89,259636.0,0.0,1.0
2018-04-18,210.05,208.1,210.05,211.31,207.62,342406.0,0.0,1.0
2018-04-19,207.39,209.87,207.39,210.4,206.42,356639.0,0.0,1.0
2018-04-20,208.21,208.0,208.21,208.7,206.5,441169.0,0.0,1.0
2018-04-23,209.6,208.96,209.6,211.78,208.21,607336.0,0.0,1.0
2018-04-24,193.18,192.49,193.18,197.37,189.35,2426559.0,0.0,1.0
2018-04-25,191.66,193.49,191.66,195.3,188.75,1266514.0,0.0,1.0
2018-04-26,191.17,192.32,191.17,193.23,190.58,745954.0,0.0,1.0
2018-04-27,190.5,191.05,190.5,191.33,189.7,537190.0,0.0,1.0
2018-04-30,188.41,191.12,188.41,192.25,188.36,629192.0,0.0,1.0
2018-05-01,188.72,188.36,188.72,189.7,187.28,745537.0,0.0,1.0
2018-05-02,189.19,187.81,189.19,191.43,187.47,591995.0,0.0,1.0
2018-05-03,190.04,188.57,190.04,190.6599,187.54,768667.0,0.0,1.0
2018-05-04,191.58,188.75,191.58,192.9,187.71,402351.0,0.0,1.0
2018-05-07,192.61,192.09,192.61,195.07,192.09,464509.0,0.0,1.0
2018-05-08,192.27,192.23,192.27,192.97,191.1,563732.0,0.0,1.0
2018-05-09,193.38,193.37,193.38,194.84,191.4,603158.0,0.0,1.0
2018-05-10,196.17,194.37,196.17,196.35,193.51,376691.0,0.0,1.0
2018-05-11,196.52,196.42,196.52,197.73,195.1525,446940.0,0.0,1.0
2018-05-14,196.96,196.64,196.96,197.39,195.47,593878.0,0.0,1.0
2018-05-15,190.0,195.0,190.0,195.0,189.87,1068564.0,0.0,1.0
2018-05-16,190.65,190.0,190.65,191.4,189.21,836274.0,0.0,1.0
2018-05-17,190.48,190.51,190.48,191.62,189.92,383472.0,0.0,1.0
2018-05-18,194.16,191.11,194.16,195.35,191.07,611900.0,0.0,1.0
2018-05-21,196.3,194.95,196.3,196.96,194.365,290454.0,0.0,1.0
2018-05-22,195.98,196.92,195.98,197.23,195.61,459386.0,0.0,1.0
2018-05-23,194.15,194.85,194.15,195.45,193.11,490342.0,0.0,1.0
2018-05-24,194.14,193.79,194.14,195.2,192.695,492613.0,0.0,1.0
2018-05-25,190.65,193.41,190.65,193.87,189.495,469202.0,0.0,1.0
2018-05-29,190.93,189.15,190.93,191.215,187.69,577055.0,0.0,1.0
2018-05-30,193.67,192.32,193.67,195.53,192.19,464317.0,0.0,1.0
2018-05-31,192.62,193.47,192.62,194.55,191.82,820569.0,0.0,1.0
2018-06-01,195.2,194.11,195.2,195.85,193.98,436114.0,0.0,1.0
2018-06-04,194.92,195.76,194.92,196.23,194.62,552400.0,0.0,1.0
2018-06-05,196.22,195.21,196.22,196.77,194.15,406756.0,0.0,1.0
2018-06-06,201.6,196.61,201.6,202.0,195.67,753843.0,0.0,1.0
2018-06-07,202.99,201.87,202.99,203.47,199.7,873326.0,0.0,1.0
2018-06-08,205.32,202.41,205.32,205.7,202.35,521744.0,0.0,1.0
2018-06-11,206.66,205.4,206.66,207.44,204.37,539122.0,0.0,1.0
2018-06-12,208.95,206.94,208.95,209.06,205.47,499588.0,0.0,1.0
2018-06-13,209.75,209.04,209.75,210.02,208.0,710997.0,0.0,1.0
2018-06-14,200.27,205.27,200.27,206.0,197.7,2038679.0,0.0,1.0
2018-06-15,201.25,200.0,201.25,201.37,197.6,1283934.0,0.0,1.0
