date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,57.28,56.905,56.8498,58.5,55.87,82587346.0,0.0,1.0
2018-02-07,57.54,56.94,57.1079,58.115,56.75,45375651.0,0.0,1.0
2018-02-08,55.4,57.33,54.9839,57.44,55.35,43047309.0,0.0,1.0
2018-02-09,56.13,56.14,55.7085,56.54,54.72,48717319.0,0.0,1.0
2018-02-12,56.5,56.36,56.0757,57.12,55.88,24009406.0,0.0,1.0
2018-02-13,58.0,56.06,57.5644,58.09,55.95,23845218.0,0.0,1.0
2018-02-14,59.55,57.85,59.1028,59.6,57.8,22886836.0,0.0,1.0
2018-02-15,60.02,59.82,59.5692,60.1,59.15,22006404.0,0.0,1.0
2018-02-16,59.95,59.67,59.4998,60.43,59.67,18210682.0,0.0,1.0
2018-02-20,59.95,59.86,59.4998,61.2651,59.78,18075855.0,0.0,1.0
2018-02-21,59.73,59.86,59.2814,60.49,59.73,19876213.0,0.0,1.0
2018-02-22,58.81,59.88,58.3683,60.17,58.68,17934401.0,0.0,1.0
2018-02-23,59.17,59.07,58.7256,59.24,58.35,20875785.0,0.0,1.0
2018-02-26,59.97,59.75,59.5196,60.0,58.95,16281545.0,0.0,1.0
2018-02-27,59.21,60.03,58.7653,60.48,59.21,16903378.0,0.0,1.0
2018-02-28,58.41,59.47,57.9713,59.82,58.32,17630117.0,0.0,1.0
2018-03-01,57.31,58.25,56.8796,58.94,57.06,28491014.0,0.0,1.0
2018-03-02,57.41,56.92,56.9788,57.615,56.42,22428543.0,0.0,1.0
2018-03-05,57.59,56.81,57.1575,57.97,56.59,20560933.0,0.0,1.0
2018-03-06,57.07,57.71,56.6414,57.87,56.64,23975904.0,0.0,1.0
2018-03-07,56.6,56.4,56.1749,56.735,56.01,24788705.0,0.0,1.0
2018-03-08,56.72,56.75,56.294,57.02,56.23,15903447.0,0.0,1.0
2018-03-09,58.23,57.16,57.7927,58.27,57.0,17238999.0,0.0,1.0
2018-03-12,58.02,58.27,57.5843,58.56,57.96,12268932.0,0.0,1.0
2018-03-13,57.56,58.39,57.1277,58.42,57.42,13651763.0,0.0,1.0
2018-03-14,56.63,57.86,56.2047,57.9,56.45,12144497.0,0.0,1.0
2018-03-15,56.83,56.77,56.4032,57.12,56.24,9876349.0,0.0,1.0
2018-03-16,55.9,56.99,55.4802,57.17,55.87,36104598.0,0.0,1.0
2018-03-19,55.48,55.88,55.0633,55.99,54.97,17336029.0,0.0,1.0
2018-03-20,54.9,55.77,54.4877,55.89,54.655,26646553.0,0.0,1.0
2018-03-21,54.79,55.02,54.3785,55.58,54.54,17476061.0,0.0,1.0
2018-03-22,52.53,54.21,52.1355,54.28,52.175,31792203.0,0.0,1.0
2018-03-23,50.98,52.72,50.5971,52.94,50.94,30391839.0,0.0,1.0
2018-03-26,52.29,51.95,51.8973,52.55,51.52,26334835.0,0.0,1.0
2018-03-27,51.1,52.4,50.7162,52.8,50.69,22027158.0,0.0,1.0
