date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,19.81,19.28,19.4449,19.87,18.981,7238697.0,0.0,1.0
2018-02-07,19.49,19.73,19.1308,20.05,19.43,4429441.0,0.0,1.0
2018-02-08,18.81,19.47,18.4634,19.5,18.81,7514914.0,0.0,1.0
2018-02-09,19.36,18.98,19.0032,19.49,18.55,7521832.0,0.0,1.0
2018-02-12,19.77,19.46,19.4057,19.94,19.4,7002702.0,0.0,1.0
2018-02-13,19.75,19.59,19.386,19.915,19.59,7260437.0,0.0,1.0
2018-02-14,20.3,20.5,19.9259,20.74,19.83,13487316.0,0.0,1.0
2018-02-15,20.2,20.45,19.8277,20.54,20.1,7919477.0,0.0,1.0
2018-02-16,20.26,20.15,19.8866,20.45,20.11,7235241.0,0.0,1.0
2018-02-20,20.25,20.24,19.8768,20.5,20.18,3902824.0,0.0,1.0
2018-02-21,20.09,20.27,19.7198,20.4169,20.09,3709792.0,0.0,1.0
2018-02-22,20.09,20.2,19.7198,20.38,20.06,4950210.0,0.0,1.0
2018-02-23,20.24,20.25,19.867,20.26,20.015,3509000.0,0.0,1.0
2018-02-26,20.3,20.31,19.9259,20.4,20.18,2983810.0,0.0,1.0
2018-02-27,19.99,20.3,19.6216,20.38,19.97,5282992.0,0.0,1.0
2018-02-28,19.82,20.1,19.4548,20.15,19.75,5399769.0,0.0,1.0
2018-03-01,19.66,19.84,19.2977,20.01,19.5,5527480.0,0.0,1.0
2018-03-02,19.87,19.55,19.5038,19.89,19.485,3105124.0,0.0,1.0
2018-03-05,19.9,19.74,19.5333,20.07,19.67,7196894.0,0.0,1.0
2018-03-06,19.9,19.96,19.5333,19.995,19.72,2926521.0,0.0,1.0
2018-03-07,19.96,19.77,19.5922,20.01,19.76,2503357.0,0.0,1.0
2018-03-08,19.66,19.97,19.2977,19.98,19.6,3966393.0,0.0,1.0
2018-03-09,20.17,19.82,19.7983,20.185,19.8,4359052.0,0.0,1.0
2018-03-12,20.13,20.21,19.759,20.37,20.055,5393020.0,0.0,1.0
2018-03-13,20.37,20.23,19.9946,20.55,20.23,6224394.0,0.0,1.0
2018-03-14,20.31,20.49,19.9357,20.515,20.23,5848380.0,0.0,1.0
2018-03-15,20.02,20.16,19.8376,20.285,19.805,5321093.0,0.19,1.0
2018-03-16,20.04,20.07,19.8574,20.215,20.03,18883367.0,0.0,1.0
2018-03-19,19.64,20.0,19.461,20.01,19.515,4008771.0,0.0,1.0
2018-03-20,19.75,19.64,19.57,19.925,19.58,4317240.0,0.0,1.0
2018-03-21,19.68,19.78,19.5007,19.865,19.625,2549468.0,0.0,1.0
2018-03-22,19.35,19.48,19.1737,19.765,19.34,4537924.0,0.0,1.0
2018-03-23,19.0,19.37,18.8269,19.43,18.98,3644811.0,0.0,1.0
2018-03-26,19.21,19.17,19.0349,19.29,18.835,3487107.0,0.0,1.0
2018-03-27,18.89,19.22,18.7179,19.29,18.78,5393243.0,0.0,1.0
2018-03-28,19.22,18.95,19.0449,19.35,18.9175,5863189.0,0.0,1.0
2018-03-29,19.23,19.3,19.0548,19.5199,19.22,3681060.0,0.0,1.0
2018-04-02,18.93,19.19,18.7575,19.24,18.755,3916823.0,0.0,1.0
2018-04-03,18.69,18.5,18.5197,18.75,18.38,7619449.0,0.0,1.0
2018-04-04,19.09,18.43,18.916,19.16,18.43,5699344.0,0.0,1.0
2018-04-05,19.08,19.22,18.9061,19.25,18.86,4687181.0,0.0,1.0
2018-04-06,18.65,19.02,18.48,19.11,18.46,4013952.0,0.0,1.0
2018-04-09,18.71,18.74,18.5395,18.915,18.68,3267026.0,0.0,1.0
2018-04-10,19.04,18.93,18.8665,19.09,18.87,3872060.0,0.0,1.0
2018-04-11,18.92,18.93,18.7476,19.11,18.86,3185573.0,0.0,1.0
2018-04-12,19.01,19.03,18.8368,19.08,18.92,2038591.0,0.0,1.0
2018-04-13,18.88,19.13,18.708,19.13,18.82,2712351.0,0.0,1.0
2018-04-16,19.14,18.93,18.9656,19.15,18.93,4939330.0,0.0,1.0
2018-04-17,19.41,19.23,19.2331,19.46,19.18,4406459.0,0.0,1.0
2018-04-18,19.37,19.46,19.1935,19.51,19.345,3604984.0,0.0,1.0
2018-04-19,19.41,19.38,19.2331,19.54,19.27,3261552.0,0.0,1.0
2018-04-20,19.08,19.41,18.9061,19.445,19.01,2998324.0,0.0,1.0
2018-04-23,19.14,19.11,18.9656,19.24,19.01,2609688.0,0.0,1.0
2018-04-24,19.02,19.27,18.8467,19.33,18.91,3915891.0,0.0,1.0
2018-04-25,19.15,19.01,18.9755,19.23,18.925,3673358.0,0.0,1.0
2018-04-26,19.58,19.26,19.4016,19.62,19.16,4490642.0,0.0,1.0
2018-04-27,19.34,19.64,19.1638,19.64,19.3,3092559.0,0.0,1.0
2018-04-30,19.75,19.41,19.57,19.77,19.33,5153104.0,0.0,1.0
2018-05-01,19.91,19.7,19.7286,20.1,19.61,7472274.0,0.0,1.0
2018-05-02,19.25,20.13,19.0746,20.32,19.21,7339545.0,0.0,1.0
2018-05-03,19.4,19.13,19.2232,19.415,19.03,5418600.0,0.0,1.0
2018-05-04,19.61,19.28,19.4313,19.695,19.13,4795005.0,0.0,1.0
2018-05-07,19.78,19.66,19.5998,19.83,19.475,6751537.0,0.0,1.0
2018-05-08,19.72,19.71,19.5403,19.845,19.6,3916299.0,0.0,1.0
2018-05-09,19.92,19.76,19.7385,19.96,19.705,3620043.0,0.0,1.0
2018-05-10,20.06,19.92,19.8772,20.105,19.86,2827015.0,0.0,1.0
2018-05-11,19.88,20.03,19.6988,20.03,19.83,3864008.0,0.0,1.0
2018-05-14,19.75,19.91,19.57,19.95,19.64,5085862.0,0.0,1.0
2018-05-15,20.03,19.62,19.8475,20.03,19.56,3652334.0,0.0,1.0
2018-05-16,20.02,20.03,19.8376,20.25,19.92,4001701.0,0.0,1.0
2018-05-17,20.11,20.02,19.9267,20.15,19.94,3845350.0,0.0,1.0
2018-05-18,20.09,20.05,19.9069,20.205,19.985,3196061.0,0.0,1.0
2018-05-21,20.14,20.2,19.9565,20.24,20.05,3039876.0,0.0,1.0
2018-05-22,20.2,20.15,20.0159,20.285,20.15,4248272.0,0.0,1.0
2018-05-23,20.12,20.07,19.9367,20.205,20.015,3221434.0,0.0,1.0
2018-05-24,20.06,20.08,19.8772,20.17,19.85,4319090.0,0.0,1.0
2018-05-25,20.0,20.02,19.8177,20.14,19.9,3052193.0,0.0,1.0
2018-05-29,19.7,19.86,19.5205,19.99,19.61,4505241.0,0.0,1.0
2018-05-30,19.95,19.83,19.7682,20.02,19.78,3578829.0,0.0,1.0
2018-05-31,19.89,19.96,19.7087,19.985,19.84,5190241.0,0.0,1.0
2018-06-01,20.06,20.0,19.8772,20.215,19.98,3524150.0,0.0,1.0
2018-06-04,20.36,20.11,20.1745,20.44,20.09,3227862.0,0.0,1.0
2018-06-05,20.62,20.44,20.4321,20.82,20.4,9625985.0,0.0,1.0
2018-06-06,20.95,20.69,20.7591,20.95,20.59,3542953.0,0.0,1.0
2018-06-07,20.78,20.94,20.5906,21.04,20.68,3698441.0,0.0,1.0
2018-06-08,20.81,20.75,20.6204,20.92,20.65,4232592.0,0.0,1.0
2018-06-11,20.89,20.82,20.6996,20.96,20.77,6489556.0,0.0,1.0
2018-06-12,21.1,20.91,20.9077,21.17,20.9,4685837.0,0.0,1.0
2018-06-13,20.97,21.1,20.7789,21.115,20.89,3832982.0,0.0,1.0
2018-06-14,20.66,20.89,20.66,21.13,20.65,4724924.0,0.19,1.0
2018-06-15,20.69,20.64,20.69,20.72,20.42,5742801.0,0.0,1.0
2018-06-18,20.76,20.59,20.76,20.905,20.59,3977505.0,0.0,1.0
2018-06-19,21.0,20.58,21.0,21.04,20.55,5695828.0,0.0,1.0
2018-06-20,21.18,21.01,21.18,21.365,21.0,7243495.0,0.0,1.0
2018-06-21,21.08,21.22,21.08,21.37,21.04,2932332.0,0.0,1.0
2018-06-22,21.14,21.19,21.14,21.27,21.095,6312716.0,0.0,1.0
2018-06-25,20.78,21.0,20.78,21.02,20.64,3934081.0,0.0,1.0
2018-06-26,20.62,20.8,20.62,20.87,20.61,4446865.0,0.0,1.0
2018-06-27,20.31,20.66,20.31,20.73,20.3,4178093.0,0.0,1.0
