date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,163.22,163.5,162.0929,167.6576,162.24,3622430.0,0.0,1.0
2018-02-07,177.32,175.56,176.0955,180.1,172.95,15686778.0,0.0,1.0
2018-02-08,169.28,178.2,168.111,179.2,169.15,5033064.0,0.0,1.0
2018-02-09,166.22,168.65,165.0722,168.74,160.89,5336269.0,0.0,1.0
2018-02-12,162.92,167.62,161.7949,167.76,162.0,3411549.0,0.0,1.0
2018-02-13,164.66,163.0,163.5229,165.55,162.49,2092246.0,0.0,1.0
2018-02-14,164.16,163.51,163.5229,165.38,162.55,2108131.0,0.5,1.0
2018-02-15,164.01,164.58,163.3735,166.29,161.8,2634982.0,0.0,1.0
2018-02-16,164.28,164.11,163.6425,167.38,162.51,3424670.0,0.0,1.0
2018-02-20,164.92,163.88,164.28,166.92,163.28,1901004.0,0.0,1.0
2018-02-21,166.36,164.69,165.7144,169.0,164.54,1951139.0,0.0,1.0
2018-02-22,164.19,166.39,163.5528,167.67,162.07,2507279.0,0.0,1.0
2018-02-23,167.13,165.0,166.4814,167.4,164.11,1892353.0,0.0,1.0
2018-02-26,169.0,168.07,168.3441,169.72,167.21,1768824.0,0.0,1.0
2018-02-27,168.75,169.42,168.0951,169.65,166.51,1990660.0,0.0,1.0
2018-02-28,167.5,168.74,166.85,169.95,166.83,2513351.0,0.0,1.0
2018-03-01,163.42,168.25,162.7858,168.46,163.26,2561471.0,0.0,1.0
2018-03-02,163.06,161.78,162.4272,163.5,156.54,4147623.0,0.0,1.0
2018-03-05,165.06,161.33,164.4194,166.72,158.66,2803580.0,0.0,1.0
2018-03-06,166.78,166.63,166.1328,167.3,164.01,1257555.0,0.0,1.0
2018-03-07,168.41,165.12,167.7564,169.23,164.62,1551927.0,0.0,1.0
2018-03-08,179.11,173.24,178.4149,180.52,171.6,6276456.0,0.0,1.0
2018-03-09,188.89,189.22,188.157,192.75,184.41,9386455.0,0.0,1.0
2018-03-12,191.79,189.21,191.0457,192.32,188.18,4953802.0,0.0,1.0
2018-03-13,185.41,191.69,184.6905,191.75,184.71,3748496.0,0.0,1.0
2018-03-14,185.22,185.92,184.5012,187.29,183.671,2009138.0,0.0,1.0
2018-03-15,186.21,185.0,185.4874,187.64,184.7,1489561.0,0.0,1.0
2018-03-16,184.76,186.78,184.043,187.12,183.86,2007960.0,0.0,1.0
2018-03-19,181.62,183.7,180.9152,183.7,180.31,1404354.0,0.0,1.0
2018-03-20,184.19,181.62,183.4752,185.8,181.0213,1725504.0,0.0,1.0
2018-03-21,178.92,183.04,178.2257,183.04,178.59,5668775.0,0.0,1.0
2018-03-22,175.54,176.68,174.8588,179.24,174.06,3728241.0,0.0,1.0
2018-03-23,175.88,182.28,175.1974,183.91,174.42,5902348.0,0.0,1.0
2018-03-26,177.0,177.89,176.3131,179.3,173.84,2392001.0,0.0,1.0
2018-03-27,177.73,179.15,177.0403,183.2,176.6,2936504.0,0.0,1.0
2018-03-28,176.04,176.94,175.3568,177.43,173.06,2262613.0,0.0,1.0
2018-03-29,182.36,177.57,181.6523,182.9,177.13,3300738.0,0.0,1.0
2018-04-02,181.0,184.78,180.2976,186.29,178.95,2561183.0,0.0,1.0
2018-04-03,180.3,183.05,179.6003,183.5038,177.36,2019136.0,0.0,1.0
2018-04-04,179.58,177.09,178.8831,179.97,175.76,2022212.0,0.0,1.0
2018-04-05,181.24,180.34,180.5366,183.165,178.8,1619608.0,0.0,1.0
2018-04-06,178.49,183.05,177.7973,184.6511,176.815,2809602.0,0.0,1.0
2018-04-09,180.38,179.0,179.68,182.07,177.03,1896867.0,0.0,1.0
2018-04-10,183.28,183.0,182.5687,184.14,181.52,1981811.0,0.0,1.0
2018-04-11,179.83,182.17,179.1321,183.49,179.63,1180931.0,0.0,1.0
2018-04-12,186.64,180.85,185.9157,188.0,180.21,3135939.0,0.0,1.0
2018-04-13,183.81,187.42,183.0967,187.84,182.65,1477452.0,0.0,1.0
2018-04-16,188.7,184.49,187.9677,188.76,182.375,1887857.0,0.0,1.0
2018-04-17,190.65,190.04,189.9101,191.788,188.7,2068605.0,0.0,1.0
2018-04-18,192.91,191.45,192.1614,194.3,190.78,1847212.0,0.0,1.0
2018-04-19,191.65,193.63,190.9062,194.19,190.3417,1845425.0,0.0,1.0
2018-04-20,192.51,191.15,191.7629,193.11,190.1845,1902793.0,0.0,1.0
2018-04-23,193.24,193.01,192.4901,194.06,189.57,1777314.0,0.0,1.0
2018-04-24,190.0,193.74,189.2627,194.6599,186.89,3979449.0,0.0,1.0
2018-04-25,182.89,185.17,182.1802,186.47,179.22,4413670.0,0.0,1.0
2018-04-26,184.26,183.23,183.5449,184.7,180.05,2336832.0,0.0,1.0
2018-04-27,185.11,185.31,184.3916,187.63,183.47,2057686.0,0.0,1.0
2018-04-30,186.19,185.98,185.4674,188.32,185.16,2299074.0,0.0,1.0
2018-05-01,191.85,188.43,191.1055,192.45,188.02,2864403.0,0.0,1.0
2018-05-02,191.03,191.23,190.2887,193.43,189.32,1816394.0,0.0,1.0
2018-05-03,191.62,190.79,190.8764,192.3,188.23,1781337.0,0.0,1.0
2018-05-04,192.41,190.54,191.6633,195.32,190.36,2312339.0,0.0,1.0
2018-05-07,191.91,192.84,191.1652,193.47,190.12,1935951.0,0.0,1.0
2018-05-08,191.75,191.59,191.0059,193.185,190.95,1261614.0,0.0,1.0
2018-05-09,199.21,191.48,198.4369,199.26,190.5,3152418.0,0.0,1.0
2018-05-10,201.51,199.7523,200.728,202.48,196.81,2749275.0,0.0,1.0
2018-05-11,195.65,201.01,194.8907,201.4948,195.26,1899767.0,0.0,1.0
2018-05-14,191.63,195.442,190.8863,196.47,190.94,2624880.0,0.0,1.0
2018-05-15,190.92,191.61,190.1791,192.27,188.38,1883056.0,0.0,1.0
2018-05-16,192.51,190.16,192.51,193.58,189.45,1672909.0,0.75,1.0
2018-05-17,189.98,192.75,189.98,194.36,189.24,1721512.0,0.0,1.0
2018-05-18,189.03,189.77,189.03,192.05,187.97,1319351.0,0.0,1.0
2018-05-21,194.18,192.29,194.18,196.39,191.81,2492886.0,0.0,1.0
2018-05-22,193.88,194.24,193.88,195.0,192.18,1195167.0,0.0,1.0
2018-05-23,194.61,192.69,194.61,194.74,191.95,1247104.0,0.0,1.0
2018-05-24,193.65,194.68,193.65,195.1394,193.46,814874.0,0.0,1.0
2018-05-25,194.21,193.52,194.21,195.25,192.7,1166512.0,0.0,1.0
2018-05-29,193.39,192.29,193.39,194.45,191.07,1048176.0,0.0,1.0
2018-05-30,195.67,194.05,195.67,196.3,193.52,1301758.0,0.0,1.0
2018-05-31,196.01,195.92,196.01,197.68,193.11,2240511.0,0.0,1.0
2018-06-01,192.5,193.0,192.5,194.075,187.42,3732499.0,0.0,1.0
2018-06-04,182.83,191.81,182.83,192.48,181.16,5783503.0,0.0,1.0
2018-06-05,176.88,182.49,176.88,184.43,174.93,7194503.0,0.0,1.0
2018-06-06,179.51,178.11,179.51,180.21,174.61,5006890.0,0.0,1.0
2018-06-07,176.25,179.21,176.25,179.75,175.7425,2686067.0,0.0,1.0
2018-06-08,178.12,176.64,178.12,179.89,176.25,2434221.0,0.0,1.0
2018-06-11,180.82,179.44,180.82,183.37,179.06,3906566.0,0.0,1.0
2018-06-12,179.39,182.1,179.39,183.15,179.2,2898335.0,0.0,1.0
2018-06-13,176.42,179.68,176.42,179.875,176.05,3365543.0,0.0,1.0
2018-06-14,176.25,176.9,176.25,177.383,175.01,2440721.0,0.0,1.0
2018-06-15,173.31,174.2,173.31,174.82,172.2668,3246004.0,0.0,1.0
2018-06-18,175.09,172.21,175.09,176.03,172.14,2412479.0,0.0,1.0
2018-06-19,172.42,172.8,172.42,175.37,171.82,2795596.0,0.0,1.0
2018-06-20,174.44,174.21,174.44,176.73,173.88,2128183.0,0.0,1.0
2018-06-21,172.0,173.81,172.0,174.5,171.28,1898801.0,0.0,1.0
2018-06-22,170.14,172.56,170.14,172.99,169.77,3024311.0,0.0,1.0
2018-06-25,166.54,168.5,166.54,170.72,165.52,2734122.0,0.0,1.0
2018-06-26,167.2,166.63,167.2,168.33,165.451,1885130.0,0.0,1.0
2018-06-27,163.91,166.7,163.91,169.2858,163.81,2067867.0,0.0,1.0
2018-06-28,164.01,163.19,164.01,165.01,162.02,1401136.0,0.0,1.0
