date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,76.7872,78.51,76.9,1.0,80.35,78.35,36178748.0,0.0
2018-02-07,75.4053,78.44,76.92,1.0,79.41,76.94,21669549.0,0.0
2018-02-08,74.5527,77.44,76.03,1.0,77.58,76.07,25441223.0,0.0
2018-02-09,75.0231,76.25,73.9,1.0,76.48,75.78,28642694.0,0.77
2018-02-12,75.6567,77.05,75.841,1.0,77.621,76.42,19095387.0,0.0
2018-02-13,75.5379,76.1,75.73,1.0,76.75,76.3,11846694.0,0.0
2018-02-14,75.6963,75.79,75.165,1.0,76.66,76.46,16741063.0,0.0
2018-02-15,75.4488,76.62,75.45,1.0,76.7,76.21,14030212.0,0.0
2018-02-16,75.7755,76.15,75.85,1.0,77.12,76.54,13674350.0,0.0
2018-02-20,74.9934,76.47,75.461,1.0,77.47,75.75,12753690.0,0.0
2018-02-21,74.142,75.82,74.87,1.0,76.435,74.89,11347176.0,0.0
2018-02-22,75.1023,75.3,75.185,1.0,76.84,75.86,13399232.0,0.0
2018-02-23,76.7556,76.09,75.95,1.0,77.62,77.53,12685294.0,0.0
2018-02-26,78.0526,77.74,77.56,1.0,78.93,78.84,16733474.0,0.0
2018-02-27,76.7259,79.0,77.5,1.0,79.87,77.5,14420126.0,0.0
2018-02-28,74.9835,78.16,75.7,1.0,78.25,75.74,16453545.0,0.0
2018-03-01,74.4489,75.53,74.855,1.0,76.6808,75.2,15696665.0,0.0
2018-03-02,74.7954,74.89,74.48,1.0,75.87,75.55,15630250.0,0.0
2018-03-05,75.5082,75.23,75.121,1.0,76.56,76.27,14890975.0,0.0
2018-03-06,75.4191,76.67,75.861,1.0,76.98,76.18,10754291.0,0.0
2018-03-07,73.5183,75.0,73.56,1.0,75.24,74.26,27255463.0,0.0
2018-03-08,73.3797,74.5,73.69,1.0,74.77,74.12,18633737.0,0.0
2018-03-09,73.8153,74.82,74.21,1.0,75.06,74.56,19385382.0,0.0
2018-03-12,74.4885,74.87,74.69,1.0,75.58,75.24,14070886.0,0.0
2018-03-13,73.7856,75.33,74.25,1.0,75.82,74.53,13408868.0,0.0
2018-03-14,72.8649,74.64,73.53,1.0,74.79,73.6,14683884.0,0.0
2018-03-15,73.6767,74.35,74.1,1.0,75.0,74.42,14431472.0,0.0
2018-03-16,74.3697,74.36,74.36,1.0,75.12,75.12,30035185.0,0.0
2018-03-19,73.4094,75.0,73.865,1.0,75.01,74.15,12112007.0,0.0
2018-03-20,73.251,74.22,73.95,1.0,74.7,73.99,12832959.0,0.0
2018-03-21,74.2905,74.23,73.98,1.0,75.64,75.04,14813757.0,0.0
