date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,122.3,121.0,121.7666,122.93,119.5,2112083.0,0.0,1.0
2018-02-07,120.78,121.65,120.2532,123.52,120.74,1145133.0,0.0,1.0
2018-02-08,115.53,120.5,115.0261,120.64,115.5,1656527.0,0.0,1.0
2018-02-09,116.39,116.05,115.8824,117.41,112.97,2142699.0,0.0,1.0
2018-02-12,116.52,116.96,116.0118,117.4935,115.05,1456370.0,0.0,1.0
2018-02-13,115.93,115.83,115.4244,116.18,114.87,1053813.0,0.0,1.0
2018-02-14,117.7,115.23,117.1866,117.96,115.23,752752.0,0.0,1.0
2018-02-15,119.79,118.15,119.2675,119.9,117.8,1262872.0,0.0,1.0
2018-02-16,120.48,119.7,119.9545,121.66,118.93,692179.0,0.0,1.0
2018-02-20,118.72,119.8,118.2022,120.72,118.5,654609.0,0.0,1.0
2018-02-21,118.68,119.33,118.1624,120.7,118.66,982483.0,0.0,1.0
2018-02-22,117.58,119.25,117.0672,120.0,117.34,874618.0,0.0,1.0
2018-02-23,118.85,118.38,118.3316,118.94,117.62,624758.0,0.0,1.0
2018-02-26,119.88,118.9,119.3571,120.03,118.4,627134.0,0.0,1.0
2018-02-27,118.14,119.92,117.6247,120.2,118.12,833269.0,0.0,1.0
2018-02-28,116.25,118.15,115.743,118.93,116.22,810326.0,0.0,1.0
2018-03-01,113.55,116.0,113.0547,116.59,112.5201,1044619.0,0.0,1.0
2018-03-02,117.05,113.23,116.5395,117.44,113.0101,1181906.0,0.0,1.0
2018-03-05,118.13,116.64,117.6148,118.66,116.26,1048505.0,0.0,1.0
2018-03-06,118.09,118.38,117.5749,118.55,116.93,1106050.0,0.0,1.0
2018-03-07,121.0,117.33,120.4723,121.66,117.33,1345883.0,0.0,1.0
2018-03-08,120.21,121.7,119.6857,121.7,119.71,1176774.0,0.0,1.0
2018-03-09,120.86,120.74,120.3329,121.435,120.14,870949.0,0.0,1.0
2018-03-12,118.26,120.91,117.7442,121.12,117.82,1877661.0,0.0,1.0
2018-03-13,117.92,118.6,117.4057,118.84,117.51,1456517.0,0.0,1.0
2018-03-14,116.24,118.54,115.733,118.745,115.79,1110312.0,0.0,1.0
2018-03-15,115.92,116.92,115.4144,117.9,115.37,1197174.0,0.0,1.0
2018-03-16,116.83,116.2,116.3204,117.48,116.2,1213376.0,0.0,1.0
2018-03-19,114.75,116.73,114.2495,116.74,113.9,888603.0,0.0,1.0
2018-03-20,114.4,115.01,113.901,115.22,113.65,923130.0,0.0,1.0
2018-03-21,114.38,114.66,113.8811,115.08,113.875,936458.0,0.0,1.0
2018-03-22,111.38,113.64,110.8942,114.42,111.32,1199350.0,0.0,1.0
2018-03-23,107.44,109.58,106.9714,110.22,107.32,2508253.0,0.0,1.0
2018-03-26,109.76,108.38,109.2813,109.92,107.69,1267233.0,0.0,1.0
2018-03-27,108.48,109.89,108.0069,110.31,107.88,1218348.0,0.0,1.0
2018-03-28,108.16,108.54,107.9272,109.64,108.09,995389.0,0.24,1.0
2018-03-29,109.04,108.79,108.8053,109.6199,107.6,1356117.0,0.0,1.0
2018-04-02,106.4,108.89,106.171,109.4,104.89,1234992.0,0.0,1.0
2018-04-03,107.14,106.49,106.9094,107.64,105.25,1154730.0,0.0,1.0
2018-04-04,107.36,106.05,107.1289,107.5,105.45,1263284.0,0.0,1.0
2018-04-05,108.35,107.89,108.1168,109.4,107.21,738974.0,0.0,1.0
2018-04-06,105.18,107.75,104.9536,107.94,104.28,861253.0,0.0,1.0
2018-04-09,106.2,105.66,105.9714,108.08,105.305,1205590.0,0.0,1.0
2018-04-10,107.29,107.07,107.0591,108.645,107.01,1189153.0,0.0,1.0
2018-04-11,106.03,106.45,105.8018,106.93,105.63,637441.0,0.0,1.0
2018-04-12,106.42,106.18,106.191,107.01,105.79,737608.0,0.0,1.0
2018-04-13,105.57,107.02,105.3428,107.335,105.02,797854.0,0.0,1.0
2018-04-16,107.24,106.21,107.0092,107.93,105.82,1328186.0,0.0,1.0
2018-04-17,108.82,107.91,108.5858,109.395,105.93,1208024.0,0.0,1.0
2018-04-18,110.08,108.75,109.8431,110.95,108.73,1579860.0,0.0,1.0
2018-04-19,110.74,110.13,110.5017,110.97,109.65,1359514.0,0.0,1.0
2018-04-20,110.32,111.06,110.0826,112.17,109.86,1541601.0,0.0,1.0
2018-04-23,111.24,110.47,111.0006,112.29,110.03,1459854.0,0.0,1.0
2018-04-24,109.44,111.62,109.2045,111.78,108.48,1000814.0,0.0,1.0
2018-04-25,110.59,108.96,110.352,110.7,108.04,1087243.0,0.0,1.0
2018-04-26,115.1,109.0,114.8523,115.232,107.69,3075241.0,0.0,1.0
2018-04-27,116.92,114.41,116.6684,117.679,112.71,1993717.0,0.0,1.0
2018-04-30,115.17,117.07,114.9221,117.51,115.02,1692361.0,0.0,1.0
