date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,68.2921,66.96,66.13,1.0,68.83,68.45,4011492.0,0.0
2018-02-07,67.903,68.19,67.905,1.0,69.085,68.06,1988104.0,0.0
2018-02-08,64.8999,68.09,65.03,1.0,68.16,65.05,4025789.0,0.0
2018-02-09,66.8255,66.4,65.29,1.0,67.53,66.98,4508293.0,0.0
2018-02-12,68.2721,67.46,67.37,1.0,69.05,68.43,4166983.0,0.0
2018-02-13,68.1823,67.97,67.66,1.0,68.49,68.34,1570583.0,0.0
2018-02-14,69.5392,67.8,67.62,1.0,69.89,69.7,3609450.0,0.0
2018-02-15,71.8538,74.94,71.22,1.0,74.99,72.02,4884299.0,0.0
2018-02-16,71.8039,71.97,71.6207,1.0,72.7,71.97,2621697.0,0.0
2018-02-20,70.916,71.5,70.7,1.0,71.85,71.08,2577134.0,0.0
2018-02-21,71.0856,71.12,70.97,1.0,72.7,71.25,1989132.0,0.0
2018-02-22,70.5169,71.72,70.51,1.0,71.76,70.68,2290240.0,0.0
2018-02-23,70.5369,71.15,70.06,1.0,71.37,70.7,3878648.0,0.0
2018-02-26,70.4172,71.0,70.01,1.0,71.21,70.58,5422043.0,0.0
2018-02-27,68.8408,70.75,69.0,1.0,70.92,69.0,3277061.0,0.0
2018-02-28,68.4317,69.42,68.57,1.0,70.0,68.59,2657196.0,0.0
2018-03-01,67.2245,68.47,66.79,1.0,68.8,67.38,2401795.0,0.0
2018-03-02,67.3542,66.82,66.65,1.0,67.68,67.51,2057260.0,0.0
2018-03-05,67.3941,67.25,66.51,1.0,67.85,67.55,1890858.0,0.0
2018-03-06,67.9529,67.78,67.45,1.0,68.42,68.11,2944632.0,0.0
2018-03-07,69.5392,67.36,67.3,1.0,69.855,69.7,3125788.0,0.0
2018-03-08,69.6888,69.72,69.19,1.0,70.27,69.85,2365939.0,0.0
2018-03-09,70.9659,70.27,70.0,1.0,71.5,71.13,1869878.0,0.0
2018-03-12,70.5469,71.2,70.67,1.0,71.53,70.71,1858146.0,0.0
2018-03-13,70.5169,71.0,70.42,1.0,71.52,70.68,1573113.0,0.0
2018-03-14,69.7587,71.07,69.6907,1.0,71.16,69.92,1825085.0,0.0
2018-03-15,70.0181,70.09,69.87,1.0,70.66,70.18,2490222.0,0.0
2018-03-16,69.7387,69.92,69.05,1.0,70.34,69.9,3301577.0,0.0
2018-03-19,69.18,69.79,69.06,1.0,70.31,69.34,2501900.0,0.0
2018-03-20,69.6888,69.77,69.45,1.0,70.07,69.85,2355102.0,0.0
2018-03-21,69.2399,69.88,69.36,1.0,70.09,69.4,1558358.0,0.0
2018-03-22,67.3143,68.7,67.33,1.0,69.2,67.47,1667733.0,0.0
2018-03-23,65.9076,67.58,65.94,1.0,68.15,66.06,1803736.0,0.0
2018-03-26,68.0426,67.2,66.655,1.0,68.285,68.2,1601171.0,0.0
2018-03-27,66.8454,68.48,66.54,1.0,68.63,67.0,2018736.0,0.0
2018-03-28,66.2468,67.22,65.81,1.0,67.38,66.4,2267763.0,0.0
2018-03-29,66.7456,66.75,66.11,1.0,67.58,66.9,2711285.0,0.0
2018-04-02,64.43,66.65,63.73,1.0,66.97,64.43,3085753.0,0.149
2018-04-03,65.42,64.94,64.62,1.0,65.88,65.42,2286132.0,0.0
2018-04-04,65.45,64.15,63.645,1.0,65.645,65.45,5084054.0,0.0
2018-04-05,65.68,65.82,65.5,1.0,66.31,65.68,2120181.0,0.0
2018-04-06,63.65,65.01,63.38,1.0,65.56,63.65,3578587.0,0.0
2018-04-09,65.19,64.92,64.08,1.0,66.25,65.19,2639750.0,0.0
2018-04-10,66.64,66.14,65.9,1.0,66.79,66.64,2120887.0,0.0
2018-04-11,66.08,65.98,65.82,1.0,66.6,66.08,1391380.0,0.0
2018-04-12,67.2,66.56,66.4535,1.0,67.64,67.2,2180892.0,0.0
2018-04-13,67.21,67.5,66.88,1.0,67.67,67.21,2043908.0,0.0
2018-04-16,68.17,67.83,67.49,1.0,68.37,68.17,2887820.0,0.0
2018-04-17,68.44,68.6,68.07,1.0,68.85,68.44,2682621.0,0.0
2018-04-18,69.55,69.12,68.65,1.0,70.29,69.55,2678311.0,0.0
2018-04-19,67.97,69.48,67.36,1.0,69.59,67.97,2435090.0,0.0
2018-04-20,67.55,68.04,67.32,1.0,68.26,67.55,1917243.0,0.0
2018-04-23,68.07,67.71,67.53,1.0,68.67,68.07,2260555.0,0.0
2018-04-24,66.64,66.39,66.04,1.0,67.905,66.64,3701595.0,0.0
2018-04-25,65.8,66.69,64.91,1.0,67.08,65.8,3873833.0,0.0
2018-04-26,66.37,66.22,65.895,1.0,66.76,66.37,1978569.0,0.0
2018-04-27,66.28,66.34,65.96,1.0,66.56,66.28,1189195.0,0.0
2018-04-30,65.74,66.49,65.73,1.0,66.66,65.74,2277705.0,0.0
2018-05-01,66.24,65.63,65.49,1.0,66.35,66.24,3135146.0,0.0
2018-05-02,65.91,66.0,65.77,1.0,66.86,65.91,2240482.0,0.0
2018-05-03,66.34,65.77,64.86,1.0,66.46,66.34,2365851.0,0.0
2018-05-04,67.0,66.03,65.54,1.0,67.25,67.0,1331017.0,0.0
2018-05-07,67.39,67.16,67.07,1.0,67.98,67.39,1468735.0,0.0
2018-05-08,67.37,67.08,66.84,1.0,67.435,67.37,1916103.0,0.0
2018-05-09,68.13,67.38,67.15,1.0,68.41,68.13,2108506.0,0.0
2018-05-10,68.86,68.12,68.12,1.0,68.88,68.86,1844868.0,0.0
2018-05-11,69.45,69.19,68.91,1.0,69.6,69.45,1524184.0,0.0
2018-05-14,69.21,69.73,69.0,1.0,70.45,69.21,3322635.0,0.0
2018-05-15,62.5,61.84,60.7,1.0,64.1,62.5,14451191.0,0.0
2018-05-16,61.94,62.51,61.65,1.0,62.9883,61.94,5872508.0,0.0
2018-05-17,63.59,61.98,61.76,1.0,63.9054,63.59,5211271.0,0.0
2018-05-18,64.32,63.63,63.511,1.0,64.5999,64.32,4163534.0,0.0
2018-05-21,65.55,64.75,64.68,1.0,65.99,65.55,4527295.0,0.0
2018-05-22,64.84,65.62,64.685,1.0,65.89,64.84,3415571.0,0.0
2018-05-23,64.53,64.21,64.21,1.0,65.0,64.53,3222446.0,0.0
2018-05-24,64.12,64.62,64.07,1.0,65.0,64.12,1525894.0,0.0
2018-05-25,63.15,63.94,62.84,1.0,64.11,63.15,1742002.0,0.0
2018-05-29,61.85,62.63,61.3,1.0,62.67,61.85,3559198.0,0.0
2018-05-30,62.69,62.24,61.995,1.0,63.06,62.69,1731482.0,0.0
2018-05-31,61.92,62.65,61.85,1.0,62.83,61.92,2510357.0,0.0
2018-06-01,62.78,62.47,62.44,1.0,63.23,62.78,2277946.0,0.0
2018-06-04,63.38,63.17,62.76,1.0,63.51,63.38,1958048.0,0.0
2018-06-05,63.52,63.46,63.09,1.0,63.87,63.52,1889520.0,0.0
2018-06-06,65.19,63.75,63.06,1.0,65.19,65.19,3177630.0,0.0
2018-06-07,65.23,65.41,64.8,1.0,66.09,65.23,2977186.0,0.0
2018-06-08,65.73,65.35,65.15,1.0,66.37,65.73,3853848.0,0.0
2018-06-11,66.13,65.68,65.59,1.0,66.75,66.13,3316711.0,0.0
2018-06-12,66.32,65.97,65.63,1.0,66.55,66.32,2006950.0,0.0
2018-06-13,66.26,66.6,65.97,1.0,66.68,66.26,4357708.0,0.0
2018-06-14,66.31,66.45,65.71,1.0,66.45,66.31,3487894.0,0.0
2018-06-15,66.13,66.11,65.19,1.0,66.24,66.13,4113230.0,0.0
2018-06-18,64.97,65.48,64.53,1.0,65.54,64.97,2563129.0,0.0
2018-06-19,63.52,64.22,63.2,1.0,64.45,63.52,4621382.0,0.0
2018-06-20,62.79,63.54,62.63,1.0,63.569,62.79,4942091.0,0.0
2018-06-21,63.04,62.81,62.27,1.0,63.22,63.04,4319387.0,0.0
2018-06-22,62.79,63.58,62.73,1.0,63.69,62.79,3621863.0,0.0
2018-06-25,61.2,62.46,60.8,1.0,62.69,61.2,2426792.0,0.0
2018-06-26,61.98,61.23,61.02,1.0,62.32,61.98,3655622.0,0.0
2018-06-27,61.14,62.26,61.1,1.0,63.0,61.14,2025823.0,0.0
2018-06-28,61.12,61.13,60.42,1.0,61.375,61.12,550621.0,0.0
